glom,bodyid,w
D,332344670,3
D,332344760,1
D,362701764,1
D,362701969,1
D,364411143,1
D,394081878,1
D,394755782,1
D,425445301,1
D,477909698,2
D,488184014,1
D,488205572,1
D,508599194,1
D,509013752,1
D,509700197,1
D,517847127,1
D,518882016,1
D,519214895,1
D,519218919,1
D,540730639,1
D,540730657,1
D,549904227,1
D,569999973,1
D,570647526,1
D,571424323,1
D,571424748,2
D,580947602,1
D,600356751,1
D,601047826,1
D,602459169,1
D,630373425,1
D,631400598,1
D,631741483,1
D,642680823,1
D,643363111,1
D,661430179,1
D,661757811,1
D,661766416,1
D,662081902,1
D,662461539,1
D,662806818,2
D,663834152,2
D,664187932,1
D,664188108,1
D,664188129,1
D,664188211,1
D,692810011,1
D,693837780,1
D,693841929,1
D,723153828,1
D,723508068,1
D,723848801,1
D,723849351,2
D,724867917,1
D,724885340,1
D,755544921,1
D,756585129,1
D,784541854,1
D,785232649,1
D,786929029,2
D,798537638,2
D,860261985,1
D,891642345,1
D,909730907,2
D,910063307,1
D,939729237,1
D,973151229,1
D,1035557785,1
D,1035562328,1
D,1067598881,1
D,1068613282,1
D,1068958652,1
D,1100675497,1
D,1108545599,1
D,1110937445,1
D,1110985490,1
D,1141006088,2
D,1141290695,2
D,1141337757,1
D,1141346217,1
D,1141631198,2
D,1141631240,1
D,1141691881,1
D,1142024290,2
D,1142356511,1
D,1142360528,3
D,1142658717,1
D,1142994933,1
D,1143332046,1
D,1164113870,2
D,1201028519,1
D,1202410042,1
D,1203420037,1
D,1204447548,1
D,1234800242,1
D,1236073998,1
D,1261989183,1
D,1267164975,1
D,1297556652,1
D,5812979128,1
D,5812980378,1
D,5812980408,1
D,5812980426,1
D,5812980432,1
D,5812980811,1
D,5812980813,1
D,5812980934,1
D,5812981142,1
D,5812981227,1
D,5812981332,2
D,5812981717,1
D,5812981986,2
D,5812981989,1
D,5812982000,1
D,5812982017,1
D,5812982216,1
D,5812982328,1
D,5812982371,1
D,5812982421,1
D,5812982466,1
D,5812982594,1
D,5812982602,1
D,5812982823,2
D,5812983009,1
D,5812983042,1
D,5812983166,1
D,5812983330,1
D,5812983544,1
D,5812989173,1
D,5813019917,1
D,5813021275,1
D,5813021289,1
D,5813021301,1
D,5813021332,1
D,5813021411,1
D,5813021415,2
D,5813021452,1
D,5813022212,1
D,5813022352,2
D,5813027400,1
D,5813032887,1
D,5813032900,1
D,5813033012,1
D,5813033144,1
D,5813040171,1
D,5813053937,1
D,5813055923,1
D,5813055924,1
D,5813057191,1
D,5813060811,1
D,5813062645,1
D,5813063449,1
D,5813069792,1
D,5813075855,1
D,5813077611,1
D,5813077613,1
D,5813094743,1
D,5813101387,1
D,5813110238,1
D,5813128857,1
D,5901193485,2
DA1,301318641,1
DA1,332340127,1
DA1,332353438,1
DA1,332685594,1
DA1,332685751,1
DA1,332690153,1
DA1,333035349,1
DA1,363038752,1
DA1,363047222,1
DA1,363370708,2
DA1,363375247,1
DA1,363387921,1
DA1,363716151,1
DA1,415494049,2
DA1,415852518,2
DA1,415908516,1
DA1,424754530,1
DA1,425431837,1
DA1,425445301,1
DA1,455793827,1
DA1,456820863,2
DA1,477900945,1
DA1,477909602,1
DA1,488533722,1
DA1,508599181,1
DA1,508616471,1
DA1,509700197,1
DA1,517510393,1
DA1,517847127,1
