bodyId_pre,type_pre,instance_pre,bodyId_post,type_post,instance_post,roi,weight
1172713521,KCg-s1,KCg-s1(super)_R,425790257,APL,APL_R,gL(R),126
5812982011,NA,KCy(half),425790257,APL,APL_R,CA(R),78
5813032771,KCg-s2,KCg-s2(super)_R,425790257,APL,APL_R,gL(R),65
5812980813,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),62
477900945,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),62
5813080766,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),60
1142028710,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),58
664511977,KCg-d,KCg-d_R,425790257,APL,APL_R,gL(R),58
693841887,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),58
784895866,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),57
1204775735,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),57
5812981704,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),57
416837168,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),57
1141678931,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),56
631400622,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),56
5812981164,KCa'b'-ap1,KCa'b'-ap1_R,425790257,APL,APL_R,b'L(R),56
415494049,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),55
5813056311,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),55
1068958652,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),55
5812981706,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),54
5813053885,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),54
5813056309,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),54
5812980973,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),53
662772393,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),53
785232649,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),53
601047853,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),53
1173408617,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),53
5813102642,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),53
5813053878,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),53
477909679,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),53
5813062631,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),53
630381893,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),53
5812983200,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),52
5813057210,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),52
1172372382,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),52
509264220,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),52
847302850,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),52
631400598,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),52
693133603,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),52
570643135,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),52
5813033065,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),52
1236073998,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),52
5813021469,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),51
631422224,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),51
662763626,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),51
1165465632,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),51
1140950118,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),51
662767770,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),51
508599194,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),51
478250482,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),51
5813021289,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),51
692810011,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),51
571424650,KCg-m,KCg-m_R,425790257,APL,APL_R,gL(R),51
