bodyId,KC_type,KC_subtype,n_claws,n_claws_corrected,Hemisphere
301309622,KCab,KCab-c,4,5,Right
332003899,KCab,KCab-c,0,0,Right
332685751,KCab,KCab-c,5,7,Right
300968622,KCab,KCab-m,5,5,Right
332353336,KCab,KCab-m,7,7,Right
332344670,KCab,KCab-c,6,9,Right
332349327,KCab,KCab-c,4,5,Right
301318641,KCab,KCab-c,5,5,Right
332008063,KCab,KCab-m,5,5,Right
332349228,KCab,KCab-c,5,6,Right
332344908,KCab,KCab-m,4,4,Right
332344760,KCab,KCab-c,5,5,Right
301314150,KCab,KCab-c,7,8,Right
331999156,KCab,KCab-c,6,9,Right
332003730,KCab,KCab-c,1,1,Right
332340127,KCab,KCab-s,7,7,Right
331999213,KCab,KCab-s,6,6,Right
332340236,KCab,KCab-m,4,5,Right
332344592,KCab,KCab-c,5,6,Right
332344539,KCab,KCab-c,2,3,Right
301314208,KCab,KCab-c,3,5,Right
332353438,KCab,KCab-s,6,7,Right
332685594,KCab,KCab-c,6,6,Right
331662717,KCab,KCab-s,6,5,Right
301314154,KCab,KCab-c,3,6,Right
332353566,KCab,KCab-m,5,4,Right
332353106,KCab,KCab-m,7,7,Right
332007728,KCab,KCab-m,3,4,Right
331662668,KCab,KCab-m,5,5,Right
332003629,KCab,KCab-m,3,4,Right
333035349,KCab,KCab-s,4,4,Right
362689128,KCab,KCab-s,6,7,Right
362701969,KCab,KCab-s,6,7,Right
362697657,KCab,KCab-s,8,7,Right
332689776,KCab,KCab-m,4,4,Right
332685755,KCab,KCab-c,5,7,Right
362693077,KCab,KCab-m,5,4,Right
354779890,KCg,KCg-m,10,11,Right
363029976,KCab,KCab-m,6,7,Right
362693473,KCab,KCab-m,6,5,Right
333030976,KCab,KCab-m,6,5,Right
354775482,KCg,KCg-m,8,8,Right
363038831,KCab,KCab-m,6,5,Right
363370913,KCab,KCab-m,2,2,Right
332690153,KCab,KCab-c,6,6,Right
363370708,KCab,KCab-c,4,9,Right
363030040,KCab,KCab-s,4,6,Right
363030024,KCab,KCab-m,6,7,Right
333031114,KCab,KCab-m,4,4,Right
363038752,KCab,KCab-c,3,5,Right
362701764,KCab,KCab-s,6,5,Right
