bodyId,PN_Name,PN_Glomerulus,PN_Bundle,n_boutons
726207450,VM4_lvPN_R,VM4,lvPN,2
544021095,DA4l_adPN_R,DA4l,adPN,3
663432544,VP3+_vPN(t10ALT)_R,VP3+,vPN(t10ALT),3
727472481,VM2_adPN_R,VM2,adPN,3
664814903,VP1m+_lvPN(t2ALT)_R,VP1m+,lvPN(t2ALT),1
635416407,DM5_lPN_R,DM5,lPN,6
603785283,VP1l+VP3_ilPN,VP1l+VP3,ilPN,1
574032862,VA5_lPN_R,VA5,lPN,2
693479072,VM7v_adPN_R,VM7v,adPN,4
754538881,DA1_lPN_R,DA1,lPN,1
722817260,DA1_lPN_R,DA1,lPN,3
574037266,DA4m_adPN_R,DA4m,adPN,1
574374051,VA5_lPN_R,VA5,lPN,3
662776660,VC3m_lvPN_R,VC3m,lvPN,4
542634818,DM1_lPN_R,DM1,lPN,14
698508565,V_ilPN,V,ilPN,8
697132371,VM2_adPN_R,VM2,adPN,3
636789080,VC5_adPN_R,VC5,adPN,8
697485362,DM5_lPN_R,DM5,lPN,5
663787020,VP1m+_lvPN(t2ALT)_R,VP1m+,lvPN(t2ALT),1
606090268,VC1_lPN_R,VC1,lPN,5
693483018,DL5_adPN_R,DL5,adPN,8
666135689,DA3_adPN_R,DA3,adPN,1
573333835,DM4_adPN_R,DM4,adPN,11
694834412,VM4_adPN_R,VM4,adPN,1
754534424,DA1_lPN_R,DA1,lPN,3
788306624,DM6_adPN_R,DM6,adPN,1
693125078,VC3l_adPN_R,VC3l,adPN,3
788306724,VC4_adPN_R,VC4,adPN,3
850708902,M_lPNm11C_R,M,lPNm11C,1
754854077,VC4_adPN_R,VC4,adPN,3
763730414,M_smPNm1_L,M,smPNm1,1
788648194,DL2d_adPN_R,DL2d,adPN,3
634759240,VP4_vPN(mlALT)_R,VP4,vPN(mlALT),2
850717220,VP1l+VP3_ilPN,VP1l+VP3,ilPN,1
792023887,M_lvPNm45_R,M,lvPNm45,0
724816115,DP1l_adPN_R,DP1l,adPN,7
574037281,VA5_lPN_R,VA5,lPN,3
850375847,VA1d_adPN_R,VA1d,adPN,1
762982753,M_adPNm5_R,M,adPNm5,3
818983130,DA2_lPN_R,DA2,lPN,3
1639234609,VP1d_il2PN(dALT),VP1d,il2PN(dALT),4
1640568102,DL3_lPN_R,DL3,lPN,0
1609542060,DL3_lPN_R,DL3,lPN,3
1734420152,DL2v_adPN_R,DL2v,adPN,1
1640594274,DC1_adPN_R,DC1,adPN,11
1442819296,VC3m_lvPN_R,VC3m,lvPN,4
1693486219,M_lPNm13_R,M,lPNm13,1
1702306047,M_ilPN8t91_R,M,ilPN8t91,4
1630051981,VA4_lPN_R,VA4,lPN,7
1037293275,M_l2PNm16_R,M,l2PNm16,1
1756579280,DL2d_adPN_R,DL2d,adPN,1
1670934213,DL4_adPN_R,DL4,adPN,4
1733677514,M_l2PNm16_R,M,l2PNm16,1
1703683361,DA3_adPN_R,DA3,adPN,1
1639243580,VP1d_il2PN(dALT),VP1d,il2PN(dALT),4
1671608112,M_ilPNm90_R,M,ilPNm90,4
1755556097,VP3+VP1l_ivPN,VP3+VP1l,ivPN,1
1536947502,D_adPN_R,D,adPN,2
1734350788,DA1_lPN_R,DA1,lPN,2
1700946301,DL1_adPN_R,DL1,adPN,7
1765040289,DA1_lPN_R,DA1,lPN,2
1793351401,DL2d_adPN_R,DL2d,adPN,2
1796817841,DA2_lPN_R,DA2,lPN,3
1727979406,VP1d+VP4_l2PN1_R,VP1d+VP4,l2PN1,17
755518957,DM3_adPN_R,DM3,adPN,6
1797505019,DA2_lPN_R,DA2,lPN,3
1796818119,DA2_lPN_R,DA2,lPN,3
1734350908,DA1_lPN_R,DA1,lPN,4
1825085656,M_lPNm11D_R,M,lPNm11D,3
1788300760,VA1v_adPN_R,VA1v,adPN,1
1827861966,M_lPNm11D_R,M,lPNm11D,2
1794055377,M_l2PNm15_R,M,l2PNm15,0
1764091241,DM6_adPN_R,DM6,adPN,2
1818307672,VC3m_lvPN_R,VC3m,lvPN,5
630714299,DM2_lPN_R,DM2,lPN,8
1793014716,DL2d_adPN_R,DL2d,adPN,2
1857148391,M_lPNm11D_R,M,lPNm11D,2
1850711304,VM1_lPN_R,VM1,lPN,3
1828206773,DC2_adPN_R,DC2,adPN,6
1850024931,VM4_lvPN_R,VM4,lvPN,0
1857825571,DC3_adPN_R,DC3,adPN,3
1882083076,VA7m_lPN_R,VA7m,lPN,1
1851061177,VA1d_adPN_R,VA1d,adPN,1
1858171399,DC3_adPN_R,DC3,adPN,2
1886132855,M_adPNm7_R,M,adPNm7,0
1881401277,VP1m+VP2_lvPN1_R,VP1m+VP2,lvPN1,1
1850706912,VC2_lPN_R,VC2,lPN,6
1888213190,M_adPNm4_R,M,adPNm4,5
1887163927,M_lPNm11D_R,M,lPNm11D,4
1887872301,M_adPNm4_R,M,adPNm4,6
1888572074,VM5d_adPN_R,VM5d,adPN,3
1858901026,VP2+_adPN_R,VP2+,adPN,1
1889253763,VM7v_adPN_R,VM7v,adPN,3
1851389175,VM3_adPN_R,VM3,adPN,7
1914140664,VM5d_adPN_R,VM5d,adPN,4
1914823414,VM5d_adPN_R,VM5d,adPN,2
1851393805,VM7d_adPN_R,VM7d,adPN,3
1006258344,VM5d_adPN_R,VM5d,adPN,2
1943811736,VP1m+VP2_lvPN2_R,VP1m+VP2,lvPN2,1
1889253785,VA3_adPN_R,VA3,adPN,3
1881751117,VA6_adPN_R,VA6,adPN,8
1943812176,VP1m+VP2_lvPN2_R,VP1m+VP2,lvPN2,8
1914823337,VC3l_adPN_R,VC3l,adPN,4
1944502935,VP1m+VP5_ilPN,VP1m+VP5,ilPN,1
1912789965,VL1_ilPN,VL1,ilPN,2
1974846717,MZ_lvPN(multiAL+SEZ)_R,MZ,lvPN(multiAL+SEZ),1
1700937093,DL1_adPN_R,DL1,adPN,10
1975187675,VP1m+VP2_lvPN2_R,VP1m+VP2,lvPN2,1
1977916288,VM3_adPN_R,VM3,adPN,2
2010992546,VM5v_adPN_R,VM5v,adPN,7
5812992940,M_lvPNm46_R,M,lvPNm46,0
5812983069,M_lPNm13_R,M,lPNm13,1
1975878958,VP2_adPN_R,VP2,adPN,10
5813000276,VC3l_adPN_R,VC3l,adPN,4
635062078,DP1m_adPN_R,DP1m,adPN,19
5813024601,VA1v_adPN_R,VA1v,adPN,2
1944507292,VL2p_adPN_R,VL2p,adPN,7
5813024799,M_lPNm12_R,M,lPNm12,1
5813044177,M_lPNm11A_R,M,lPNm11A,1
5813024710,DL2d_adPN_R,DL2d,adPN,2
5813024712,VM5d_adPN_R,VM5d,adPN,4
5813034571,VM5v_adPN_R,VM5v,adPN,1
5813039315,DA1_lPN_R,DA1,lPN,3
5813039465,DL2v_adPN_R,DL2v,adPN,1
5813039471,DC3_adPN_R,DC3,adPN,3
1977579449,VA2_adPN_R,VA2,adPN,6
5813040515,VP3+VP1l_ivPN,VP3+VP1l,ivPN,2
5813050729,VA7m_lPN_R,VA7m,lPN,1
5813038793,DL2v_adPN_R,DL2v,adPN,2
2166133204,VL1_ilPN,VL1,ilPN,3
2069648663,VP1m+VP5_ilPN,VP1m+VP5,ilPN,1
5813038889,D_adPN_R,D,adPN,2
1827516355,DA2_lPN_R,DA2,lPN,3
5812982656,M_smPN6t2_L,M,smPN6t2,1
2064165421,V_ilPN,V,ilPN,5
5813039235,DM6_adPN_R,DM6,adPN,3
5813055147,VC4_adPN_R,VC4,adPN,3
5813050727,VM7d_adPN_R,VM7d,adPN,4
5813054697,VA1v_adPN_R,VA1v,adPN,2
5813055048,DC2_adPN_R,DC2,adPN,6
1849683877,M_lvPNm46_R,M,lvPNm46,0
5813055162,VA1d_adPN_R,VA1d,adPN,3
5813055025,VA3_adPN_R,VA3,adPN,5
5813055180,VA7m_lPN_R,VA7m,lPN,5
5813055184,D_adPN_R,D,adPN,4
5813070872,DM6_adPN_R,DM6,adPN,4
5813063239,VP5+Z_adPN(uniAL+SEZ)_R,VP5+Z,adPN(uniAL+SEZ),1
5813056596,DC4_adPN_R,DC4,adPN,2
5901222910,DM2_lPN_R,DM2,lPN,6
5813056072,VP1m_l2PN(lALT)_R,VP1m,l2PN(lALT),1
5813069089,VL2a_adPN_R,VL2a,adPN,4
1917188956,M_lPNm11D_R,M,lPNm11D,1
1692817033,VA7l_adPN_R,VA7l,adPN,4
