datefly,odor_pair_str,correlation,odor_pair
2022-09-21/1,"1-6ol, 1-6ol",1.0,"1-6ol, 1-6ol"
2022-09-21/1,"1-6ol, 1p3ol",-0.07154733310983685,"1-6ol, 1p3ol"
2022-09-21/1,"1-6ol, 2-but",-0.08673185447214649,"1-6ol, 2-but"
2022-09-21/1,"1-6ol, ECin",-0.08412251727620768,"1-6ol, ECin"
2022-09-21/1,"1-6ol, MethOct",-0.041822464192530884,"1-6ol, MethOct"
2022-09-21/1,"1-6ol, PropAc",-0.04635219277005875,"1-6ol, PropAc"
2022-09-21/1,"1-6ol, benz",-0.003411963276245933,"1-6ol, benz"
2022-09-21/1,"1-6ol, d-dlac",0.12403153203968853,"1-6ol, d-dlac"
2022-09-21/1,"1-6ol, g-6lac",-0.0014699142950549415,"1-6ol, g-6lac"
2022-09-21/1,"1p3ol, 1p3ol",1.0,"1p3ol, 1p3ol"
2022-09-21/1,"1p3ol, 2-but",0.03699164296496815,"1p3ol, 2-but"
2022-09-21/1,"1p3ol, ECin",-0.06970759561340878,"1p3ol, ECin"
2022-09-21/1,"1p3ol, MethOct",0.0807593483657616,"1p3ol, MethOct"
2022-09-21/1,"1p3ol, PropAc",-0.01296333515574255,"1p3ol, PropAc"
2022-09-21/1,"1p3ol, benz",-0.11193827722267446,"1p3ol, benz"
2022-09-21/1,"1p3ol, d-dlac",0.2151413860769602,"1p3ol, d-dlac"
2022-09-21/1,"1p3ol, g-6lac",0.22841430638399873,"1p3ol, g-6lac"
2022-09-21/1,"2-but, 2-but",1.0,"2-but, 2-but"
2022-09-21/1,"2-but, ECin",-0.0984768976166539,"2-but, ECin"
2022-09-21/1,"2-but, MethOct",-0.0213296707027395,"2-but, MethOct"
2022-09-21/1,"2-but, PropAc",0.17856418442363675,"2-but, PropAc"
2022-09-21/1,"2-but, benz",-0.15946048769730004,"2-but, benz"
2022-09-21/1,"2-but, d-dlac",-0.061475210346750186,"2-but, d-dlac"
2022-09-21/1,"2-but, g-6lac",-0.02589086260976381,"2-but, g-6lac"
2022-09-21/1,"ECin, ECin",1.0,"ECin, ECin"
2022-09-21/1,"ECin, MethOct",0.007454553044927592,"ECin, MethOct"
2022-09-21/1,"ECin, PropAc",-0.12343435515552126,"ECin, PropAc"
2022-09-21/1,"ECin, benz",0.12546126612494146,"ECin, benz"
2022-09-21/1,"ECin, d-dlac",0.10757510088835409,"ECin, d-dlac"
2022-09-21/1,"ECin, g-6lac",-0.07132410681119894,"ECin, g-6lac"
2022-09-21/1,"MethOct, MethOct",1.0,"MethOct, MethOct"
2022-09-21/1,"MethOct, PropAc",-0.07387629390230832,"MethOct, PropAc"
2022-09-21/1,"MethOct, benz",0.08774554861710437,"MethOct, benz"
2022-09-21/1,"MethOct, d-dlac",0.02202836289772281,"MethOct, d-dlac"
2022-09-21/1,"MethOct, g-6lac",0.06804870607600999,"MethOct, g-6lac"
2022-09-21/1,"PropAc, PropAc",1.0,"PropAc, PropAc"
2022-09-21/1,"PropAc, benz",-0.18355974019126475,"PropAc, benz"
2022-09-21/1,"PropAc, d-dlac",-0.07137121598613838,"PropAc, d-dlac"
2022-09-21/1,"PropAc, g-6lac",-0.0991528779885702,"PropAc, g-6lac"
2022-09-21/1,"benz, benz",1.0,"benz, benz"
2022-09-21/1,"benz, d-dlac",-0.026848577005001095,"benz, d-dlac"
2022-09-21/1,"benz, g-6lac",0.03498507525909256,"benz, g-6lac"
2022-09-21/1,"d-dlac, d-dlac",1.0,"d-dlac, d-dlac"
2022-09-21/1,"d-dlac, g-6lac",0.1865749988935821,"d-dlac, g-6lac"
2022-09-21/1,"g-6lac, g-6lac",1.0,"g-6lac, g-6lac"
2022-09-22/2,"1-6ol, 1-6ol",1.0,"1-6ol, 1-6ol"
2022-09-22/2,"1-6ol, 1p3ol",-0.16160716228173255,"1-6ol, 1p3ol"
2022-09-22/2,"1-6ol, 2-but",-0.11690848972337031,"1-6ol, 2-but"
2022-09-22/2,"1-6ol, ECin",-0.10868393755530792,"1-6ol, ECin"
2022-09-22/2,"1-6ol, MethOct",-0.10876150500133641,"1-6ol, MethOct"
2022-09-22/2,"1-6ol, PropAc",-0.07337124181970545,"1-6ol, PropAc"
2022-09-22/2,"1-6ol, benz",0.04725790930214879,"1-6ol, benz"
2022-09-22/2,"1-6ol, d-dlac",0.028824293949364366,"1-6ol, d-dlac"
2022-09-22/2,"1-6ol, g-6lac",0.0736425076056556,"1-6ol, g-6lac"
2022-09-22/2,"1p3ol, 1p3ol",1.0,"1p3ol, 1p3ol"
2022-09-22/2,"1p3ol, 2-but",-0.05979672025626903,"1p3ol, 2-but"
2022-09-22/2,"1p3ol, ECin",-0.03128296457825641,"1p3ol, ECin"
2022-09-22/2,"1p3ol, MethOct",0.02770630490031123,"1p3ol, MethOct"
2022-09-22/2,"1p3ol, PropAc",-0.10797914520787,"1p3ol, PropAc"
2022-09-22/2,"1p3ol, benz",-0.07010516147279766,"1p3ol, benz"
2022-09-22/2,"1p3ol, d-dlac",0.20276731951558524,"1p3ol, d-dlac"
2022-09-22/2,"1p3ol, g-6lac",0.3146747278417139,"1p3ol, g-6lac"
2022-09-22/2,"2-but, 2-but",1.0,"2-but, 2-but"
2022-09-22/2,"2-but, ECin",-0.08385267478647518,"2-but, ECin"
2022-09-22/2,"2-but, MethOct",-0.146304309094774,"2-but, MethOct"
2022-09-22/2,"2-but, PropAc",0.2184957524894039,"2-but, PropAc"
2022-09-22/2,"2-but, benz",-0.2172597359402757,"2-but, benz"
2022-09-22/2,"2-but, d-dlac",-0.188148224923941,"2-but, d-dlac"
2022-09-22/2,"2-but, g-6lac",-0.05932190522819458,"2-but, g-6lac"
2022-09-22/2,"ECin, ECin",1.0,"ECin, ECin"
2022-09-22/2,"ECin, MethOct",-0.008907127871617515,"ECin, MethOct"
2022-09-22/2,"ECin, PropAc",-0.05935357082137038,"ECin, PropAc"
2022-09-22/2,"ECin, benz",0.30780853084189363,"ECin, benz"
2022-09-22/2,"ECin, d-dlac",0.06371684544219625,"ECin, d-dlac"
2022-09-22/2,"ECin, g-6lac",-0.08467365960309325,"ECin, g-6lac"
2022-09-22/2,"MethOct, MethOct",1.0,"MethOct, MethOct"
2022-09-22/2,"MethOct, PropAc",0.1550178493280111,"MethOct, PropAc"
2022-09-22/2,"MethOct, benz",-0.0838798579120903,"MethOct, benz"
2022-09-22/2,"MethOct, d-dlac",-0.01953591751180661,"MethOct, d-dlac"
2022-09-22/2,"MethOct, g-6lac",0.01876015580986279,"MethOct, g-6lac"
2022-09-22/2,"PropAc, PropAc",1.0,"PropAc, PropAc"
2022-09-22/2,"PropAc, benz",-0.1108397980224165,"PropAc, benz"
2022-09-22/2,"PropAc, d-dlac",-0.19847766428111369,"PropAc, d-dlac"
2022-09-22/2,"PropAc, g-6lac",-0.1302903225955263,"PropAc, g-6lac"
2022-09-22/2,"benz, benz",1.0,"benz, benz"
2022-09-22/2,"benz, d-dlac",0.09029987352582358,"benz, d-dlac"
2022-09-22/2,"benz, g-6lac",-0.03528475822211541,"benz, g-6lac"
2022-09-22/2,"d-dlac, d-dlac",1.0,"d-dlac, d-dlac"
2022-09-22/2,"d-dlac, g-6lac",0.33435927691970624,"d-dlac, g-6lac"
2022-09-22/2,"g-6lac, g-6lac",1.0,"g-6lac, g-6lac"
2022-09-26/1,"1-6ol, 1-6ol",1.0,"1-6ol, 1-6ol"
2022-09-26/1,"1-6ol, 1p3ol",-0.05376474727419156,"1-6ol, 1p3ol"
2022-09-26/1,"1-6ol, 2-but",-0.0547703595025224,"1-6ol, 2-but"
2022-09-26/1,"1-6ol, ECin",-0.05308537501080046,"1-6ol, ECin"
2022-09-26/1,"1-6ol, MethOct",-0.10072053113777191,"1-6ol, MethOct"
2022-09-26/1,"1-6ol, PropAc",0.024287863820062983,"1-6ol, PropAc"
2022-09-26/1,"1-6ol, benz",0.003591540289786588,"1-6ol, benz"
2022-09-26/1,"1-6ol, d-dlac",0.01538946812767783,"1-6ol, d-dlac"
2022-09-26/1,"1-6ol, eug",-0.10160988981553576,"1-6ol, eug"
2022-09-26/1,"1-6ol, g-6lac",0.019371136830876767,"1-6ol, g-6lac"
2022-09-26/1,"1p3ol, 1p3ol",1.0,"1p3ol, 1p3ol"
2022-09-26/1,"1p3ol, 2-but",0.0174185095459648,"1p3ol, 2-but"
2022-09-26/1,"1p3ol, ECin",-0.07340288447058274,"1p3ol, ECin"
2022-09-26/1,"1p3ol, MethOct",-0.07346358083258808,"1p3ol, MethOct"
2022-09-26/1,"1p3ol, PropAc",0.014897056913468987,"1p3ol, PropAc"
2022-09-26/1,"1p3ol, benz",-0.09705256971090992,"1p3ol, benz"
2022-09-26/1,"1p3ol, d-dlac",0.34827601342994274,"1p3ol, d-dlac"
2022-09-26/1,"1p3ol, eug",0.18841133091397888,"1p3ol, eug"
2022-09-26/1,"1p3ol, g-6lac",0.38404731864177766,"1p3ol, g-6lac"
2022-09-26/1,"2-but, 2-but",1.0,"2-but, 2-but"
2022-09-26/1,"2-but, ECin",-0.054098157135469505,"2-but, ECin"
2022-09-26/1,"2-but, MethOct",-0.06336610900345874,"2-but, MethOct"
2022-09-26/1,"2-but, PropAc",0.2866698254631641,"2-but, PropAc"
2022-09-26/1,"2-but, benz",-0.14984988075195416,"2-but, benz"
2022-09-26/1,"2-but, d-dlac",-0.07455077326809789,"2-but, d-dlac"
2022-09-26/1,"2-but, eug",-0.024869898875278906,"2-but, eug"
2022-09-26/1,"2-but, g-6lac",-0.08820800628910597,"2-but, g-6lac"
2022-09-26/1,"ECin, ECin",1.0,"ECin, ECin"
2022-09-26/1,"ECin, MethOct",-0.08196104315551844,"ECin, MethOct"
2022-09-26/1,"ECin, PropAc",-0.07948189434094233,"ECin, PropAc"
2022-09-26/1,"ECin, benz",0.1907909740214735,"ECin, benz"
