datefly,odor_pair_str,correlation,odor_pair
2018-10-21/1,"1-5ol, 1-5ol",1.0,"1-5ol, 1-5ol"
2019-03-06/4,"1-5ol, 1-5ol",1.0,"1-5ol, 1-5ol"
2019-05-24/4,"1-5ol, 1-5ol",1.0,"1-5ol, 1-5ol"
2019-07-19/2,"1-5ol, 1-5ol",1.0,"1-5ol, 1-5ol"
2019-09-12/1,"1-5ol, 1-5ol",1.0,"1-5ol, 1-5ol"
2019-09-12/2,"1-5ol, 1-5ol",1.0,"1-5ol, 1-5ol"
2019-03-06/4,"1-5ol, 1-6ol",0.7235038326780581,"1-5ol, 1-6ol"
2019-07-19/2,"1-5ol, 1-6ol",0.7754020465132845,"1-5ol, 1-6ol"
2019-09-12/1,"1-5ol, 1-6ol",0.8032098054937852,"1-5ol, 1-6ol"
2019-09-12/2,"1-5ol, 1-6ol",0.6768994230141558,"1-5ol, 1-6ol"
2018-10-21/1,"1-5ol, 1-8ol",0.07101419488003402,"1-5ol, 1-8ol"
2019-03-06/4,"1-5ol, 1-8ol",0.2885874102191379,"1-5ol, 1-8ol"
2019-07-19/2,"1-5ol, 1-8ol",0.48087712797852356,"1-5ol, 1-8ol"
2019-09-12/1,"1-5ol, 1-8ol",0.2882555092755287,"1-5ol, 1-8ol"
2019-09-12/2,"1-5ol, 1-8ol",0.2676785476015542,"1-5ol, 1-8ol"
2018-10-21/1,"1-5ol, 2-but",0.13000473232893417,"1-5ol, 2-but"
2019-03-06/4,"1-5ol, 2-but",0.03406338546930476,"1-5ol, 2-but"
2019-07-19/2,"1-5ol, 2-but",0.06632742327830321,"1-5ol, 2-but"
2019-09-12/1,"1-5ol, 2-but",0.6024238093588468,"1-5ol, 2-but"
2019-09-12/2,"1-5ol, 2-but",0.35950009710462527,"1-5ol, 2-but"
2018-10-21/1,"1-5ol, 2h",-0.004301400040156889,"1-5ol, 2h"
2019-05-24/4,"1-5ol, 2h",0.17967303812854252,"1-5ol, 2h"
2019-07-19/2,"1-5ol, 2h",-0.020007863902782752,"1-5ol, 2h"
2019-09-12/1,"1-5ol, 2h",0.3846988350155294,"1-5ol, 2h"
2019-09-12/2,"1-5ol, 2h",0.2314350208113285,"1-5ol, 2h"
2018-10-21/1,"1-5ol, 6al",0.36079958615724506,"1-5ol, 6al"
2018-10-21/1,"1-5ol, B-cit",-0.02854147427645848,"1-5ol, B-cit"
2019-05-24/4,"1-5ol, B-cit",0.10080772393352255,"1-5ol, B-cit"
2019-03-06/4,"1-5ol, IaA",0.14873090510248488,"1-5ol, IaA"
2019-05-24/4,"1-5ol, IaA",0.20021884406991597,"1-5ol, IaA"
2019-07-19/2,"1-5ol, IaA",0.06249318762236422,"1-5ol, IaA"
2019-05-24/4,"1-5ol, Lin",0.024007203071775174,"1-5ol, Lin"
2019-07-19/2,"1-5ol, Lin",0.12597356303373697,"1-5ol, Lin"
2019-09-12/1,"1-5ol, Lin",0.33492017141066643,"1-5ol, Lin"
2019-09-12/2,"1-5ol, Lin",0.15987601247259442,"1-5ol, Lin"
2019-03-06/4,"1-5ol, aa",-0.06265472603132194,"1-5ol, aa"
2018-10-21/1,"1-5ol, eb",0.031052362985262816,"1-5ol, eb"
2019-09-12/1,"1-5ol, eb",0.6481957769351556,"1-5ol, eb"
2019-09-12/2,"1-5ol, eb",0.2893935786781614,"1-5ol, eb"
2018-10-21/1,"1-5ol, ep",0.08917631238506485,"1-5ol, ep"
2019-07-19/2,"1-5ol, ep",0.08518020872125798,"1-5ol, ep"
2019-09-12/1,"1-5ol, ep",0.5509347816064956,"1-5ol, ep"
2019-09-12/2,"1-5ol, ep",0.2374121067882673,"1-5ol, ep"
2018-10-21/1,"1-5ol, pa",0.1284674633743943,"1-5ol, pa"
2019-03-06/4,"1-5ol, pa",0.057353991646818425,"1-5ol, pa"
2018-10-21/1,"1-5ol, t2h",0.072002446437054,"1-5ol, t2h"
2019-05-24/4,"1-5ol, t2h",0.16407158587242532,"1-5ol, t2h"
2019-07-19/2,"1-5ol, t2h",0.11202153995980868,"1-5ol, t2h"
2019-09-12/1,"1-5ol, t2h",0.3972334646771687,"1-5ol, t2h"
2019-09-12/2,"1-5ol, t2h",0.21646232957695477,"1-5ol, t2h"
2019-03-06/4,"1-5ol, va",-0.01633696600561585,"1-5ol, va"
2019-05-24/4,"1-5ol, va",0.008089940764565595,"1-5ol, va"
2018-10-21/1,"1-6ol, 1-6ol",1.0,"1-6ol, 1-6ol"
2019-03-06/3,"1-6ol, 1-6ol",1.0,"1-6ol, 1-6ol"
2019-03-06/4,"1-6ol, 1-6ol",1.0,"1-6ol, 1-6ol"
2019-03-07/2,"1-6ol, 1-6ol",1.0,"1-6ol, 1-6ol"
2019-04-26/4,"1-6ol, 1-6ol",1.0,"1-6ol, 1-6ol"
2019-05-09/4,"1-6ol, 1-6ol",1.0,"1-6ol, 1-6ol"
2019-05-09/5,"1-6ol, 1-6ol",1.0,"1-6ol, 1-6ol"
2019-05-23/2,"1-6ol, 1-6ol",1.0,"1-6ol, 1-6ol"
2019-05-24/1,"1-6ol, 1-6ol",1.0,"1-6ol, 1-6ol"
2019-05-24/3,"1-6ol, 1-6ol",1.0,"1-6ol, 1-6ol"
2019-05-24/4,"1-6ol, 1-6ol",1.0,"1-6ol, 1-6ol"
2019-07-19/2,"1-6ol, 1-6ol",1.0,"1-6ol, 1-6ol"
2019-09-12/1,"1-6ol, 1-6ol",1.0,"1-6ol, 1-6ol"
2019-09-12/2,"1-6ol, 1-6ol",1.0,"1-6ol, 1-6ol"
2019-03-06/4,"1-6ol, 1-8ol",0.3878843908850417,"1-6ol, 1-8ol"
2019-04-26/4,"1-6ol, 1-8ol",0.6163354874879554,"1-6ol, 1-8ol"
2019-05-23/2,"1-6ol, 1-8ol",0.44047261535466875,"1-6ol, 1-8ol"
2019-05-24/1,"1-6ol, 1-8ol",0.31493486275280713,"1-6ol, 1-8ol"
2019-05-24/3,"1-6ol, 1-8ol",-0.33735027869393663,"1-6ol, 1-8ol"
2019-05-24/4,"1-6ol, 1-8ol",-0.05240050616959957,"1-6ol, 1-8ol"
2019-07-19/2,"1-6ol, 1-8ol",0.45068945134424787,"1-6ol, 1-8ol"
2019-09-12/1,"1-6ol, 1-8ol",0.38539834225220715,"1-6ol, 1-8ol"
2019-09-12/2,"1-6ol, 1-8ol",0.14898865800737526,"1-6ol, 1-8ol"
2019-03-07/2,"1-6ol, 1p3ol",0.02331412898784424,"1-6ol, 1p3ol"
2019-05-09/4,"1-6ol, 1p3ol",0.1456301299731244,"1-6ol, 1p3ol"
2019-05-09/5,"1-6ol, 1p3ol",0.04246458109230122,"1-6ol, 1p3ol"
2018-10-21/1,"1-6ol, 2-but",0.14897295687495515,"1-6ol, 2-but"
2019-03-06/3,"1-6ol, 2-but",0.03615138086206515,"1-6ol, 2-but"
2019-03-06/4,"1-6ol, 2-but",0.050701409169347955,"1-6ol, 2-but"
