,2h(-8),2h(-7),ma(-8),ma(-7),farn(-4),farn(-3),2h(-7)+ma(-7),2h(-7)+farn(-3),ma(-7)+farn(-3),PFO,experiment,2h(-7)+ma(-7)_predicted,2h(-7)+farn(-3)_predicted,ma(-7)+farn(-3)_predicted
0,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
1,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
2,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
3,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
4,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
5,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
6,False,True,False,True,False,False,True,False,False,False,20250219_3FLfun1,True,True,True
7,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
8,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
9,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
10,False,False,True,True,False,False,True,False,False,False,20250219_3FLfun1,True,False,True
11,False,False,False,True,False,False,True,False,False,False,20250219_3FLfun1,True,False,True
12,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
13,True,True,False,True,False,False,True,False,False,False,20250219_3FLfun1,True,True,True
14,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
15,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
16,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
17,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
18,False,True,False,False,False,False,True,False,False,False,20250219_3FLfun1,True,True,False
19,False,False,False,True,False,False,True,False,False,False,20250219_3FLfun1,True,False,True
20,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
21,False,True,False,True,False,False,True,False,False,False,20250219_3FLfun1,True,True,True
22,True,True,False,False,False,False,True,True,False,False,20250219_3FLfun1,True,True,False
23,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
24,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
25,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
26,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
27,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
28,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
29,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
30,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
31,False,True,False,False,False,False,False,False,False,False,20250219_3FLfun1,True,True,False
32,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
33,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
34,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
35,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
36,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
37,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
38,False,False,False,False,False,True,False,False,False,False,20250219_3FLfun1,False,True,True
39,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
40,False,False,False,False,False,True,False,True,False,False,20250219_3FLfun1,False,True,True
41,True,True,False,False,False,False,True,True,False,False,20250219_3FLfun1,True,True,False
42,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
43,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
44,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
45,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
46,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
47,False,False,False,False,False,False,False,True,False,False,20250219_3FLfun1,False,False,False
48,False,False,False,False,False,True,False,False,False,False,20250219_3FLfun1,False,True,True
49,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
50,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
51,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
52,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
53,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
54,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
55,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
56,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
57,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
58,False,False,False,True,False,False,True,False,False,False,20250219_3FLfun1,True,False,True
59,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
60,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
61,False,False,False,False,True,True,False,True,False,False,20250219_3FLfun1,False,True,True
62,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
63,False,False,False,False,False,True,False,False,False,False,20250219_3FLfun1,False,True,True
64,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
65,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
66,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
67,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
68,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
69,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
70,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
71,False,False,False,False,True,True,False,True,False,False,20250219_3FLfun1,False,True,True
72,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
73,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
74,False,False,False,False,False,True,False,False,False,False,20250219_3FLfun1,False,True,True
75,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
76,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
77,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
78,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
79,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
80,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
81,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
82,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
83,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
84,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
85,False,False,False,False,False,False,False,True,False,False,20250219_3FLfun1,False,False,False
86,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
87,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
88,False,True,False,False,False,False,False,False,False,False,20250219_3FLfun1,True,True,False
89,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
90,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
91,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
92,False,True,False,False,False,False,False,False,False,False,20250219_3FLfun1,True,True,False
93,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
94,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
95,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
96,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
97,False,False,False,True,False,True,False,True,False,False,20250219_3FLfun1,True,True,True
98,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
99,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
100,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
101,False,False,False,False,False,True,False,True,False,False,20250219_3FLfun1,False,True,True
102,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
103,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
104,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
105,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
106,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
107,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
108,False,False,False,True,False,False,True,False,False,False,20250219_3FLfun1,True,False,True
109,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
110,False,False,False,False,False,True,False,False,False,False,20250219_3FLfun1,False,True,True
111,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
112,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
113,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
114,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
115,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
116,False,False,False,False,False,False,False,False,True,False,20250219_3FLfun1,False,False,False
117,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
118,True,True,False,True,False,True,True,False,False,False,20250219_3FLfun1,True,True,True
119,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
120,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
121,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
122,False,False,False,True,False,False,True,False,False,False,20250219_3FLfun1,True,False,True
123,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
124,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
125,False,False,False,False,False,False,False,True,False,False,20250219_3FLfun1,False,False,False
126,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
127,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
128,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
129,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
130,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
131,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
132,False,True,False,True,False,False,True,False,False,False,20250219_3FLfun1,True,True,True
133,False,False,False,False,True,True,False,False,False,False,20250219_3FLfun1,False,True,True
134,False,False,False,False,False,True,False,False,False,False,20250219_3FLfun1,False,True,True
135,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
136,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
137,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
138,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
139,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
140,True,True,False,False,False,False,True,True,False,False,20250219_3FLfun1,True,True,False
141,False,True,False,False,False,False,True,False,False,False,20250219_3FLfun1,True,True,False
142,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
143,False,False,False,True,False,False,True,False,False,False,20250219_3FLfun1,True,False,True
144,True,True,False,False,False,False,True,False,False,False,20250219_3FLfun1,True,True,False
145,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
146,True,False,False,False,False,False,False,True,False,True,20250219_3FLfun1,False,False,False
147,False,False,False,True,False,False,True,False,False,False,20250219_3FLfun1,True,False,True
148,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
149,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
150,False,False,False,True,False,False,True,False,False,False,20250219_3FLfun1,True,False,True
151,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
152,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
153,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
154,False,False,False,True,False,False,False,False,False,False,20250219_3FLfun1,True,False,True
155,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
156,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
157,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
158,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
159,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
160,False,False,True,True,False,False,True,False,False,False,20250219_3FLfun1,True,False,True
161,False,False,False,True,False,False,True,False,False,False,20250219_3FLfun1,True,False,True
162,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
163,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
164,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
165,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
166,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
167,True,True,False,True,False,False,True,True,False,False,20250219_3FLfun1,True,True,True
