,2h(-7),ma(-7),farn(-3),farn(-2.5),2h(-7)+ma(-7),2h(-7)+farn(-3),2h(-7)+farn(-2.5),ma(-7)+farn(-3),ma(-7)+farn(-2.5),PFO,experiment,2h(-7)+ma(-7)_predicted,2h(-7)+farn(-3)_predicted,2h(-7)+farn(-2.5)_predicted,ma(-7)+farn(-3)_predicted,ma(-7)+farn(-2.5)_predicted
0,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
2,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
3,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
4,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
5,False,False,True,False,False,False,True,False,False,False,20250324_3FLfun1,False,True,False,True,False
6,True,False,True,False,False,True,False,False,False,True,20250324_3FLfun1,True,True,True,True,False
7,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
8,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
9,False,False,False,False,False,False,False,False,True,False,20250324_3FLfun1,False,False,False,False,False
10,False,False,False,False,False,False,True,False,False,False,20250324_3FLfun1,False,False,False,False,False
11,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
12,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
13,False,False,False,False,False,False,True,False,False,False,20250324_3FLfun1,False,False,False,False,False
14,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
15,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
16,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
17,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
18,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
19,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
20,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
21,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
22,False,False,True,False,False,False,False,False,True,False,20250324_3FLfun1,False,True,False,True,False
23,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
24,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
25,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
26,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
27,False,False,False,False,False,True,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
28,False,False,True,False,False,True,True,False,True,False,20250324_3FLfun1,False,True,False,True,False
29,True,False,False,False,True,True,False,False,False,True,20250324_3FLfun1,True,True,True,False,False
30,False,False,True,False,False,False,True,False,True,False,20250324_3FLfun1,False,True,False,True,False
31,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
32,False,False,True,False,False,False,False,False,False,False,20250324_3FLfun1,False,True,False,True,False
33,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
34,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
35,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
36,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
37,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
38,False,True,False,False,False,False,False,False,False,False,20250324_3FLfun1,True,False,False,True,True
