,2h(-7),2h(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-5),2h(-5),1o3ol(-5),1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),ea(-5),ea(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,air,air
0,0.2978825,-0.024926186,0.25928247,-0.00072558224,0.34757686,0.10380769,0.14061075,0.07399082,-0.30406904,-0.09295714,-0.050817013,-0.23289067,0.097414255,0.025927305,0.12214768,0.015557766,0.032615066,0.119556785,-0.04701805,0.0528208,-0.21861535,0.23409015
1,-0.010143638,7.532537e-05,-0.0031215549,-0.03925574,-0.044386446,-0.14317775,0.047132432,1.1069556,0.0879432,-0.17237131,-0.011252344,0.04333672,-0.028717697,0.23881456,-0.0029443502,-0.7633829,-0.051877618,-0.21162605,0.044236958,0.026617646,0.029955745,0.03975606
2,0.24648148,-0.08278453,0.23474878,0.16319633,0.04030502,-0.5229932,-0.09700322,0.12105113,-0.034655154,0.0113200545,-0.36087394,-0.07035315,0.00888896,0.035286307,0.21484125,-0.08806372,0.018508196,-0.06273678,-0.2798903,-0.006353438,-0.16632228,-0.107134104
3,-0.082222305,-0.54275066,0.2784133,0.023608238,0.020017684,-0.15631771,-0.14210713,-0.60557514,1.0975225,-0.31664085,0.51249176,0.5237819,-0.05680716,0.15705752,-0.32496095,0.5639454,0.65725756,-0.049794436,0.11435157,-0.040424466,0.09698218,0.061079502
4,-0.090512514,0.028994799,-0.06577802,0.10450181,0.057501793,-0.6446253,-0.23628515,0.5734905,-0.3586368,-0.03399968,-0.22884676,0.23144718,0.65987706,1.4275758,-0.015290767,-0.018357038,1.6195846,0.9762235,0.1115098,0.010300279,-0.12744266,-0.18290746
5,-0.18619996,0.03640002,-0.13485181,-0.06141144,0.12210584,0.14590591,-0.070216596,0.20703879,0.0745914,0.048032463,-0.18480268,0.14317775,0.405295,0.168109,0.038904786,0.051248968,0.66406167,0.012042046,-0.18714085,0.06979811,-0.26400504,-0.08588874
6,1.4023793,-0.16282737,0.15193652,0.13652503,0.6598655,0.8682816,1.6731169,1.3990662,0.55592036,-0.085259795,1.0356796,1.3480077,-0.6763384,0.39672855,-0.58402514,-0.35409176,-0.09397364,-0.2125462,-0.2240639,-0.0106806755,0.21591544,-0.4503152
7,0.092119604,-0.16324246,0.0654847,0.0516392,-0.044102073,-0.008308038,0.245323,0.3067217,0.3287645,2.3110907,0.0064477623,-0.2140669,-0.058160067,0.021105736,0.06576049,0.4493106,0.04598263,0.10055916,-0.015410304,0.12742671,-0.0059660077,-0.076846585
8,0.18876922,0.62034214,0.1533547,0.76588076,0.22604263,0.27861103,0.02331376,0.37415907,0.012549162,0.24155265,0.06747711,-0.45226148,0.42175686,0.5675802,-0.29864818,-0.29693174,0.40595466,0.1997029,0.38157615,-0.09233701,0.1015524,-0.07311632
9,0.29361644,-0.25676548,0.0009608269,-0.035380065,0.03187591,-0.020926237,0.03992729,0.33812177,0.04684481,-0.17170805,-0.07907945,0.17288256,0.6296201,0.5378242,0.39175344,-0.57088566,0.68012166,-0.18149799,0.04176742,0.08510864,-0.12771851,-0.4610375
10,0.022869006,-0.032723125,0.021137327,0.46576208,0.19264852,0.102849424,0.14948198,0.9113579,0.16291727,-0.57241786,-0.05049011,-0.16676167,0.29815865,-0.25202757,-0.17186117,-0.34212264,-0.34101462,-0.12720367,0.07255858,0.0889811,-0.056136847,0.50039196
11,0.25163525,0.27050218,0.22347581,0.76594615,1.7044457,1.4337447,0.5438073,0.4825011,1.2828945,0.15250632,-0.2894592,0.14801311,0.06162364,-0.23813385,-0.014846504,0.18110424,0.093152046,-0.50683904,0.54479414,0.058500588,1.0681801,1.7794952
