,2h(-7),2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-5),2h(-5),2h(-5),2h(-5),1o3ol(-5),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),ea(-5),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,PFO,PFO
0,0.0902766,-0.014629707,0.06409669,0.22704029,-0.07906841,-0.36132866,0.111665726,0.061115146,0.17508739,0.058803856,0.14561576,-0.09409243,-0.106277764,0.18830983,0.15370363,-0.2681479,-0.6003766,-0.19424996,-0.2213257,0.023127764,0.019145608,-0.20905209,-0.52802026,0.025350034,0.33924943,-0.23680824,-0.20357406,0.07358843,-0.01909864,-0.108934745,0.11446595,-0.23632607,0.74617016,0.33914292,0.11958903,-0.28667206,0.2792958,-0.2787989,0.18107551,-0.1445623
1,-0.2158854,-0.14767933,-0.065443516,0.12379801,-0.102120034,0.6310097,-0.3308895,0.022153378,0.044341534,0.5296579,0.36809435,0.14125979,0.3108306,-0.09840009,0.013050139,-0.08449054,-0.15294337,0.01919647,0.055114865,-0.080071926,-0.12195864,-0.32525247,-0.19945967,-0.11951399,-0.15903448,0.64648515,-0.07454169,-0.2226888,1.5074011,1.289174,0.6738111,0.62524766,0.7027962,0.119139194,0.14432698,-0.18173349,0.15614754,0.7366345,0.048923135,-0.10459757
2,-0.014304653,-0.09796728,-0.20350185,0.18966293,-0.1978845,0.12867045,0.5459109,0.09476435,-0.7555919,-0.38566405,-0.28306675,0.2124927,0.3284663,-0.09700437,-0.3307858,-0.22398254,-0.19842702,-0.13318247,-0.20194036,0.94776654,0.22984727,0.55185294,-0.8106375,-0.047646224,0.16999333,-0.32097918,0.3971605,0.18178743,-0.34655884,-0.02467981,1.5170583,-0.15966088,0.31948018,0.48798928,0.4674955,-0.26736084,-0.24223882,0.2853198,0.29039258,0.20350087
3,0.097009495,0.006141439,-0.1588494,0.5500971,0.31400135,0.11285812,0.71711934,0.08268452,0.17174377,-0.38075364,-0.5216081,0.20282304,-0.50789535,2.6952925,-0.24269688,-0.45887697,-0.106960654,0.054245584,-0.062589556,0.26115674,-0.53000814,0.38440472,-0.631352,-0.3003179,0.08783892,-0.19596064,-0.08890039,0.0824604,-0.23066318,0.5307869,-0.048442602,-0.23416376,0.45455283,-0.49643767,0.6095415,-0.07687527,0.0307042,0.08728093,-0.08063918,-0.21524084
4,-0.0855636,-0.3290915,0.11005622,0.039563358,0.37461653,0.1948849,0.15105487,0.12280464,0.25302055,0.838128,0.11056152,-0.19537169,-0.3726019,-0.1482208,-0.19246233,0.23946479,-0.051413596,-0.19315088,-0.13642806,0.08762807,-0.013664395,0.03183797,-0.2861335,-0.6717193,0.17144485,0.11819303,0.37329677,-0.055132985,-0.32094783,0.3732124,0.07727189,0.317154,0.5205877,0.617168,0.11912313,-0.07877663,-0.087162375,-0.45830825,0.5155398,0.20004421
5,-0.82208884,-0.43865895,-0.27363274,0.4033231,-0.53729916,-0.42136788,-0.2927063,0.23407769,-0.12602611,0.3520025,0.40027016,-0.011988163,-0.553901,-0.107325196,-0.51628476,-0.025142707,-0.57364583,-0.46481043,0.06733835,-0.06203544,-0.2264061,-0.21630484,0.027050793,-0.51874644,-0.21919729,-0.27749133,0.10099357,-0.015262365,-0.07178187,1.3198376,-0.0063917637,0.025147917,-0.12601072,-0.32808512,0.08095536,0.1220984,0.06828463,0.12138347,0.1626595,0.10143502
6,0.031952024,-0.029922396,0.022269666,-0.037016273,0.3558278,-0.00051903725,0.05677259,0.05362594,0.40617853,0.15910695,0.17794782,0.23346245,0.60860264,0.5832378,0.19054475,-0.03276077,-0.045629025,0.0861069,-0.10042989,0.056964517,0.8325014,0.18534026,0.2207579,-0.023966134,0.20707035,0.06017503,0.15495586,-0.034936428,-0.47347295,-0.13290572,-0.09950867,0.22713727,0.5390277,-0.10619664,0.00027948618,0.085565805,-0.17861244,-0.028331786,0.08361569,0.11639631
7,0.017082214,0.31373438,-0.23347434,-0.030790329,-0.005667001,0.153476,-0.048441574,-0.09216511,-0.0492301,-0.013933033,0.13525285,0.35900843,0.048101913,-0.78259885,0.1674691,-0.43255186,-0.15157117,-0.2476219,-0.18401617,-0.1552521,0.1559541,0.39443088,-0.3596866,-0.08437157,-0.08807167,-0.004458666,-0.13804936,0.17894322,-0.10899648,0.18987703,0.046210133,0.11872837,-0.328341,0.24077147,-0.109741956,-0.26304984,-0.13935709,0.04380682,0.18914956,-0.25756615
8,0.06531149,-0.025709316,-0.46914843,0.1782787,0.009917885,-0.19226944,-0.24120986,0.026801884,-0.22890997,0.134689,-0.0031989813,0.078550994,0.23599687,-0.06328738,-0.53438085,-0.37317306,1.8486023,0.35642597,0.3164298,-0.03621608,-0.2963907,0.18678898,0.06557074,0.27549976,0.55464077,-0.3984065,-0.6099024,-0.34374315,0.23564309,0.30535662,0.12405042,0.87203735,0.13168699,-0.49336994,-0.01970929,-0.037403405,0.19248392,0.6065874,0.1339665,-0.0009509921
9,0.13112536,-0.15980694,-0.007227361,0.16852337,0.042731553,-0.01071009,0.06320244,-0.004394084,-0.10880235,0.02113688,-0.07286337,0.023226023,-0.0037163496,-0.12772295,-0.051760703,-0.036983132,-0.009718478,0.26183754,0.021170288,-0.089597434,0.054555267,-0.07840717,0.100438565,-0.08316319,0.098228246,0.10706957,-0.06111425,-0.018069834,-0.060697258,0.024969384,-3.2968848,0.2737615,-0.07086559,0.014421478,-0.023489147,-0.25210857,0.0152667165,-0.4425696,0.33151457,-0.071217954
