,2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-5),2h(-5),2h(-5),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,PFO
0,0.12076299,-1.2264557,-0.11552298,-0.18377349,2.0642004,-0.07875327,-0.4645662,-0.09233257,-0.43965706,-0.1212679,0.3988405,0.40687773,-0.39197382,-0.08870703,0.06446713,0.64729476,0.42719886,0.27668208,1.5511575,0.08196318,0.43080974,0.36944652,-0.04245144,0.47327986,0.30045834,0.35835344,0.6041371,-0.14419916,-0.42555264,-0.12944901
1,0.04246525,0.011430547,-0.07425432,-0.027393192,-0.118209064,0.31138328,0.29277653,-0.0086568,-1.0234141,0.42190218,-0.15810114,-0.080951035,-0.37813443,0.020606175,0.0497849,-0.37196076,0.35386828,0.47435308,0.09544015,0.056138873,0.056511544,1.717623,0.34184736,0.4604734,-0.039782345,1.0358219,0.2970274,-0.1943632,-0.05842471,-0.1817778
2,0.2831211,-0.53607947,-0.1362899,-0.037653245,-0.3301239,0.024611473,0.03636509,0.105978355,-0.13183096,0.5024174,0.35503802,0.31459612,-0.08965455,-0.024581224,0.9049624,-0.0027982593,-0.23122728,0.15398985,-0.33692732,0.16786456,-0.13913348,0.35294664,-0.1180011,0.15097618,1.0850929,0.4061877,0.2032444,-0.20199955,-0.41957116,-0.570908
3,-0.024594903,-0.16791297,-0.0044767708,-0.44891924,-0.17330274,0.41955927,-0.32404274,0.22998455,-0.05346802,0.2900322,0.06522155,-0.16781528,0.51744056,-0.50188774,0.4023888,-0.026193112,0.04401067,-0.007765293,0.5866565,0.19191271,0.24579439,-0.3348045,-0.0053083003,0.4035237,-0.3371025,0.46686733,-0.10224318,-0.30421603,-0.3641111,-0.5167658
4,-0.2110543,-0.35892785,-0.41923466,0.21217692,-0.1896077,0.15697396,0.39014697,0.11983149,-0.16962934,0.29790264,0.022350252,0.13883601,0.43165523,-0.07156339,-0.095870554,-0.28444767,-0.6173768,0.13491392,-0.5761492,-0.06594157,-0.2286408,0.8616036,0.15910596,0.029135823,0.04283595,-0.20692322,-0.21073554,-0.1745473,-0.3381223,0.25617626
5,-0.4021983,-0.24446407,0.053051084,-0.50024855,-0.48053408,0.080242395,-0.23389274,-0.44828635,-0.35516953,0.10845083,-0.28247315,-0.18723412,-0.49891484,0.21103266,-0.050629877,-0.03589298,0.33354825,-0.010054886,-0.16481245,0.14316367,0.044785053,0.5274881,-0.16873896,0.06731629,0.2926814,0.049085557,-0.19089466,-0.046629637,0.16771406,-0.18507355
6,-0.020862497,-0.013373971,0.04646629,-0.55704904,-1.1339086,-0.2967265,-0.2723027,0.14893961,-0.6219962,-0.11272067,0.2775454,0.20181143,0.12959369,0.121998355,0.2653496,0.22705102,-0.023049742,-0.31629995,-0.6787633,0.23470145,0.41146964,0.667964,0.32824025,0.40499794,-0.74285734,0.08315204,0.0060932785,0.36277792,0.10233241,-0.42388415
7,-0.914138,-0.2742976,-0.15258753,-0.3028858,-0.2861321,0.037127793,-0.05510678,0.013106585,-0.28184587,0.32430384,0.087180436,-0.02345118,-0.34787244,-0.40341172,-0.45344287,-0.274527,-0.3994033,-0.21415687,-0.4998104,0.37790966,0.24962765,0.084852576,-0.14915973,0.13098413,0.027193189,0.258835,0.074094474,0.34106165,-0.19735773,-0.18169208
8,0.16212368,-0.5763492,-0.27794516,0.0667921,0.08812721,-0.19883263,0.4359515,0.7443757,0.21549076,1.1265503,0.6284461,1.0508105,-0.1546157,-0.17490762,-0.40675598,0.87701267,0.19727704,1.4252894,0.6029896,-0.18233779,0.15592098,0.22476222,-0.38705832,0.0024688244,0.38034296,0.12039864,0.04596129,-0.50105804,-0.04613331,-0.47633997
9,-0.0062211454,-0.021867335,-0.042416513,0.066539496,0.1294495,0.15699014,-0.043654695,0.0063969493,-0.08424776,-0.06935857,0.13229093,0.45441574,0.004076332,0.15839183,-0.16948304,-0.08178322,-0.08187011,0.043777473,-0.07223803,0.0606571,-0.201961,-0.05331239,-0.14549425,-0.11809744,-0.07301329,0.0641422,-0.5220773,0.022889316,0.009200588,-0.12957346
10,1.0529658,0.16822116,0.19649214,-0.114111945,-0.029950172,0.023081183,-0.10703802,0.074909925,-0.3161145,0.3646116,0.045252696,-0.04056704,0.6033077,0.5557583,0.046845153,0.5552343,0.1189048,-0.14100775,-0.10724521,0.065152556,0.27502868,-0.031534016,0.7214937,0.3921619,-0.2114708,-0.1407007,0.41470402,0.122134894,-0.7232591,-0.44294944
11,0.1442216,-0.399607,0.048772037,-0.14504525,-0.046708047,-0.10975602,-0.33976793,-0.4570511,-0.17836976,0.21431515,0.20242679,0.16605419,1.7702765,0.8847435,0.7336875,-0.31047487,-0.0095676035,-0.511579,-0.5416809,-0.08414027,0.08171272,1.1374731,-0.09031865,-0.11722314,0.2646581,-0.023656309,0.24963355,0.5049892,0.022550758,-0.078267515
