,2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-5),2h(-5),2h(-5),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,PFO
0,0.6022649,0.3099677,0.13281655,0.009168029,0.04170406,0.01716584,0.22047022,-0.1977641,0.055785656,0.12063745,0.028762221,0.024875998,0.17100894,0.31022388,-0.30931324,-0.24443597,-0.13454819,-0.047585428,0.03728687,0.9391274,0.15211266,0.4114411,0.15834093,-0.15379673,-0.20899737,0.14318189,-0.09420705,0.2852038,-0.032499522,-0.031784177
1,0.3892609,0.2152844,-0.0988656,0.48916158,0.26764187,-0.029411733,0.32679105,-0.25217098,-0.034942567,-0.13062504,0.1114012,-0.020684183,0.33046895,0.49325976,0.033338785,-0.17904487,-0.18741171,0.16421193,0.36855662,1.0105007,0.18008173,0.03783062,0.1473732,0.03372383,0.09525353,0.2633704,-0.09764665,0.29105952,-0.09794758,-0.15384108
2,0.28438842,-0.27926296,0.19715583,0.039400816,-0.24683201,-0.28284,0.17337808,-0.066221535,-0.18147695,0.41559345,0.024390817,0.015719354,0.019125491,0.21415856,-0.041357398,-0.11383459,-0.5764853,-0.0023150444,0.19737935,0.013064757,0.17344028,0.23836112,-0.22053388,-0.24746418,-0.0613949,0.38918912,-0.04147637,0.2933994,-0.52548933,-0.23978359
3,1.3351357,0.31651905,0.44442654,0.2559657,0.23773958,-0.20979694,-0.13424191,-0.5407622,-0.11893737,0.12630014,0.35674933,0.04761082,0.36307144,0.6758412,-0.48031908,-0.4829754,-0.3905848,-0.022758067,0.23662624,-0.18970478,0.22738639,0.50712717,-0.35668337,-0.34025282,-0.12360042,0.20520866,0.13366455,-0.03188336,-0.32960945,-0.70672894
4,0.5278454,0.9573524,0.5249135,-0.2492395,0.11582619,0.21407092,0.29547974,-0.3095855,0.07839988,0.9505292,0.025684416,0.40314928,0.059986383,0.66203773,0.074278206,-0.6623934,-0.108887576,-0.04414183,0.31716856,0.23943841,-0.013139546,-0.44164145,-0.48744482,0.14592665,-0.039379254,0.6309454,0.09003642,1.0938452,-0.08574188,-0.11240059
5,-0.08054906,-0.24426298,-0.19520226,-0.27866584,0.12076765,0.74711865,-0.24316767,-0.22273183,0.025075376,-0.23012424,-0.10669358,0.3312481,-0.33717728,0.1469537,0.19669783,-0.2965538,-0.40549165,-0.40873402,-0.097501904,-1.2392602,0.032350823,-0.5913023,-0.99197423,0.27187663,-0.030215144,-0.037180364,-0.29107448,-0.0824762,-0.11108046,-0.24133225
6,0.039015412,0.2859246,1.002504,-0.15325424,-0.18636192,0.015194267,0.3246557,0.1289677,-0.034559578,0.4069669,0.37600312,-0.375592,0.13743442,-0.18429464,-0.13493745,0.10517421,-0.100420475,0.1696038,-0.09055993,-0.6714369,0.28586793,0.1076475,-0.2005286,-0.23517808,0.082630605,-0.06853419,0.3890243,-0.367507,-0.14456558,0.16004404
7,0.0963217,0.50943965,0.15865424,-0.19863568,0.0038414896,-0.1921311,-0.18138927,-0.6560664,0.45347053,-0.08656529,-0.08892506,0.005549699,0.40486127,-0.18729365,-0.25422,0.34296513,0.76259434,0.47812632,-0.39643207,-0.039831594,0.10008341,0.17108536,-0.483574,-0.20133644,-0.8450216,0.07758325,0.12441856,0.010271907,-0.28470546,-0.05032289
8,0.78374386,0.36778295,0.10736638,-0.06166935,0.11955264,0.30856037,0.40501833,-0.23795152,0.5133771,0.3483255,-0.15722275,-0.1630923,0.31072146,-0.12604588,-0.7360345,0.11845094,-0.23035258,0.17409709,0.15602484,-0.27230707,0.117114544,0.43127972,-0.046475552,0.055262253,-0.36410666,0.17257252,-0.23618789,0.0504148,0.35778332,-0.24645048
9,-0.4136688,-0.13638547,0.25583044,-0.33843505,-0.50342226,0.1644292,-0.19239736,-0.40056866,0.46699744,-0.38038746,0.114201516,-0.32561967,-0.06794655,0.27302858,-0.36950013,-0.59984434,-0.35569143,0.28237343,-0.0056805015,-0.023945294,-0.2713219,0.6564493,0.80574495,0.8824798,0.48861116,0.75529563,0.5947894,-0.7907722,0.16665268,-0.039827645
10,-0.080010414,-0.13103107,0.031260908,0.27243203,-0.6197516,0.094539255,-0.2490161,-0.06596532,-0.040251732,0.96674675,-0.07670218,-0.2392646,-0.15937078,-0.17698884,-0.35300165,-0.122211136,-0.25295532,-0.10770726,-0.36602387,0.64570165,0.076232314,-0.16002972,-0.38047022,0.34736037,1.1189537,0.9241459,0.5471448,-0.25462297,-0.09993112,0.048092544
11,0.29085547,-1.0702353,0.43948343,-0.02763319,0.6673671,-0.06953186,0.1863594,0.33432627,-0.024802536,-0.081950486,0.8086287,1.0534942,-0.8150431,-0.5153365,0.06744295,-0.56323034,-0.052133694,-0.28423935,0.055513293,-0.5536928,-0.031161904,0.25739807,-0.16013277,-1.3656671,0.0198583,-0.008401334,-0.21471432,-0.116646916,-0.058121085,-0.05150816
12,0.4758855,-0.7562008,0.3489219,-0.032558322,0.039898343,-0.37874383,-0.05320406,-0.93993324,0.65737534,-0.59154224,-0.6676429,-0.51843023,0.29900467,-0.060343593,-0.5271793,-0.28594112,-0.7833262,-0.40365273,0.24049373,0.13489339,-0.20873833,0.80655354,-0.2127966,-0.49622875,0.025531821,0.26259106,0.7347667,0.09893453,0.43829572,-0.043091357
13,0.26721716,-0.5138457,-0.010561049,-0.44637397,-0.20983136,-0.19681132,-0.19318473,-0.15186834,-0.12850106,-0.07964595,-0.44147637,-0.021884024,-0.2633227,0.32015336,-0.23969285,0.0010708869,0.24142426,0.3265683,2.5231643,0.68429077,1.1970831,-0.5848929,-0.3114213,-0.2514376,0.8214574,-0.050266296,1.0162579,0.27780363,0.13001893,0.21118498
14,0.71716905,0.7062075,0.019791126,0.29749477,-0.8311243,0.1361289,0.61625695,-0.11746919,0.19775164,0.09387088,-0.26971632,0.23104754,0.097276926,0.06030215,-0.39088696,-0.37908638,-0.38047254,0.025422573,0.6761857,0.69184226,0.4437772,0.301827,-0.18645656,-0.2238698,-0.52092576,0.7107623,0.40219188,-0.14209291,-0.25072515,-0.22370648
15,0.34781516,-0.17272091,0.014508903,0.07835761,-0.10995956,-0.1877855,0.040566683,-0.21794096,-0.16074443,-0.39585882,-0.17025113,0.35657555,-0.02858454,0.3247462,-0.39380014,-0.49666336,-0.11423449,0.7010697,0.31267715,0.42002797,0.29700288,0.36192447,-0.34144962,-0.0659475,-0.06219989,0.24768636,-0.106496245,-0.028665155,-0.018890142,0.12853867
16,0.1715683,-0.31514525,-0.08123329,-0.20787823,-0.15457758,-0.19012123,-0.543368,-0.36443874,0.17564034,-0.3355052,0.2923746,0.2574217,-0.17590207,0.055909723,-0.5216098,-0.26966125,0.6735137,0.117352724,-0.1074183,-0.16146019,0.36765027,0.022202611,-0.4020845,-0.41815308,-0.09900004,-0.488754,-0.42964244,-0.4485175,-0.2811424,0.36096936
17,-0.0021110177,0.11892668,0.26094922,-0.32383615,0.39604056,-0.47560048,0.16389161,0.07880503,0.22400033,0.11267996,-0.1988866,0.055404395,-0.4330111,0.023360193,0.48448843,0.07778525,0.09909451,0.100525424,0.18344921,0.21287787,0.1942513,0.24319124,-0.23652092,-0.21427298,0.4831457,1.130814,0.9088708,0.06237471,-0.13498175,0.24561471
18,0.18311727,0.22905241,0.048729032,0.011178553,-0.26655543,-0.21961486,-0.15233552,-0.3703933,-0.21902913,0.6372715,-0.35101253,0.5585006,0.9000656,-0.3369063,0.49610844,-0.16731441,0.000795275,-0.32232624,0.28601784,0.17063713,-0.5458266,-0.2878542,-0.79144764,-0.27062207,-0.14888203,-0.61846536,-0.16250362,-0.14193416,0.2721736,-0.51730025
19,1.4706259,1.0573647,0.6294098,-0.021428555,-0.31198898,-0.13601917,0.97055024,0.23990256,0.3849879,3.8229737,3.945848,3.3257103,0.7335007,0.07887614,0.350713,2.27285,2.3849163,1.4984661,0.70964223,0.23764908,0.34936705,0.81580615,0.8737851,0.24143986,0.4880582,0.77347934,0.6836056,0.35927922,-0.2047041,-0.10043442
20,-0.5635872,0.10189779,-0.21543807,0.29773867,-0.2549311,-0.076033235,-0.54552495,0.2539959,0.37101725,0.83956844,1.0509088,0.59130645,-0.3018725,0.5629847,-1.3701463,-0.09735464,-0.40336013,0.104872406,-0.2070425,-0.47868246,-0.42508844,0.05895844,0.5152406,-0.13432857,-0.1414113,-0.21400797,-0.011763871,0.12419778,1.6226639,-0.42016083
21,0.34943217,0.47233078,0.105567604,1.2546668,0.79789674,0.118099466,0.17761928,0.52199936,0.7277374,0.11946512,-0.45580292,-0.009286255,0.030010432,-0.3446829,-0.0015131235,-0.42029205,-0.33253533,0.097081006,0.5791202,-0.17023799,0.22418132,0.29055724,-0.1548641,0.05549699,-0.236978,-0.25636637,0.39646783,0.32623458,0.081294626,0.1194675
22,0.9129759,-0.006164849,0.15614474,0.14874968,-0.06929779,0.14588624,-0.08795276,-0.34381032,0.3044362,0.029761612,-0.2654981,-0.30379924,-0.6517817,0.08556019,0.21253073,-0.48355496,-0.046911538,0.010882795,1.1022165,0.39989096,0.21193978,-0.044077575,-0.5820415,-0.36527836,0.120425254,0.64218915,0.17694798,0.21190205,-0.15117955,-0.4243049
23,0.4656852,-0.41277623,0.0034111738,-0.019393109,-0.25760913,-0.3274579,0.56103784,0.20900041,-0.07172543,-0.027059704,0.0985021,-0.05035913,-0.033914328,0.21165949,-0.037077904,-0.2832119,-0.016579524,0.10223293,0.8219615,-0.28814793,-0.42901957,0.15686598,-0.18065998,-0.09456605,-0.20985031,-0.073186874,0.21696173,-0.41153082,-0.53049016,-0.41125056
24,0.5068919,-0.1505219,0.5765036,0.025463954,0.3976102,0.17441985,0.5385315,0.15318955,0.045736134,0.05757141,0.32968053,0.5416238,-0.5142496,0.04635234,-0.74650204,0.022116616,-0.08592135,0.044605814,0.05690849,-0.34422386,0.34641165,-0.04148805,0.5409695,-0.2787557,-0.043048322,-0.19517958,0.16494186,-0.10682249,-0.88593113,-0.026259715
25,-0.050032973,-0.15853378,-0.30159822,0.062213004,-0.056438923,-0.047714233,0.13236165,-0.17776632,-0.017598093,-0.72405803,-0.27823702,-0.27565557,0.7550499,0.6773528,0.77916944,0.09183329,-0.22660065,0.25949913,-0.0351689,-0.20094258,0.16295087,0.102949806,-0.5354042,-0.22670588,-0.53920126,-0.02290833,0.0146788955,0.016263813,-0.07573113,-0.59806234
26,-0.17612267,0.42455965,0.0924499,-0.028517336,0.32906538,-0.1724081,-0.33584183,0.170663,-0.28835872,-0.33453494,0.18803863,0.06336534,0.11696482,-0.121757686,0.09794092,0.11151934,0.013394713,-0.10105981,0.03388846,0.85732234,0.43351948,3.3913763,2.5241714,1.4506807,3.0238206,2.289615,2.2575657,0.68677354,-0.46117747,0.03658384
27,0.3349985,-0.03840685,0.25116706,-0.46532845,-0.20146406,-0.3919267,0.06717163,-0.09944956,-0.17636448,0.38773906,1.4282001,0.078466,0.7227036,0.33701742,0.07151678,1.2855062,0.44247988,0.6848887,0.32824534,-0.82559097,-0.28625554,0.47468877,1.4223995,2.035914,-0.9229759,0.5507239,-0.92710924,0.29363066,0.42426974,-0.23784345
28,0.37765843,0.21104598,0.32700306,-0.31636062,0.24093601,-0.22152865,0.37055206,-0.023988962,0.27765805,-0.5463336,-0.4387168,0.21757436,-0.10145295,-0.3122241,-0.39446425,-0.44997117,0.026972026,-1.1284162,-0.07597834,-0.17501009,-0.25470904,-0.46563476,0.12387943,-0.07934044,0.37118945,-0.5443358,0.1899847,-0.18530649,-0.45780128,-0.26928318
29,0.35793847,0.7208308,0.82906425,0.25165427,-0.23399664,0.303636,-0.1940502,0.27385598,-0.22601092,0.4787209,0.3122211,0.3305507,-0.23797816,-0.3458172,-0.42453796,0.089211464,-0.27682889,0.10667476,-0.5193559,-0.57866293,0.20900428,-0.26098424,-0.026931047,0.037268043,-0.06832814,-0.30702832,0.17903835,-0.36550152,-0.08176158,-0.10001159
30,0.68637514,-0.10956621,-0.10482091,0.384303,-0.50549716,0.29114914,0.018086195,-0.08047587,-0.0040106177,0.03755547,0.209435,-0.12830102,0.13979638,0.03868091,-0.33990186,-0.23220551,0.48726064,0.07934928,0.9694008,1.7439827,0.9926044,0.49998856,0.3694796,2.2602587,0.08999116,1.2383646,-0.040915012,-0.21757957,-0.32132795,0.33810002
31,0.29301977,-0.50632507,0.25415787,-0.12719792,0.024099797,0.46998274,-0.05540204,-1.1498065,-0.10583034,0.13791054,-0.49147603,-0.33377233,0.48835498,0.61661994,0.64083993,-0.041204862,-0.27763346,-0.34436297,-0.5463426,-0.10982394,0.096538216,0.13131095,-0.13889082,-0.3051864,-0.18823698,0.2738942,-0.07583329,-0.1470653,0.3433408,0.27955815
32,0.14794385,1.4203619,-0.06275594,-0.18857467,-0.21376383,-0.37974924,0.5776372,-0.2373469,-0.26530832,-0.42546952,0.18922903,0.017045736,-0.18570381,-0.59253705,-0.1345262,-0.50990564,0.17518008,-0.28771687,0.085350975,-0.93871593,-0.61721414,-0.094480276,-0.3843211,0.14667124,-0.5209266,0.27781916,0.35835442,0.51650417,0.05127734,0.03382805
33,0.40057182,-0.14764786,0.119115114,0.033149213,0.6879151,-0.19336821,-0.5891174,-0.004080236,-0.17149264,-0.111387976,0.3821802,0.18581128,1.8489972,0.17954004,1.1848791,2.7239847,1.280755,1.745981,-0.0759193,-0.010137409,-0.9847079,0.35164422,0.018442854,0.5026971,-0.9134326,-0.025365187,0.3119625,-0.18248619,-0.07281786,-0.019610316
34,-0.0600963,-0.15787038,0.80793786,-0.042525858,0.5631263,-0.2875358,0.767015,0.43001366,0.14409454,-0.021458536,-0.085850134,0.28529096,-0.08483088,0.31981778,0.016369343,0.8728812,0.69591206,-0.22410601,-0.2786202,-0.022333086,0.24154274,0.03537616,-0.6457181,0.52319443,-0.40885222,-0.24348524,0.035742655,-0.53801537,-0.16622192,0.10038781
35,-0.23105761,-0.4400225,-0.2667136,1.9165258,0.22843486,-0.04788305,-0.22363168,0.15423346,-0.25692368,-0.3046573,-0.4337419,-0.24545556,-0.13050413,0.0845342,-0.05522637,-0.17845374,0.2761781,0.09324743,-0.5667336,-0.35625342,-0.20975207,-0.12785363,-0.08919513,-0.116160035,-0.12119177,-0.3401819,-0.13096142,-0.18740934,2.182664,0.019428253
36,0.14870343,-0.10594395,0.16977096,-0.06923449,0.20341289,0.19624487,-0.0011194944,-0.22089726,-0.13257033,-0.34317607,-0.2907666,-0.70708483,0.19167948,0.22417656,-0.16664535,0.1292334,-0.6643017,-0.011971891,-0.2817192,-0.4537658,0.18667287,-0.39674252,0.28315538,0.13559335,0.06334922,-0.54930496,0.009732485,0.34906805,-0.1600382,-0.22303835
