,2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),ea(-7),ea(-7),ea(-7),eb(-7),eb(-7),eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,PFO
0,0.46205407,0.79729676,2.5530572,-0.19760305,0.04380709,-0.24131465,0.3005948,0.6472948,2.006817,-0.31812885,-0.17894751,-0.17287177,-0.12768245,0.07107416,-0.059944868,0.10683116,0.15794152,-0.11381644,0.077694416,0.03291717,-0.13027042,0.0276047,0.04057941,-0.4265377,0.027587771,-0.24915183,-0.31972542,0.11653617,0.09932116,0.4393047,-0.005784154,0.19753662,0.24934295,0.053627312,-0.12747642,0.28247964
1,-0.07077211,0.11843953,-0.25792077,0.5057426,-0.09967497,-0.15285124,-0.045220077,0.11657497,-0.32032764,0.019379586,0.10764462,0.06751169,-0.019641995,-0.08706407,-0.4585878,-0.55593383,0.055226266,-0.43297362,0.31783414,-0.035633564,-0.10979587,-0.46088687,-0.03982085,-0.14635682,-0.18553776,-0.371808,-0.27081823,-0.22438097,0.005741656,-0.7446214,0.09564316,-0.13110429,-0.6527623,-0.03382212,0.24661744,-0.10598397
2,-0.055735797,-0.07504302,-0.1666696,-0.048353493,-0.1602636,0.117753744,0.10462749,0.012137771,0.078344725,1.1183932,2.6478667,2.4940758,0.010261953,0.5574317,0.85088784,-0.08338386,0.041677058,-0.18007064,-0.02164948,0.019909665,-0.36237508,-0.06102389,0.21671581,0.3020094,-0.09480429,-0.17894605,-0.18237269,0.3040486,0.2676036,0.8165832,-0.115110636,0.1321963,0.22621979,0.05705583,-0.08289111,0.1377399
3,2.2857587,2.36946,2.1277363,-0.041737556,0.4942552,0.017506912,1.52112,1.418314,1.2269733,0.43483472,1.3661984,1.5820525,0.5304827,0.91581887,0.34329706,0.1703521,-0.160337,-0.0207268,0.19288278,-0.566706,-0.33514458,0.79779685,-0.11883354,0.0376935,0.31736696,1.4463143,1.2503662,-0.01869011,0.04420206,-0.29593897,-0.16102833,0.3832664,-0.022986084,-0.2952479,-0.45317495,-0.049212217
4,-0.11305565,-0.114099145,0.072427236,0.08455539,-0.13489926,-0.11325883,-0.26007128,-0.013185263,-0.49557942,-0.004334122,-0.16570342,0.037513494,-0.27734885,-0.20012276,-0.4185176,0.17235565,-0.059368134,1.4665788,-0.4070875,0.015715182,-0.2298502,0.14862335,-0.10797191,-0.48117208,0.38213557,1.697164,2.4349031,0.8126373,0.84001297,0.5217983,0.60675025,1.3545799,1.3377357,0.19492137,0.04657644,0.6646124
5,0.10811579,-0.47296092,-0.059826046,-0.20981917,0.3559278,0.56920296,0.3819623,-0.47962996,-0.18166232,-0.39362708,0.046681166,-0.35974115,-0.28828672,-0.19993722,-0.37567395,-0.20438403,0.15461913,-0.109169245,-0.22688761,0.06250864,-0.2504241,-0.22334057,0.22473393,-0.12016548,-0.27239543,0.05938284,-0.1912831,-0.01822266,-0.013427466,-0.43857712,0.22767389,0.16241837,-0.2561884,-0.07799286,-0.06571743,-0.30059254
6,0.4135244,0.13563463,-0.17716396,0.1051448,0.18457788,-0.78099364,-0.27461854,0.15656301,-0.52843094,-0.19253191,0.46721944,0.050526142,0.12183648,-0.14378276,0.17773208,-0.05834931,-0.067590415,-0.27488685,0.0051283836,-0.3410977,-0.020533442,-0.19879293,-0.020751804,-0.4372185,-0.23202306,-0.05181247,-0.17345,0.1179862,0.052408516,-0.2394402,-0.1549958,-0.03744155,-0.054753125,-0.04667133,-0.07670253,0.6094497
7,0.13598186,-0.091764286,-0.18838888,-0.034199715,-0.13719726,0.29266244,-0.12559515,-0.18298721,-0.48947042,-0.069713295,0.25559258,0.68299973,0.025587916,0.21810946,-0.6834022,-0.09941968,0.11781768,-0.83747095,-0.11025077,0.23473436,-0.13050747,0.83203924,0.42777634,-0.18984628,0.5962509,0.9494729,1.3217254,0.24782816,-0.12731962,0.12816226,0.116808,0.01641488,0.17806154,-0.09539169,2.9862573,1.4694299
8,-0.36081502,-0.24433744,-0.4007842,-0.09373623,-0.14507526,-0.15793927,-0.17099285,-0.25674897,-0.50516677,0.45116347,0.5011921,0.030041426,-0.04384435,-0.13828081,-0.1314888,0.18847162,0.18359041,0.2888953,-0.31047875,0.1593668,0.11910188,0.1691727,0.10245615,-0.38255075,1.1038898,0.3908081,-0.34849128,2.2905939,1.3666604,5.002452,1.0677397,1.3485609,3.6205058,0.038390636,-0.30227643,0.26222998
9,0.45245606,0.41749772,1.6799389,0.71746004,0.67981875,1.6511896,0.97229755,1.2750897,4.165882,0.25354695,1.1500323,3.4572718,0.34711438,2.598466,2.241977,0.06689209,0.27776745,-0.68011224,-0.18149817,-0.47134632,-0.24683595,0.09516609,-0.060056806,-0.08159548,-0.30644408,-0.2159279,-0.12733835,-0.062389016,0.19332522,-0.019044042,-0.10847777,-0.033977807,-0.1838479,-0.32300055,0.025457233,-0.10405725
10,-0.07877302,0.066637635,0.21780328,-0.07845342,0.1520288,0.016252205,0.23335926,0.17686662,0.38457978,-0.18001121,-0.087625384,-0.41487253,-0.29459098,-0.3110631,-0.29024714,-0.05666253,0.21687531,0.8488288,-0.17102045,0.19803986,0.16841596,0.6618065,0.18905945,-0.06802654,0.5250697,0.3928173,0.34166354,0.09516823,-0.008695066,-0.23488605,-0.05455044,0.03630227,0.06884559,0.20963705,-0.100062616,-0.33007336
11,-0.3394704,-0.11076081,-0.19546223,-0.22914973,-0.23813784,-0.29676318,-0.052877426,-0.16558778,-1.3029592,0.05965188,-0.0648478,-0.29895198,-0.24725485,-0.24208778,-0.39633307,-0.3137981,-0.16583654,-0.88560784,-0.028133154,-0.026936084,-0.5197538,0.021556437,-0.02989614,-0.3753996,-0.08466083,-0.07329717,0.21598637,-0.084630966,-0.00910008,0.17915452,0.0021922588,-0.012083709,0.09345646,-0.19971275,-0.5282092,-0.03581509
12,0.56153053,1.6526444,2.2323053,-0.33357012,-0.20844257,0.1558752,0.21553558,0.8654258,1.4212145,-0.061377883,0.006300375,0.6202154,0.35832146,0.68547463,1.5300764,-0.02593863,-0.30486345,-0.71753496,0.060734153,-0.30010286,-0.09956156,-0.101810634,0.15523988,-0.1016399,0.07729623,0.13337848,-0.055191696,-0.057911485,-0.07854448,-0.008150786,0.16083181,0.038856953,-0.45357403,-0.34046975,-0.20240134,-0.19730276
13,-0.006534785,-0.03466265,0.29640552,-0.7485605,-0.28712702,-0.6869565,0.221006,-0.34426838,-0.25812957,0.341573,1.346283,0.44652894,3.2522383,2.3076692,0.5934433,-0.3427609,-0.34875685,-0.005065888,-0.09013647,-0.4014008,-0.42026854,0.17866105,0.15908304,-0.029461265,-0.3243878,-0.48204383,-0.2685255,0.014417917,-0.24267499,0.07231325,-0.32240033,0.04232443,-0.25937724,-0.65111965,-0.7244351,-0.23770612
