,2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),ea(-7),ea(-7),ea(-7),eb(-7),eb(-7),eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,PFO
0,0.48613548,-0.19321376,0.02475521,0.25183606,0.23466283,0.5390687,0.39896882,-0.2947137,0.77292466,-0.14051288,0.12518716,-0.07878685,0.09937522,-0.36321214,0.33744282,-0.14719006,0.26881737,-0.17546761,-0.22359711,0.122786224,-0.060723305,-0.10529244,-0.11606771,0.3193493,0.19167358,-1.0240877,0.2532094,0.03753221,0.25930834,-0.03331554,0.10923901,-0.16547802,-0.2665701,-0.044821233,-0.3183049,0.09317875
1,-0.46537665,0.14777893,0.1802835,-0.036062777,-0.10407096,0.1093355,-0.011312723,-0.32965776,0.26215568,0.38156438,0.7474415,2.3882282,0.20992118,0.6348945,1.5735928,-0.0440076,-0.11214608,0.19681807,0.21363091,0.0236319,-0.67937934,0.040384293,0.09216863,-0.11727898,-0.014997363,0.17797233,-0.40804422,-0.17521435,-0.2670823,0.058040082,0.03654349,0.04789126,-0.28932795,0.30083638,-0.20731619,0.06389117
2,-0.0831452,-0.09519644,-0.12972537,0.16449869,0.0689701,-0.015638322,0.11503309,0.26802868,0.12675446,-0.27473688,-0.09713037,-0.27717578,-0.102583826,-0.011855334,0.07344064,-0.058095694,-0.24478382,0.21034431,0.0045943856,-0.019926568,0.63143307,0.08757372,-0.036169283,0.19152343,0.06085089,0.09643598,-0.7584634,0.04796338,0.3520651,-0.24462694,0.07326394,-0.24966502,-0.43883246,0.22233206,0.5670741,0.4059769
3,-0.26874706,0.03495979,-0.058579743,-0.18392748,-0.2719295,0.40092838,0.0056506097,-0.3753837,-0.18882859,0.2471821,0.20464966,0.39694256,0.092618585,-0.033566415,0.33652073,-0.34592628,-0.18650532,0.30988473,-0.00049233437,0.21678758,-0.45447338,0.026319563,-0.13690111,-0.1197741,-0.1363442,-0.044097614,-0.37085778,0.017396212,-0.63558203,0.10382646,0.013441712,0.07321274,-0.4221447,0.30761203,-0.0663549,0.039901733
4,0.30537462,0.48657352,0.34796157,-0.024342775,0.003945112,0.57989013,-0.064593494,0.08349967,0.36399037,-0.07442933,-0.038062334,-0.40481526,0.12661254,0.030044734,-0.046526432,-0.06155747,-0.064551294,0.114874065,0.070402265,0.077748775,0.1412847,0.02434051,-0.13004953,0.22249639,0.0680753,0.5789173,0.28126806,-0.11909199,-0.13769913,-0.09767258,-0.06478226,0.30724737,-0.10480082,0.35743254,0.06965691,0.39751327
5,0.12209356,0.1049141,0.23131679,-0.12680876,0.34231818,0.34390992,-0.06074272,-0.1626963,0.5975731,0.014001727,0.037616275,-0.01097755,0.088020444,-0.27393514,0.3996902,-0.18236339,0.25118697,-0.2505985,-0.2371707,-0.026308537,0.7391645,-0.09956169,-0.3469916,-0.5873098,-0.07287377,-0.3436976,-0.368191,-0.048199426,-0.07624368,0.35779083,-0.08462733,0.15960377,0.30544588,0.2597627,-0.21066046,-0.40641558
6,0.65454,0.23514298,-0.25884145,-0.025392532,-0.79971623,0.019455135,-0.039505005,-0.4305172,-0.052059688,0.004441321,-0.17127056,0.007130608,-0.13024175,-0.18562917,-0.40007216,0.4522151,0.71742356,0.4157341,1.7086312,-0.034844905,0.029393539,1.0441427,2.0429306,1.3948324,0.68078566,2.3796785,1.7009318,0.5786432,-0.41370875,0.0046777204,1.5194919,0.15128964,1.7586803,0.22567742,0.14704873,0.2606179
7,-0.2588966,-0.019859195,-0.041324615,-0.15447748,0.10865998,0.12639207,-0.30303198,0.41141036,-0.21745789,-0.00036340952,0.21695593,0.36064708,0.123773575,0.57882756,0.06477815,0.04783237,-0.063081026,0.6247675,0.14264315,-0.101318516,-0.20426834,-0.06620628,-0.038359925,0.12793475,0.29943794,0.022295073,-0.2783693,0.08561844,-0.055356633,-0.030344725,-0.11554021,-0.10403371,-0.009477675,-0.065074384,0.013465181,-0.4802113
8,0.14611876,-0.41911477,-0.17527008,-0.05315596,-0.5733191,-0.10860619,-0.17539376,0.27142245,-0.41430068,-0.0003774166,-0.20179385,-0.35676327,-0.17756456,-0.09662676,0.24192163,-0.20527405,0.2559857,-0.3051344,0.11348355,-0.09446242,0.09536761,-0.105274364,0.28750896,0.47272947,0.3436551,0.2529564,0.9079474,-0.010958552,-0.04052259,-0.044948563,0.48168784,0.05453971,0.71848327,-0.19540091,0.39756906,0.3345586
9,-0.028841972,-0.46499398,-0.26812655,-0.15806133,-0.34837228,-0.06002122,0.29959965,0.25774863,-0.47771883,0.17395312,-0.3075817,1.0818609,0.28471744,-0.30970043,0.15513827,0.37588584,-0.16862255,-0.036467105,0.17614615,-0.2519315,-0.54192597,-0.12969476,0.6437594,0.25908932,-0.384053,0.2603817,0.038511813,0.09661433,1.0625769,-0.064352915,-0.3166623,0.36182934,0.53253615,-0.046467423,0.07847811,0.035407424
10,-0.13405722,-1.8162096,0.25790972,0.0414356,-0.0022220612,-0.4969275,-0.103408754,-0.011747867,-0.53197336,-0.08357835,0.102633536,0.2557001,0.03720366,-0.15542033,-0.16095607,-0.2648737,-0.36621007,0.15960264,0.07618928,-0.523371,-0.3296789,-0.20627505,-0.09221049,-0.5441274,-0.18532048,-0.22512816,-0.15137173,-0.2859218,-0.40588653,-0.4662959,-0.1122812,0.24601933,-0.2538731,-0.2893663,-0.5921693,0.3774284
11,0.35458988,0.11618914,0.09398687,0.1749133,0.04564178,0.34176654,0.2500167,0.035839617,0.46741593,0.058422327,0.26413667,-0.24107921,-0.15170377,-0.20459968,0.028027892,0.18881106,0.5395516,-0.17641938,0.033131957,-0.25942713,0.3815537,-0.22256032,0.032166064,0.16930902,0.34107903,0.067849144,0.46061093,-0.23772073,-0.12169585,0.18973047,-0.08716935,-0.5035184,-0.6071167,-0.14470488,-0.28372836,-0.118567884
12,-0.26238853,-0.21223417,-0.24772447,0.4316958,-0.020181239,-0.39652944,-0.905823,0.13764638,0.04889515,-0.06223297,-0.3818161,0.12278724,0.2439552,-0.5881559,0.30917656,0.09377575,0.36943597,0.7426424,-0.029379085,0.5500804,-0.37289792,-0.038685735,0.18180753,0.23451352,-0.14042038,0.4627029,-0.3816798,-0.25763124,-0.2004929,-0.27681494,0.08770454,-0.73741436,-0.38172233,-0.13637096,-0.13442436,-0.3567156
13,-0.2303389,-0.056911945,0.29757282,-0.21723187,0.31583598,-0.51604366,-0.22831333,-0.15111104,0.074181296,0.20873636,-0.27601504,-0.3695121,-0.14019197,-0.37053534,0.42090574,-0.3902462,0.28185228,0.14942425,-0.35505992,0.19370782,0.3377968,0.23164946,-0.09455569,1.4152541,-0.08633803,-0.7930436,0.04199958,-0.18724969,-0.06401147,-0.17171419,0.1569686,0.27156854,-0.18053897,0.03370413,0.097088695,0.08388519
14,-0.14130831,0.13626382,-0.121345796,-0.0029107332,-0.18296969,-0.27958822,-0.08701694,-0.23902678,0.21869028,0.15506768,0.23236912,0.26652122,0.052706122,-0.58718336,0.22813216,0.04190463,0.18436092,0.42856503,0.050371647,-0.011939883,0.14568543,0.0048122406,0.0583961,-0.35445392,0.10426879,-0.30195326,-0.45589817,-0.46918505,-0.28727242,-0.5248657,-0.038443983,0.6994553,0.18577334,-0.27259552,-0.3355078,0.15341896
15,0.039096057,-0.4462156,-0.68068874,-0.053691387,0.119147,0.017954707,-0.21362355,-0.029627908,0.18360636,0.44423485,0.43034533,0.87150145,0.23051172,-0.014864951,0.2830405,0.50174785,0.028838277,-0.061956882,0.10555166,-0.2752055,-0.24413311,0.19666666,-0.09209329,-0.04890883,0.09476817,-0.28822678,-0.36923587,-0.24787176,-0.1466963,-0.5887151,0.072320044,-0.26508433,0.011767745,0.017896473,-0.16371822,-0.22245461
16,-0.30329007,-0.40165627,0.2299779,0.074988365,-0.09457712,0.0220806,-0.16693604,-0.15765327,0.38099718,0.014963448,0.90720034,0.1627137,-0.060727,0.49353278,-0.048772752,-0.12633991,-0.28357777,-0.041229308,0.15336919,0.2801566,-0.06685513,-0.11031729,0.079028904,0.404862,-0.17532188,-0.17007223,-0.6224927,-0.14590669,1.0665289,0.69859123,-0.258321,0.3425213,-0.08586156,0.5915673,-0.013874197,-0.30385715
17,0.2607166,0.3454201,0.8298124,0.5351455,0.055450577,0.9611002,0.53217274,0.16597465,1.3299596,-0.03118229,0.19807541,0.27828634,0.3564597,0.059271693,1.1236466,0.1799702,-0.028008178,0.5611763,-0.11889207,0.4154439,-0.2564246,0.17064512,-0.15052962,-0.26680154,0.32059732,-0.16640845,0.28495693,0.17617124,0.042434633,0.35428616,0.35415867,0.060475707,-0.48362446,0.10426569,0.11583081,0.37279335
18,-0.2814088,0.38916796,-0.85342735,0.019922405,0.32768154,-0.091246456,-0.29870525,-0.056731343,-0.31297404,0.14268053,-0.420246,-0.5128316,-0.37684864,0.0069749355,0.033045642,-0.04255891,-0.016797662,0.41159976,0.29241803,0.3485793,0.29792282,0.24205017,-0.17404658,0.09493494,0.2648337,0.21217184,-0.03033933,-0.32955313,0.14481777,-0.044475663,0.13494849,0.2507038,-0.4635018,-0.2165424,-0.23089677,-0.299937
19,-0.27328575,0.16588691,-0.39777452,-0.05495757,0.043254465,-0.08400756,-0.07696813,-0.033417717,-0.40793997,0.11487341,-0.17779163,-0.33117205,-0.010107458,-1.9279947,-0.16474527,0.05667925,-0.006533593,0.37743446,-0.007985711,0.24250036,0.15841651,-0.44124973,-0.01587626,0.06885586,-0.29350835,0.2379022,0.059667766,0.08476627,0.14054233,-0.28115517,0.034989893,0.19654295,0.58839405,0.062678576,0.0016198456,-0.75959706
20,-0.015884817,-0.06723142,-0.25836843,-0.15732366,0.08047044,0.43154424,-0.6365806,0.8295213,-0.31171548,0.18822026,0.07975599,1.0481517,0.4967066,-0.029088536,0.9574126,-0.16983205,-0.2370637,0.39754084,-0.22639,-0.2038466,-0.75489986,0.10260123,0.64559996,0.25799358,0.099898934,-0.92191106,-0.28694952,-0.09716126,-0.2143482,-0.35164374,-0.32613903,-0.013958573,-0.5292153,0.7695321,0.18771946,0.100626774
