,2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),ea(-7),ea(-7),ea(-7),eb(-7),eb(-7),eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),Iaa(-2),Iaa(-2),Iaa(-2),banana,banana,banana,Bmix28,Bmix28,Bmix28,PFO,PFO,PFO
0,-0.27104717,0.14908534,0.016835388,0.04496932,-0.18593633,0.027519643,0.030226946,-0.10376531,-0.16927752,-0.06754923,-0.25146088,-0.014947996,0.1825757,-0.15901181,0.24322173,0.46698993,0.62600607,0.7968517,-0.2945495,0.09242517,0.15507855,0.15701157,0.4052,0.12262302,2.1490905,1.5472288,3.6029034,0.14779824,0.057269633,-0.053863347,2.3097143,1.1130859,2.0946023,-0.18247354,-0.15302086,-0.39819187,0.6975767,0.49171725,0.40628585,0.3365881,0.01062727,-0.052536428,0.116888225,-0.71935594,-0.6812897
1,0.28574798,0.22436306,0.3891697,0.4606741,0.5324223,1.137167,0.517311,1.9416097,2.3594484,0.032648027,-0.016459525,0.1899054,0.064128935,0.3459802,-0.085540414,-0.055740595,0.13945419,0.019818962,0.09298241,-0.050128996,0.2571808,-0.27832887,-0.02293849,0.23729362,-0.03277695,0.0063218474,-0.3858676,-0.13671392,-0.03251779,0.32130212,-0.09525633,-0.2520774,0.5882685,0.747342,1.4858079,2.6438148,0.58372676,0.8358499,0.91147465,0.47895265,0.28850278,0.86011225,0.14267081,0.33830252,0.51341224
2,-0.4024437,0.12037675,-0.3164935,0.042589784,-0.2395469,0.6057042,0.039666653,0.084940255,-1.0548804,0.08944106,-0.2074035,-0.056556404,-0.16281188,-0.26496732,-0.049230933,0.011548877,-0.13408256,-0.14221,-0.28930897,-0.541072,-0.07931161,0.15228677,0.6790328,-0.19026412,0.1494025,-0.23343062,-0.3200755,0.30067062,0.31312352,0.106323026,0.27582926,0.15512025,0.2484073,0.085479856,0.119720265,0.016422544,-0.1008842,-0.048696995,-0.27560282,0.308169,-0.11074978,-0.40874094,-0.29782343,0.23011991,-0.32790494
3,-0.42165118,0.23053741,-0.06281179,-0.19735676,-0.44086084,0.05617425,0.06340563,-0.1314336,-0.39431775,0.58633566,0.21258846,0.8604744,0.09189603,0.49939558,0.66792697,1.132833,1.1860188,0.21932161,-0.011712551,0.1469506,-0.27009574,1.174183,1.031879,0.39032343,0.60347944,1.2304375,0.40589958,0.15239954,0.117649496,0.07295498,0.42252237,0.16213086,0.3906889,0.86693203,1.8009748,2.8761787,2.3393607,1.0588999,1.607735,1.2903146,1.3550353,1.3493354,-0.37973434,-0.048338115,-0.18574528
4,-0.038858533,0.2244559,0.20777124,-0.32898432,-7.2956085e-05,0.019446105,0.0398494,0.08084118,0.27723396,0.03195691,-0.37406054,-0.11836624,0.39658865,-0.33801353,-0.05460304,0.8702821,1.0522282,0.43201876,-0.033751965,-0.057730794,0.15314204,0.6878585,0.91713095,0.3869815,0.8449882,1.2227734,0.03444439,1.3356125,0.9170259,1.0042809,2.1715264,2.078503,2.1293538,0.88108885,1.1712422,0.4704719,2.5496993,2.6458628,3.1113663,2.2097557,2.1572902,2.3050437,-0.13048705,0.0821538,-0.53540885
5,-0.23072577,0.44937727,0.23715019,-0.250026,0.20651744,-0.22497392,0.12131941,0.38324744,-0.18430448,-0.11377317,-0.10557231,-0.4111743,0.17191279,-0.2078497,-0.39820138,0.0238899,0.07289909,0.005107224,0.09227988,0.24687225,-0.09603498,0.10263032,0.15800972,0.62024343,0.32614952,0.3371386,-0.09457764,-0.26751345,-0.047122285,0.05021435,0.09723115,0.1512829,-0.34007877,-0.29572827,0.27387327,0.29347554,0.6619638,0.836678,0.3153071,-0.17785072,-0.39955005,-0.27526867,-0.14435494,0.13723874,-0.2226989
6,-0.19486678,0.22415128,0.7149432,-0.011113524,-0.031775296,0.9736924,-0.11340213,-0.09498647,-1.6180758,-0.017855525,-0.3764736,0.38580126,-0.013355374,0.049295664,0.55174756,0.24697244,0.0145557225,0.2663448,-0.35438085,0.24452591,0.27717704,-0.103438914,-0.070469216,-0.047256675,0.17932811,0.11844659,-0.31149822,0.008413911,-0.2726897,0.51654506,0.104197174,-0.30206814,0.012065053,-0.0896744,0.33465397,0.84139353,0.12323499,-0.3926038,-1.6462667,0.047717363,0.21398285,0.14133273,-0.15952884,1.0348086,-0.25168073
7,-0.032660306,-0.039411783,-0.6069437,-0.3367371,-0.077363014,0.3535757,-0.6713915,-0.18316251,-0.4521594,-0.32736588,-0.4447666,-0.64834523,-1.1218052,-0.33365476,-0.91197926,-0.32689753,-0.32249728,-0.5285716,-0.52821535,-0.20378429,-0.123904884,-0.7238083,-0.5519141,0.29860926,-0.27998513,-0.4636315,-0.60569847,-0.4788944,0.1911848,0.33108383,-0.24977063,-0.18700168,-0.79310596,-0.34411177,-0.45598245,-0.10754487,-0.02005124,-1.0681978,-0.27363646,-0.29442054,-0.59597105,-0.42623454,0.025873393,-0.3097943,0.115814835
8,0.33686912,0.41458637,0.06739251,0.26992553,-0.9919202,0.285457,0.2686907,0.047323465,-0.059098765,0.28774166,-0.061083794,0.33166087,-0.06035328,0.2681164,1.1064812,-0.20153454,0.20720178,0.28311604,0.34863585,0.3444146,0.3196407,-0.03283146,0.72600526,-0.106432974,0.28309944,-0.29495853,0.13899639,-0.26132774,-0.11233145,-0.013199262,0.069087476,-0.3846425,0.4120431,-0.6216303,0.05111883,0.247965,0.43981367,0.39467552,-0.6128782,-0.5531879,-0.41770768,0.17033681,-0.08054349,-0.1467871,-0.27468032
9,1.2154899,1.457468,1.4985926,-0.14681876,0.073409915,0.4476276,0.48321718,1.8703805,2.6666265,0.11667079,-0.03372623,0.25570714,0.25506818,0.56562114,0.6359347,0.48301277,0.4708796,0.9545296,0.193486,0.31445014,1.1462754,0.10124344,1.1796242,0.60839903,0.2315659,0.73939633,3.2582512,0.07003182,0.3946488,0.59408617,0.66271645,1.0123751,3.0844252,1.2318696,1.59303,3.2273343,-0.013273656,0.29599372,0.28302813,-0.25756246,0.06963119,-0.035399593,0.13277787,0.23391938,1.1709406
