,odor,percent_cells_responding
0,1o3ol(-5),1.8906144496961512
1,2h(-7),2.2282241728561782
2,2h(-7)+1o3ol(-5),3.713706954760297
3,2h(-7)+ma(-7),5.469277515192437
4,Bmix28,12.086428089128967
5,Iaa(-2),9.723160027008777
6,PFO,0.337609723160027
7,banana,8.912896691424713
8,ea(-5),6.482106684672519
9,ea(-5)+eb(-5),7.359891964888589
10,ea(-7),6.414584740040513
11,ea(-7)+eb(-7),3.5111411208642807
12,eb(-5),3.713706954760297
13,eb(-7),2.2282241728561782
14,ma(-7),1.2829169480081026
15,2h(-7)+ma(-7)_predicted,3.308575286968265
16,ea(-7)+eb(-7)_predicted,7.967589466576637
17,ea(-5)+eb(-5)_predicted,9.790681971640783
18,2h(-7)+1o3ol(-5)_predicted,3.7812288993923024
