,2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),ea(-7),ea(-7),ea(-7),eb(-7),eb(-7),eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),Iaa(-2),Iaa(-2),Iaa(-2),banana,banana,banana,Bmix28,Bmix28,Bmix28,PFO,PFO,PFO
0,0.12685351,0.013042629,-1.0610156,0.21152586,0.71796757,-0.1401658,-0.11986786,0.39803916,-0.16397476,0.51249164,0.15890858,-0.068280995,-0.13271311,0.16063657,0.6552534,-0.13734049,0.038644195,-0.00067955256,0.15930521,0.0015825927,-0.20824522,0.19791543,-0.33008793,0.4534637,0.027268276,0.5554614,0.013036191,0.21762872,0.11658636,-0.24007255,-0.20012444,0.19649732,-0.2937705,0.6383914,0.07844746,0.3449955,0.07134044,-0.8082809,-0.8251407,-0.014382005,0.3354502,-0.16027805,-0.33833975,-0.23776348,-0.2279216
1,0.21691996,0.45630592,-0.11218488,-0.11443654,0.29905796,0.14561765,1.19564,1.345468,1.839714,-0.060685754,0.070010304,-0.06040758,0.0378111,0.07367164,-0.31123096,0.44788915,1.6336621,0.7142429,-0.36269903,0.002847612,-0.033612788,0.87304133,0.66884464,0.95001996,3.7406425,3.868249,5.3467875,0.16945764,0.010213435,-0.10412946,2.5422435,3.2100475,3.224074,-0.027887344,-0.19306165,-0.4341824,1.1795676,0.2506835,0.08363302,2.423724,1.7558616,3.3533802,-0.13114724,-0.2919455,0.09378713
2,0.5183692,0.7030866,-0.1393308,-0.13155353,1.2327168,0.6016878,1.87322,1.6394774,2.8574853,0.067172825,-0.13685822,-0.032112878,-0.015416682,0.21585435,0.24327573,-0.2151022,0.013365805,-0.035970703,-0.20765626,0.47506672,0.13134718,0.1158542,-0.093092084,-0.16114783,0.06820673,0.47403413,0.0078058243,0.075116515,-0.020778984,-0.22517124,-0.1339609,-0.38623604,0.21060923,1.3117933,1.1331568,1.5774083,0.34404132,-0.22121799,0.11285713,1.2059946,0.80035067,1.611642,-0.048381716,-0.12896252,-0.0011880994
3,-0.0034834296,0.05334957,-0.86738735,0.20098445,0.15844722,0.5043192,-0.52806485,-0.278369,0.052402727,0.9185061,0.874566,-0.23877609,-0.22832792,0.62399566,0.563872,0.09620793,-0.117702104,-0.16694027,-0.31673574,-0.5281377,0.012590647,-0.23266056,-0.54489493,-0.49835354,0.16398127,-0.110027015,0.34028336,-0.027567297,0.008591749,-0.25117174,-0.25009412,0.18861368,-0.56352246,0.06451863,-0.10338196,-0.113022804,-0.21181658,-1.6063478,-1.1337894,-0.06978589,-0.48022097,-0.294758,0.14765295,0.13878551,-1.0414338
4,0.8970886,1.6559494,0.50594115,-0.21563229,0.2308307,0.010641575,0.44949713,0.21171182,0.6123299,-0.059128284,0.120820135,0.003575325,0.25468862,1.4852937,0.6221831,1.737572,2.2557914,1.5082808,-0.034094185,0.38072687,0.2828282,0.52112377,0.88564813,0.63618773,1.4939731,1.2377135,1.0926409,0.54028404,0.35248595,0.15408155,0.10546756,0.9683908,0.60841227,-0.3271594,0.19663781,1.3943646,1.1222389,0.4799745,0.13732344,0.7211257,-0.32210588,0.36320353,-0.19247171,0.11880851,-0.17184186
5,0.042571723,-0.023604006,0.116858944,0.10282892,0.07715571,0.22547469,0.14308035,0.51347345,0.41566914,-0.07717154,0.7723313,0.07760138,-0.37774158,0.4449572,-0.18508714,1.7865982,2.575169,3.5236647,0.41820124,1.4959861,0.3809533,-0.23700309,-0.06642179,0.3937989,0.5639057,0.6690203,0.073869124,-0.20872867,0.3035316,0.56852216,-0.26951984,0.41996545,-0.31944394,0.3113804,0.2873568,0.108559966,0.05764078,-1.1619251,-0.78164697,-0.22991887,0.37018934,0.0056300163,-0.1644783,0.30522257,-1.5977137
6,0.5047471,0.063223645,-0.73669285,-0.25929013,0.5065713,0.27749294,0.377721,-0.051406384,0.2194936,0.44941592,0.6771029,-0.26683548,0.10194433,0.30259472,0.050860167,-0.33285725,-0.11454946,0.42275825,-0.787387,-0.8184278,-0.2131378,-0.405506,-0.9071005,-0.38093886,0.37630218,0.035010815,0.1573329,-0.1129334,0.017803162,0.5029498,0.2410343,-0.06433676,-0.623462,0.16051477,0.08200243,0.11043537,0.34596443,-0.7588414,-0.5961038,-0.06649714,-0.39856145,-0.023609161,-0.5630127,-0.1508516,-0.40831655
7,0.13065921,0.16079876,-0.6527654,0.22469833,0.29996395,0.14675482,-0.19469884,0.12014741,0.3030765,0.4243608,0.35728857,-0.3060587,-0.34302413,-0.17572844,-0.16160934,-0.6575088,0.123644754,0.04540047,-0.20649713,0.23260218,0.28798437,-0.3424498,-0.26274076,-0.16489096,0.02186963,0.08913642,-0.29399502,0.042285025,0.1257259,-0.07717869,-0.26899594,-0.06647587,-0.005064249,-0.007917613,-0.27409148,-0.7174448,-0.25734007,-0.36562854,-1.3150979,0.15170825,-0.8894368,-0.29529357,0.09615064,-0.33444503,-0.18311387
8,-0.16277036,0.06285715,0.17538321,-1.0527592,-0.16424078,0.13738549,0.44856817,-0.15806828,0.12865713,0.05020088,0.10091084,0.030409783,0.72610044,0.37211823,0.4139856,-0.37040305,0.5444751,0.5436753,-0.58144337,-0.04224831,-0.0008995533,-0.01383853,0.18325095,0.83184767,1.973251,1.2014549,2.172514,-0.15716562,0.10692209,-0.09281784,-0.6794903,-0.93638635,0.37040544,-0.0058541894,0.25773144,-0.8380897,0.92473316,0.24984649,-0.38115048,0.23129117,-0.4128288,0.25901556,-0.15290013,-0.19271353,-0.09921563
9,0.20756716,0.09776437,0.008692205,-0.17562377,-0.2223537,-0.3122799,-0.03532801,-0.19934362,-0.2113738,0.046203673,0.10940021,-0.10815126,-0.0203107,0.26496655,0.04610777,0.24249423,0.2870154,-0.059445992,-0.07834011,-0.09124929,-0.02938807,0.36608297,0.56277347,0.6833856,1.3181543,0.51922923,1.3439978,0.31738222,0.21956205,0.20699209,0.2953704,0.35062903,0.42486978,0.42469376,0.9617201,0.36017203,0.46162248,0.27811694,-0.16711,0.8326726,0.6415544,0.91347957,-0.44881716,-0.5297097,-0.0024689436
10,-0.40146405,-0.24198961,-0.7179043,-0.48677486,-0.1010381,0.098667696,-0.82615674,-0.13058507,0.707375,-0.28921068,-0.14091659,-0.017096572,-0.27708822,0.0705452,0.28368962,-0.17151316,0.30544615,-0.41063654,0.19814697,-0.49770463,0.18518597,-0.19683181,-0.2472424,0.16023731,0.32062668,-0.35338652,0.2408872,1.5872803,0.9965148,-0.17550625,0.65391666,1.9669017,1.0497761,0.51759934,0.48141623,-0.16780984,-0.06025392,0.32515937,-0.052841276,0.6563728,0.08814824,0.71770865,-0.0015507936,-0.13161737,0.6214204
11,-0.22732835,0.5605979,-0.53398514,0.38006127,-0.36331514,-0.09030524,0.16212946,0.45092493,0.24813306,0.21010125,0.2913418,-0.21824583,-0.08885577,0.053011417,0.30907956,-0.5702779,0.09338142,0.8246112,-0.10985085,0.5825757,0.48284024,-0.17786562,-0.21630551,0.2317081,0.27990282,-0.011759639,0.60179114,-0.022642016,0.20398793,-0.020954289,-0.37906736,0.7504723,0.033053786,0.36445072,0.37160248,-0.010596551,-0.27568686,-0.4697811,-0.20133553,0.31531227,0.69826865,0.26621997,-0.4668637,-0.038024545,-0.20638123
12,0.0297755,0.21544415,-0.385322,-0.13924098,-0.083290756,-0.08026515,0.5139125,-0.060940742,0.012071013,-0.31625676,0.01988411,-0.44687372,-0.1307348,0.15650332,-0.012034655,-0.1870991,0.22504652,0.7517599,-0.11753175,-0.21738493,-0.014593005,-0.1498909,-0.010236412,0.11003524,0.92245084,0.6633984,0.8962079,0.525224,0.77008986,-0.061465025,0.8390564,0.7075745,0.52421945,0.051151335,0.24414523,-0.24114048,0.28631517,-0.39289746,-1.1386265,1.2789338,0.25667596,2.0074232,-0.37753707,-0.2054475,-0.228683
13,0.2910842,0.2767319,-0.32140917,-0.14534009,-0.21547091,0.021357238,0.11080238,0.16214406,0.011780977,-0.6444541,0.31186384,-0.20716822,0.0955925,0.4067886,0.2663608,-0.52093935,0.19143778,-0.074876525,-0.25689894,0.12604037,-0.10778892,-0.27850246,-0.02761808,-0.020392,0.21676311,0.05441284,0.472347,0.47602558,-0.049171627,-0.2421999,-0.18603893,0.18401885,-0.1954174,0.8710133,0.65672797,0.461262,0.48627385,0.3822785,0.071489185,0.42998528,0.054381132,0.75734043,0.04013335,-0.04871817,-0.13221157
