,2h(-7),2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),1o3ol(-5),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),ea(-7),ea(-7),ea(-7),ea(-7),eb(-7),eb(-7),eb(-7),eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-5),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,PFO,PFO
0,0.07711494,-0.035743475,0.38553703,-0.7004465,0.16779685,0.17210686,-0.092713356,0.054899693,-0.033331633,0.29395777,0.2248586,0.23966117,0.17937738,-0.054716706,-0.010464072,0.73114884,-0.09814674,-0.12977357,0.09939027,-0.1953195,0.072430015,0.07619786,-0.26422414,-0.19127262,0.090608954,-0.16964018,0.31213227,-0.0003451109,0.07867509,-0.17433125,0.33285153,-0.33533305,-0.04551184,0.15205567,0.19603997,0.31137496,0.24293292,0.23716497,0.23702884,-0.19424796,-0.09702599,-0.43056625,-0.026711434,0.15619224,0.0025613904,0.4391744,-0.35912114,-0.32704377
1,-0.020985723,0.0038257055,0.17601284,0.4647643,-0.008524537,-0.056531176,0.36698934,0.056304574,0.08784711,0.09768289,-0.455761,0.27431035,0.12891227,-0.4975745,-0.42920887,-0.57111657,-0.22288585,-0.0025828183,0.006835062,0.18588495,0.14389032,0.22937632,-0.31719875,0.48514426,0.012424707,0.14483598,-0.14823818,-0.1035676,-0.014461517,-0.5964575,-0.19728374,0.0118713975,0.029747367,0.46232408,0.35575667,0.6296085,0.21216846,0.5540462,0.5159325,0.34634578,0.058145285,0.06775153,-0.5082805,0.6317739,0.051945567,-0.08285843,-0.1385622,0.1475991
2,-0.20351988,-0.2562352,0.4059832,-0.12844133,-0.2147417,-0.0904857,0.44895315,0.22648133,0.06618196,-0.23534548,0.13181716,-0.16420174,0.0016733408,-0.18023708,-0.22415265,-0.016645074,0.0037519336,0.08847636,-0.5140623,-0.19669516,-0.013875186,-0.028447285,-0.039123,-0.041603506,0.06469488,-0.09297198,-0.45853934,0.038837492,-0.08098829,-0.29405642,0.11885548,-0.23946941,0.020349026,1.2862577,1.0431831,0.7510308,0.07594401,0.26587674,-0.22078502,0.2340641,0.34889147,0.27496058,-0.027726889,0.64709055,-0.019032657,-0.016225994,0.54919416,0.336786
3,0.043652117,0.068733156,0.2916612,-1.0154405,0.12187812,-0.22696531,-0.29876956,0.37765765,0.30939895,0.2893255,1.8600906,0.9754431,0.11989215,-0.030419648,0.30359036,0.20509136,-0.338812,-0.14402455,-0.53197145,0.24973768,0.37046513,-0.21700245,0.07481322,0.19718492,0.034911305,0.15041381,-0.04701419,0.7826831,0.29031855,-0.10615584,-0.1178346,0.31181836,0.43914577,0.36585385,-0.011760578,0.7407494,0.06915654,-0.16529989,-0.31187075,0.42728394,1.0869266,0.4400653,0.33159447,1.9104518,-0.063014746,-0.28778243,0.21934843,-0.3103361
4,-0.14815319,0.7020936,0.5213086,-0.43663785,-0.068982124,0.428856,0.04484877,0.38729072,0.15445101,0.41662705,0.42781004,0.41138333,0.5391687,1.5048589,1.6162591,0.50771964,0.284351,0.22833729,1.6654179,1.2714345,0.691363,4.0834613,1.857069,1.1036267,0.14982414,1.0098116,1.4745951,1.4810271,0.36456984,1.5652133,1.626726,0.36547533,0.29815412,0.56671447,0.044914007,0.9155673,-0.017823935,0.8610478,0.9189656,0.25432938,-0.2646234,0.013147593,0.45397094,0.33150634,0.74542344,0.7387055,0.23111975,0.29377738
5,0.23784447,-0.2653838,-0.5243859,-0.8490963,0.19609869,-0.052084535,-0.9549962,0.5027547,0.19224685,0.1247389,0.23197302,0.0753958,0.124492645,-0.122901976,-0.090931326,-0.18481922,1.2927849,-0.09323782,-0.29687816,-0.17361358,-0.09476918,0.047235362,0.4574946,-0.8242088,0.040382385,0.045034766,0.07671398,0.30859423,0.30203736,0.18898234,0.7546761,0.08033681,0.79077643,1.3243991,1.2257581,1.3458794,0.028428853,0.5205682,0.013741314,0.7831158,0.123183966,0.36319074,0.75725186,1.186957,0.028112829,-0.52606905,-0.26074028,0.30638665
6,0.061053872,0.011178911,-0.10105282,0.6207762,0.02629745,-0.34504187,-0.137851,0.14177324,-0.07004094,-0.10276663,-0.033797503,0.15054423,-0.2874729,0.48424342,-0.12974101,-0.1793429,-0.1831739,-0.040557683,-0.3665837,-0.014576569,-0.14335966,-0.6377584,0.29789752,0.118322924,0.14084125,-0.07235667,0.12304616,-0.113859475,0.05882907,0.27380243,0.03699869,0.28848794,0.16275299,0.4869666,0.21587265,-0.5116464,-0.23299837,-0.41508162,0.12606138,-0.2165739,-0.016325355,0.5804521,-0.12983024,-0.4115222,0.17558944,0.13732794,0.37667188,0.25157863
7,0.95712215,3.3511658,2.4223742,3.4813204,0.17754757,-0.20326313,0.056592166,0.2820174,0.26102698,2.733218,3.099548,1.6254513,0.12243819,-0.71409154,-0.040240526,-0.16263044,-0.15986848,1.8858737,1.630135,0.4568395,0.36821568,0.052591264,0.05950506,0.09595859,-0.01727873,-0.047412634,0.17561585,-0.038048595,-0.09045386,-0.06816101,-0.2690301,0.34566242,0.23870718,0.39388898,0.13774553,0.44622847,0.097337484,0.068970084,0.0043232087,-0.10241906,0.0014564991,-0.2403877,-0.21243984,-0.24749033,0.51444846,-0.31527242,0.6038548,0.12762362
8,0.14844632,-0.27090323,0.17834142,-0.17524269,0.18571022,0.020913243,0.11568335,-0.043061793,-0.039664865,0.41584086,0.08370802,0.33054996,0.16540843,-0.03053525,-0.010316223,0.6587943,-0.014517188,-0.16694114,-0.38411266,0.39981642,0.08488327,0.5517345,0.3281717,0.059255317,0.11145848,-0.3958916,-0.054911852,-0.13868606,0.23088866,-0.13942432,-0.14792654,-0.42233348,0.20407385,1.0549536,0.03431437,-0.2199884,0.102523685,0.52905124,0.006529644,-0.06781429,-0.34772712,-0.504493,-0.007824272,0.16904166,0.29007894,0.004196346,0.5360117,-0.061237954
9,-0.008693874,0.21605337,0.005435407,0.3043024,-0.12293196,-0.16552661,0.00516963,-0.0886558,-0.20781493,0.108743906,-0.47903275,-0.5063352,0.09153074,-0.28238922,-0.21731813,-0.2333413,-0.5805509,0.0065368414,-0.09568483,0.07354772,-0.14525831,-0.24039799,-0.105715275,-0.4419307,-0.14971548,-0.0936985,0.040149927,-0.194557,-0.04397261,0.36145297,0.55018437,0.05017849,-0.029228032,0.007561654,-0.23250318,-0.23868524,0.021025598,-0.06795859,0.10553947,-0.23376055,0.09286678,-0.16449934,-0.10893002,-0.009612381,-0.19713354,0.2845509,0.30497253,0.20391281
10,-0.07825017,-0.05171165,-0.03583756,-0.05299151,-0.007033944,-0.16190968,-0.13970876,0.063655674,-0.005019486,-0.14964613,-0.011563536,-0.1365034,-0.1048553,-0.04200113,0.033046275,-0.054943144,-0.12853152,-0.022747815,-0.11881867,-0.12078172,-0.011614919,-0.020122543,-0.3333348,0.083619505,-0.08169067,0.08623627,-0.11082025,-3.1043248,0.012970328,0.17387423,-0.017643414,-0.024055563,0.10609001,4.199033,-0.06930999,-0.12859613,0.11695093,0.14080362,0.15353565,-0.22168049,-0.19170338,-0.01443398,-0.12109072,0.053296626,-0.11010665,-0.04355087,-0.2797255,-0.064350724
11,0.044890404,0.07196224,0.028799951,0.5655379,0.021868229,0.07854286,0.119239956,0.08323118,-0.15727723,0.2457335,0.3312791,0.3280614,0.42324996,-0.051047146,-0.21017277,-0.39768982,-0.21936715,-0.30835283,-0.02092573,-0.2552792,-0.0010281801,0.3661161,-0.03940928,0.030736923,-0.12506896,-0.16642064,0.09188245,0.011906147,-0.036367595,0.11484364,-0.174746,-0.23475292,-0.10209817,0.06521183,0.07482147,-0.2398895,0.1980977,0.029930413,0.004514456,-0.09187692,-0.13854736,-0.90262604,-0.085681826,0.21922633,-0.013715953,0.066913635,0.008243218,0.2746848
12,0.28777194,-0.14200923,0.2783885,0.65327966,0.15746987,0.23226354,-0.494954,1.3258297,-0.07083672,1.0057969,-0.03167215,0.34034365,-0.21920204,-0.2346775,-0.4587523,0.27281022,-0.12748009,-0.22711742,0.527302,0.32943517,-0.41130054,0.36988017,0.5172801,0.040947348,-0.31258097,-0.22589046,0.25287575,0.21889237,0.14931336,-0.44201994,-0.11451101,0.16778809,-0.48051146,1.2117231,0.1564576,-0.20406628,-0.23528428,0.41541928,0.04680425,-0.60023737,-0.42858317,-0.3853665,-0.19990702,0.123581216,0.21573284,-0.07726358,-0.4126354,-0.026489854
13,-0.3706389,0.4534272,-0.085599035,0.57546425,0.010055721,0.2900755,0.29565805,0.5988333,-0.4501782,0.52561474,0.3286685,1.0619022,0.3895126,0.24401748,-0.043258667,0.3888532,-0.041181892,-0.1137526,-0.23789796,0.5384636,-0.081141956,0.11286315,0.22718692,-0.07488346,0.39413488,-0.1976757,0.0061756,0.69982696,1.3508444,0.11214697,0.30379692,0.08007789,0.36804667,0.10069588,-0.20938785,-0.34663567,1.3742661,2.1438355,2.731534,2.8303304,2.687436,3.5090473,1.3469194,1.2817651,0.34994972,0.39765728,0.11546159,1.1031762
14,0.10631251,0.49370632,0.19461122,0.4420028,0.14372325,-0.49548084,-0.20223862,-0.4464797,-0.36029953,0.009131379,0.04221034,0.23888007,0.7036217,0.0963403,0.7800251,0.092556775,-0.10817319,0.81002015,2.2723274,0.946097,1.5205762,2.8565104,1.8406786,1.3550123,0.9588822,0.13491555,0.35265434,-0.0788711,2.6968582,2.24284,2.454058,0.6003934,2.7496042,2.096505,0.95991486,1.7926552,0.38155848,0.6774051,0.5814522,-0.351871,1.5038993,2.4963548,0.364578,0.16635418,-0.28994486,-0.3513566,0.10507783,0.0071566105
15,-0.11555779,-0.56433374,0.109227054,-0.29265323,-0.20283198,0.55063725,0.04859397,-0.2244162,-0.66658455,-0.11327255,-0.582697,-0.10836662,-0.04509878,0.22730131,0.24203691,-0.04515457,-0.16630292,-0.25085622,0.19425756,0.0037803054,-0.37094072,0.6735927,-0.39253742,-0.17432722,0.16543067,-0.08294886,0.024947926,-0.041818015,0.015710771,-0.6725646,0.16920544,0.052029848,0.2721641,-0.19363335,-0.12619442,-0.22344434,0.4934986,0.11836396,-0.18452714,0.30495012,0.47121173,-0.1243695,-0.19157606,0.16912803,0.29613113,-0.5272908,0.25582212,0.45602965
16,0.050834298,-0.09475852,-1.1225348,-0.54780567,-0.017554164,-0.34746718,-0.38211071,-0.035387702,-0.15716648,0.10492448,-0.3500346,0.27084684,0.043388486,0.085039884,0.11888659,-0.13571203,-0.172984,-0.40602398,-0.39333722,-0.06068476,0.1440417,-0.09355922,0.8271132,0.1606656,0.062788546,-0.17515388,0.0472095,0.28329968,0.055740237,0.45696074,-0.04796672,-0.11497086,-0.052571297,-0.28256714,0.1586262,0.1480346,0.27037376,1.5489568,1.8197626,0.47029257,0.14683604,0.56668675,1.1893961,0.6743096,-0.17460382,0.19201416,0.07459086,-0.47833544
17,2.0761554,0.3291652,-0.33131117,0.35597265,-0.48919743,-0.03260076,0.07103109,-0.10012608,2.3684993,-0.1270076,-0.13473757,0.19523597,2.1378367,0.741107,0.5576387,0.09086944,4.2448826,1.6601433,0.012274742,-0.38663566,-0.17162812,0.02151376,-0.28789914,-0.35509843,0.01763612,-0.023602292,-0.3100056,-0.22085404,-0.45520443,-0.46694598,-0.22453743,0.06531727,-0.4035889,0.28402627,0.15747207,-0.11268136,0.2926571,0.17301594,0.6529244,0.028037935,3.116561,3.1180143,1.8010604,1.452615,0.0338175,0.17749144,0.007927299,-0.19257808
18,-0.41586113,0.15402567,0.05214387,0.10997261,0.15342474,0.1218009,0.12163839,-0.16869712,-0.25752908,-0.110874236,-0.0010704994,-0.37065372,-0.16283327,-0.60921305,-0.010835171,-0.6712054,-0.5366679,-0.21809149,-0.29283398,-0.3947928,0.14220715,-0.20310043,-0.20822132,0.21238784,-0.17650592,0.45711708,-0.010525227,-0.3888296,0.17286545,-0.4310359,0.21759379,0.1966657,0.15156901,-0.543474,-0.16164038,-0.78262645,0.25977573,0.36797684,0.13103992,0.08157554,0.45448667,-0.01696591,0.14813316,-0.41168526,-0.0068587065,0.27896696,-0.46380383,-0.053973913
19,-0.33964282,-0.14347383,-0.18322343,0.17515308,0.21083263,-0.2399301,-0.05960329,0.010430515,0.0293113,0.45943624,0.19806176,-0.02139479,1.1816385,3.7826748,3.8994715,4.227807,0.34553337,3.204678,3.2169318,2.941136,-0.034172773,-0.18898423,0.19514626,-0.053666055,-0.32763755,-0.28200924,0.052993476,-0.10738528,-0.08321114,0.7123771,-0.16163248,-0.0047938228,-0.051861405,-0.2900454,-0.2756101,0.16254246,-0.9298959,0.37230885,-0.3289655,-0.19623649,0.29070592,-0.049126685,0.2142191,-0.17091519,0.08567554,0.3930094,0.07897806,0.23498315
20,0.10400176,-0.11264555,-0.27079403,0.34870973,-0.0018999577,-0.12799913,0.37700793,-0.07160455,0.111427546,-0.523397,-0.009880185,0.16904181,0.21981072,0.30558115,0.4181756,-0.042916775,-0.031632423,-0.095758915,0.2865113,0.2292359,0.11530018,0.24711224,-0.65788877,0.5038937,-0.21073073,-0.063652724,0.4287879,-0.20683056,0.034834206,-0.14705181,-0.1855958,0.079386026,-0.21709555,0.22674727,-0.4104325,0.3893301,0.10986233,1.0050735,0.31395137,0.37251583,0.02691865,-0.34697974,-0.44083664,0.065877534,-0.043334424,0.00435286,-0.06434244,0.068550944
21,-0.28565174,0.10488689,0.14222065,0.0076820254,0.05460304,-0.10762798,-0.15681934,0.27024573,-0.15767105,0.22987103,0.17846102,-0.3385868,0.049711466,1.3565657,0.54320776,-0.16599055,-0.53668714,0.119035125,0.41517383,-0.17235094,-0.02234155,0.11922482,-0.09054655,0.007298842,0.5831662,-0.008549452,0.108410895,-0.116767615,0.07206631,-0.52714956,0.14885151,0.038596034,-0.21612814,-0.04823029,-0.0051581264,-0.3752638,0.36110532,0.6714752,0.120123036,0.41926536,0.16919963,-0.16762465,-0.065342814,-0.09802681,0.10490751,-0.48090184,0.1886434,0.007763922
22,-0.17145365,0.023087174,0.51223725,0.3169914,-0.25705445,-0.11028224,-0.40767205,-0.28218538,-0.4504871,-0.18910393,0.030529395,-0.17866331,-0.1919167,-0.12504476,0.52142805,0.03535755,-0.52844435,-0.2096625,0.14540222,-0.084584884,0.4407724,0.5891919,-0.14639124,-0.46931526,0.14627671,0.19852835,-0.1971178,-0.06209238,-0.17538476,-0.15788892,0.058891565,0.4994114,-0.028779745,0.02436079,-0.25610262,-0.74798703,0.341874,-0.14068452,0.39852506,-0.46702328,0.29469207,-0.7971453,-0.5095092,-0.27002746,0.098422855,0.29982254,0.11169564,0.3147123
23,0.063467026,0.43834955,0.056132555,-0.13783473,0.072013855,-0.006390512,-0.21068975,-0.1957951,0.21808308,0.19729307,0.0718953,0.07869728,-0.19738072,-0.5056697,-0.2251494,-0.44375187,-0.18461972,-0.030212156,-0.019935451,-0.02062279,0.24259032,0.048617356,-0.18014753,-0.02591595,0.1082803,-0.19497353,-0.07749891,-0.2454207,0.18302898,0.2514249,-0.35746095,0.01230216,0.24894117,-0.23744011,0.23760927,0.17595196,0.081492424,2.4379916,1.424985,0.57183987,0.2594477,0.74124765,0.49552307,0.93886155,0.070996106,-0.17409945,-0.11773062,-0.2657944
24,-0.3011564,-0.4151883,-0.13932037,0.14617825,0.07526559,-0.11432403,-0.12860166,-0.02221036,-0.39400864,0.11311233,-0.18145174,-0.17334676,0.12392056,0.18824457,0.23828673,0.10421181,0.165622,-0.14719996,0.13833007,0.07455093,-0.2631905,-0.10027546,-0.33076537,-0.17327636,-0.38208988,-0.19908476,-0.13203198,-0.19504619,-0.081992626,-0.17186807,-0.33294138,-0.004114151,-0.24814287,-0.18041864,-0.27237815,-0.049515128,0.3268832,0.033681214,-0.10854854,-0.21647274,0.2770682,0.3070835,0.29661477,-0.0073134303,0.09723811,-0.37210062,0.14958632,-0.20028889
25,0.3363515,0.011600018,0.093544364,-0.13307846,-0.127339,-0.11196861,0.04514569,-0.06388038,0.31372207,0.0036895275,0.2864098,0.18451577,-0.15498537,-0.27658474,-0.71173215,-0.43710294,-0.25283748,0.02413708,-0.57220924,-0.13124967,0.059509516,-0.17697923,-0.34177876,-0.73273265,-0.11547083,-0.22032031,0.16938448,0.68791443,0.19986057,-0.20035422,0.018389106,-0.339518,-0.11180246,-0.29180878,-0.8499228,0.17154816,0.15488088,-0.06675933,0.033199042,-0.34592324,0.099520504,-0.16444016,-0.28909975,-0.24370545,-0.054733872,-0.6364441,-0.13918045,0.6036124
