,odor,response_rate,experiment
0,2h(-8),0.035024154589371984,20250129_1FLfun1
1,2h(-7),0.059178743961352656,20250129_1FLfun1
2,ma(-8),0.024154589371980676,20250129_1FLfun1
3,ma(-7),0.0320048309178744,20250129_1FLfun1
4,farn(-4),0.014492753623188406,20250129_1FLfun1
5,farn(-3),0.00785024154589372,20250129_1FLfun1
6,2h(-7)+ma(-7),0.05676328502415459,20250129_1FLfun1
7,2h(-7)+farn(-3),0.03985507246376811,20250129_1FLfun1
8,ma(-7)+farn(-3),0.02355072463768116,20250129_1FLfun1
9,PFO,0.006642512077294686,20250129_1FLfun1
10,2h(-7)+ma(-7)_predicted,0.08997584541062802,20250129_1FLfun1
11,2h(-7)+farn(-3)_predicted,0.06702898550724638,20250129_1FLfun1
12,ma(-7)+farn(-3)_predicted,0.03985507246376811,20250129_1FLfun1
13,2h(-8),0.03686826843413422,20250129_1FRfun1
14,2h(-7),0.09817729908864954,20250129_1FRfun1
15,ma(-8),0.018641259320629662,20250129_1FRfun1
16,ma(-7),0.03811101905550953,20250129_1FRfun1
17,farn(-4),0.01739850869925435,20250129_1FRfun1
18,farn(-3),0.009527754763877383,20250129_1FRfun1
19,2h(-7)+ma(-7),0.08367854183927093,20250129_1FRfun1
20,2h(-7)+farn(-3),0.07497928748964375,20250129_1FRfun1
21,ma(-7)+farn(-3),0.029411764705882353,20250129_1FRfun1
22,PFO,0.004142502071251036,20250129_1FRfun1
23,2h(-7)+ma(-7)_predicted,0.13587406793703397,20250129_1FRfun1
24,2h(-7)+farn(-3)_predicted,0.10770505385252693,20250129_1FRfun1
25,ma(-7)+farn(-3)_predicted,0.04763877381938691,20250129_1FRfun1
26,2h(-8),0.0599354541263255,20250129_2FLfun1
27,2h(-7),0.09036422314430613,20250129_2FLfun1
28,ma(-8),0.04656523743660673,20250129_2FLfun1
29,ma(-7),0.07238358690640849,20250129_2FLfun1
30,farn(-4),0.02351313969571231,20250129_2FLfun1
31,farn(-3),0.04241585984324574,20250129_2FLfun1
32,2h(-7)+ma(-7),0.12494236975564776,20250129_2FLfun1
33,2h(-7)+farn(-3),0.10419548178884279,20250129_2FLfun1
34,ma(-7)+farn(-3),0.07100046104195482,20250129_2FLfun1
35,PFO,0.02120792992162287,20250129_2FLfun1
36,2h(-7)+ma(-7)_predicted,0.15675426463808206,20250129_2FLfun1
37,2h(-7)+farn(-3)_predicted,0.12909174734900877,20250129_2FLfun1
38,ma(-7)+farn(-3)_predicted,0.11341632088520055,20250129_2FLfun1
39,2h(-8),0.03430962343096234,20250129_2FRfun1
40,2h(-7),0.08158995815899582,20250129_2FRfun1
41,ma(-8),0.02887029288702929,20250129_2FRfun1
42,ma(-7),0.06108786610878661,20250129_2FRfun1
43,farn(-4),0.01297071129707113,20250129_2FRfun1
44,farn(-3),0.037238493723849374,20250129_2FRfun1
45,2h(-7)+ma(-7),0.099163179916318,20250129_2FRfun1
46,2h(-7)+farn(-3),0.07280334728033473,20250129_2FRfun1
47,ma(-7)+farn(-3),0.05104602510460251,20250129_2FRfun1
48,PFO,0.004602510460251046,20250129_2FRfun1
49,2h(-7)+ma(-7)_predicted,0.13933054393305438,20250129_2FRfun1
50,2h(-7)+farn(-3)_predicted,0.11673640167364016,20250129_2FRfun1
51,ma(-7)+farn(-3)_predicted,0.09748953974895397,20250129_2FRfun1
52,2h(-7),0.028556593977154723,20250320_1FLfun1
53,ma(-7),0.016614745586708203,20250320_1FLfun1
54,farn(-3),0.03063343717549325,20250320_1FLfun1
55,farn(-2.5),0.047248182762201454,20250320_1FLfun1
56,2h(-7)+ma(-7),0.07892004153686397,20250320_1FLfun1
57,2h(-7)+farn(-3),0.029595015576323987,20250320_1FLfun1
58,2h(-7)+farn(-2.5),0.0976116303219107,20250320_1FLfun1
59,ma(-7)+farn(-3),0.02544132917964694,20250320_1FLfun1
60,ma(-7)+farn(-2.5),0.020249221183800622,20250320_1FLfun1
61,PFO,0.0020768431983385254,20250320_1FLfun1
62,2h(-7)+ma(-7)_predicted,0.045171339563862926,20250320_1FLfun1
63,2h(-7)+farn(-3)_predicted,0.058151609553478714,20250320_1FLfun1
64,2h(-7)+farn(-2.5)_predicted,0.07424714434060228,20250320_1FLfun1
65,ma(-7)+farn(-3)_predicted,0.047248182762201454,20250320_1FLfun1
66,ma(-7)+farn(-2.5)_predicted,0.06386292834890965,20250320_1FLfun1
67,2h(-7),0.021316911416390336,20250320_1FRfun1
68,ma(-7),0.012790146849834202,20250320_1FRfun1
69,farn(-3),0.00994789199431549,20250320_1FRfun1
70,farn(-2.5),0.005210800568450971,20250320_1FRfun1
71,2h(-7)+ma(-7),0.06252960682141165,20250320_1FRfun1
72,2h(-7)+farn(-3),0.019422074846044527,20250320_1FRfun1
73,2h(-7)+farn(-2.5),0.09711037423022265,20250320_1FRfun1
74,ma(-7)+farn(-3),0.01468498342018001,20250320_1FRfun1
75,ma(-7)+farn(-2.5),0.010895310279488394,20250320_1FRfun1
76,PFO,0.006158218853623875,20250320_1FRfun1
77,2h(-7)+ma(-7)_predicted,0.03410705826622454,20250320_1FRfun1
78,2h(-7)+farn(-3)_predicted,0.030317385125532923,20250320_1FRfun1
79,2h(-7)+farn(-2.5)_predicted,0.026054002842254856,20250320_1FRfun1
80,ma(-7)+farn(-3)_predicted,0.022738038844149693,20250320_1FRfun1
81,ma(-7)+farn(-2.5)_predicted,0.01752723827569872,20250320_1FRfun1
82,2h(-7),0.042053184910327765,20250320_2FLfun1
83,ma(-7),0.017934446505875078,20250320_2FLfun1
84,farn(-3),0.012987012987012988,20250320_2FLfun1
85,farn(-2.5),0.05318491032776747,20250320_2FLfun1
86,2h(-7)+ma(-7),0.06740878169449598,20250320_2FLfun1
87,2h(-7)+farn(-3),0.03525046382189239,20250320_2FLfun1
88,2h(-7)+farn(-2.5),0.11564625850340136,20250320_2FLfun1
89,ma(-7)+farn(-3),0.0191713048855906,20250320_2FLfun1
90,ma(-7)+farn(-2.5),0.02040816326530612,20250320_2FLfun1
91,PFO,0.006184291898577613,20250320_2FLfun1
92,2h(-7)+ma(-7)_predicted,0.05998763141620284,20250320_2FLfun1
93,2h(-7)+farn(-3)_predicted,0.05442176870748299,20250320_2FLfun1
94,2h(-7)+farn(-2.5)_predicted,0.09400123685837972,20250320_2FLfun1
95,ma(-7)+farn(-3)_predicted,0.030921459492888066,20250320_2FLfun1
96,ma(-7)+farn(-2.5)_predicted,0.07111935683364255,20250320_2FLfun1
97,2h(-8),0.07659269863994274,20250214_2FRfun1
98,2h(-7),0.08446671438797423,20250214_2FRfun1
99,ma(-8),0.06442376521116679,20250214_2FRfun1
100,ma(-7),0.07730851825340014,20250214_2FRfun1
101,farn(-4),0.06657122405153901,20250214_2FRfun1
102,farn(-3),0.06943450250536864,20250214_2FRfun1
103,2h(-7)+ma(-7),0.14244810307802433,20250214_2FRfun1
104,2h(-7)+farn(-3),0.06513958482462419,20250214_2FRfun1
105,ma(-7)+farn(-3),0.03579098067287044,20250214_2FRfun1
106,PFO,0.0408017179670723,20250214_2FRfun1
107,2h(-7)+ma(-7)_predicted,0.16105941302791696,20250214_2FRfun1
108,2h(-7)+farn(-3)_predicted,0.15032211882605584,20250214_2FRfun1
109,ma(-7)+farn(-3)_predicted,0.14030064423765212,20250214_2FRfun1
110,2h(-7),0.06198347107438017,20250321_3FRfun1
