panel,odor,fly_id,glomerulus,delta_f_over_f,roi_depth_um,zscore_scaled_delta_f_over_f,maxabs_scaled_delta_f_over_f,to-avg-max_scaled_delta_f_over_f,split-minmax_scaled_delta_f_over_f,split-minmax-to-avg_scaled_delta_f_over_f,delta_spike_rate,date,fly_num
glomeruli_diagnostics,ms @ -3,1,DC1,-0.02389699097991242,13.333333333333334,-0.6725246047837011,-0.00831964032401994,-0.024818356764704792,-0.04839724225376807,-0.02435998372590067,1,2023-04-22,2
megamat,ms @ -3,1,DC1,-0.03853672004445696,5.0,-0.7113061671193903,-0.013416402521423502,-0.04002253118013222,-0.07848163621848914,-0.039502485927606835,1,2023-04-22,2
glomeruli_diagnostics,ms @ -3,2,DC1,0.16620861206710083,10.0,-0.025181256035474605,0.08693509646456865,0.2593364803526956,0.08683324455958759,0.2590326454732373,1,2023-04-22,3
megamat,ms @ -3,2,DC1,-0.17396761978833167,10.0,-1.4219739472290247,-0.09099343060457228,-0.27144291532275017,-0.5124260613558289,-0.2579215247410818,1,2023-04-22,3
glomeruli_diagnostics,ms @ -3,3,DC1,-0.10886539240931999,3.3333333333333335,-1.1620268581725222,-0.04452492400291137,-0.1328225026309411,-0.27480589612643624,-0.13831918608751598,1,2023-04-26,2
megamat,ms @ -3,3,DC1,-0.07199707896969933,0.0,-1.0101192964244445,-0.029446129744378102,-0.08784088312397695,-0.18158800528855623,-0.09139944029153015,1,2023-04-26,2
glomeruli_diagnostics,ms @ -3,4,DC1,-0.007758178291825448,6.666666666666667,-0.7750135084929032,-0.0029760284013260812,-0.008877803814758724,-0.01527919312938708,-0.007690539349848682,1,2023-04-26,3
megamat,ms @ -3,4,DC1,-0.058065066116783824,0.0,-0.9453204672401551,-0.022273693564184113,-0.06644475624116,-0.1455641367954259,-0.07326739785747353,1,2023-04-26,3
glomeruli_diagnostics,ms @ -3,5,DC1,0.3791745037334657,13.333333333333334,0.2051106810222431,0.1346760480646593,0.4017527294874958,0.13461700048244357,0.4015765843773169,1,2023-05-08,1
megamat,ms @ -3,5,DC1,-0.19209347613563835,15.0,-1.2741971625003912,-0.06822819037204007,-0.20353182398698955,-0.4179931467382628,-0.2103902160104862,1,2023-05-08,1
glomeruli_diagnostics,ms @ -3,6,DC1,0.005602608248479635,13.333333333333334,-0.7066199331546694,0.002580689637827598,0.007698466957239174,0.002526624923312412,0.007537186262285831,1,2023-05-08,3
megamat,ms @ -3,6,DC1,0.17472058260483717,10.0,-0.10927293070398174,0.08048030078952309,0.24008115011395406,0.08043045859225216,0.23993246562933335,1,2023-05-08,3
glomeruli_diagnostics,ms @ -3,7,DC1,-0.17458810414936476,5.0,-1.3421866693656805,-0.04854743266071466,-0.14482206644264184,-0.4614120641241277,-0.23224443893025484,1,2023-05-09,1
megamat,ms @ -3,7,DC1,0.020087036086332135,5.0,-0.7091715570808353,0.005585569741454247,0.01666233841591962,0.005558443639420104,0.016581418417975065,1,2023-05-09,1
glomeruli_diagnostics,ms @ -3,8,DC1,0.35484265030328754,16.666666666666668,0.22648276527860434,0.12801364678819344,0.38187809003805145,0.12797169633671,0.3817529474560638,1,2023-05-10,1
megamat,ms @ -3,8,DC1,-0.057832363226957194,10.0,-0.8147755383463562,-0.020863703144857318,-0.06223860742957777,-0.1203387041490036,-0.060570576713747964,1,2023-05-10,1
glomeruli_diagnostics,ms @ -3,9,DC1,-0.02726600780381672,20.0,-0.8082254968424925,-0.016223488357936192,-0.04839636166395528,-0.08104618211025871,-0.04079330939767694,1,2023-06-22,1
megamat,ms @ -3,9,DC1,-0.0624043956077861,20.0,-0.9522078435112283,-0.03713110452074481,-0.11076596621644758,-0.1857548855832608,-0.09349677335101614,1,2023-06-22,1
glomeruli_diagnostics,ms @ -3,10,DC1,0.0909257608543325,20.0,-0.43304769834114604,0.028911552497465017,0.08624618331539531,0.028902842837305754,0.08622020148869208,1,2023-11-19,1
glomeruli_diagnostics,ms @ -3,11,DC1,-0.2086350209923776,26.666666666666668,-1.2100462540601358,-0.06661719069510719,-0.19872604354783882,-0.3328951863892258,-0.16755750834627034,1,2023-11-21,1
glomeruli_diagnostics,ms @ -3,12,DC1,0.5020730756952801,36.666666666666664,0.6795789221913472,0.14905981912265148,0.44466102213428615,0.14896426337003188,0.4443759693354787,1,2023-11-21,2
glomeruli_diagnostics,ms @ -3,13,DC1,0.9850184037396783,13.333333333333334,1.0143243431310514,0.18776609363525099,0.5601258850939066,0.18773323795027191,0.5600278731511059,1,2023-11-21,3
glomeruli_diagnostics,ms @ -3,14,DC1,-0.06581080647673983,3.3333333333333335,-0.7465504205056401,-0.016448563381306743,-0.04906778398646928,-0.11530667327609956,-0.05803778384242215,1,2024-01-05,1
glomeruli_diagnostics,a-terp @ -3,1,DC1,0.6200047257620586,13.333333333333334,1.0332115093062588,0.21585212639821033,0.6439094567470989,0.21584763987897235,0.643896072991222,85,2023-04-22,2
glomeruli_diagnostics,a-terp @ -3,2,DC1,0.31829949462964513,10.0,0.5993169106995271,0.16648594152919288,0.496644966880348,0.1663929634787224,0.4963676036365066,85,2023-04-22,3
glomeruli_diagnostics,a-terp @ -3,3,DC1,0.5118529778199074,3.3333333333333335,1.3955030464211458,0.20934306517177614,0.6244922466960164,0.2087925487543685,0.6228499986756779,85,2023-04-26,2
glomeruli_diagnostics,a-terp @ -3,4,DC1,0.5842636558305939,6.666666666666667,1.2291939159889895,0.22412287630029826,0.6685819682725109,0.22408411226606306,0.6684663311062611,85,2023-04-26,3
glomeruli_diagnostics,a-terp @ -3,5,DC1,0.49090788992028417,13.333333333333334,0.4944461249716432,0.17436176200469972,0.5201393626430544,0.17430542247817968,0.5199712959460973,85,2023-05-08,1
glomeruli_diagnostics,a-terp @ -3,6,DC1,0.13151432911812613,13.333333333333334,-0.26188311957147387,0.06057851117345174,0.1807120312925895,0.06052759020764008,0.1805601287286447,85,2023-05-08,3
glomeruli_diagnostics,a-terp @ -3,7,DC1,0.22320356876329203,5.0,-0.04870800439637367,0.062065856531076484,0.18514893797126936,0.062040271124727916,0.18507261402960862,85,2023-05-09,1
glomeruli_diagnostics,a-terp @ -3,8,DC1,0.7604409618730017,16.666666666666668,1.2498851909437003,0.27433799351143734,0.8183789120573768,0.27430308258802155,0.8182747691234789,85,2023-05-10,1
glomeruli_diagnostics,a-terp @ -3,9,DC1,0.06598752067694465,20.0,-0.4261117259801008,0.03926309202191415,0.11712590779579046,0.03925736192658614,0.11710881432244212,85,2023-06-22,1
