Row,ammoniumhydroxide,putrescine,cadaverine,g-butyrolactone,g-hexalactone,g-octalactone,g-decalactone,d-decalactone,methanoicacid,acetic acid,propionic acid,butyric acid,pentanoic acid,hexanoic acid,heptanoic acid,octanoic acid,nonionic acid,linoleum acid,isobutyric acid,isopentanoic acid,pyretic acid,2-ethylhexanoic acid,lactic acid,3-methylthio-1-propanol,dimethyl sulfide,terpinolene,a-pinene,b-pinene,(1S)-(+)-3-carene,limonene,a-humulene,b-myrcene,(-)-trans-caryophyllene,p-cymene,geranyl acetate,a-terpineol,geraniol,nerol,linalool,b-citronellol,linalool oxide,acetaldehyde,propanal,butanal,pentanal,hexanal,E2-hexenal,furfural,2-propenal,acetone,2-butanone,2-pentanone,2-heptanone,6-methyl-5-hepten-2-one,2 3-butanedione,phenethyl alcohol,benzyl alcohol,methyl salicylate,methyl benzoate,ethyl benzoate,phenethyl acetate,benzaldehyde,phenylacetaldehyde,acetophenone,ethylcinnamate,2-methylphenol,4-ethylguaiacol,eugenol,methanol,ethanol,1-propanol,1-butanol,1-pentanol,1-hexanol,1-octanol,2-pentanol,3-methylbutanol,3-methyl-2-buten-1-ol,1-penten-3-ol,1-octen-3-ol,E2-hexenol,Z2-hexenol,E3-hexenol,Z3-hexenol,glycerol,2 3-butanediol,methyl acetate,ethyl acetate,propyl acetate,butyl acetate,pentyl acetate,hexyl acetate,isobutyl acetate,isopentyl acetate,E2-hexenyl acetate,methyl butyrate,ethyl butyrate,hexyl butyrate,ethyl 3-hydroxybutyrate,ethyl propionate,ethyl methanoate,methyl hexanoate,ethyl hexanoate,hexyl hexanoate,methyl octanoate,ethyl octanoate,ethyl decanoate,ethyl trans-2-butenoate,ethyl lactate,diethyl succinate,ethyl acetate -2,pentyl acetate -2,ethyl butyrate -2,methyl salicylate -2,1-hexanol -2,1-octen-3-ol -2,E2-hexenal -2,2 3-butanedione -2,2-heptanone -2,geranyl acetate -2,ethyl acetate -4,pentyl acetate -4,ethyl butyrate -4,methyl salicylate -4,1-hexanol -4,1-octen-3-ol -4,E2-hexenal -4,2 3-butanedione -4,2-heptanone -4,geranyl acetate -4,ethyl acetate -6,pentyl acetate -6,ethyl butyrate -6,methyl salicylate -6,1-hexanol -6,1-octen-3-ol -6,E2-hexenal -6,2 3-butanedione -6,2-heptanone -6,geranyl acetate -6,ethyl acetate -8,pentyl acetate -8,ethyl butyrate -8,methyl salicylate -8,1-hexanol -8,1-octen-3-ol -8,E2-hexenal -8,2 3-butanedione -8,2-heptanone -8,geranyl acetate -8,apple pure,apricot pure,banana pure,cherry pure,mango pure,peach pure,pineapple pure,raspberry pure,strawberry pure,apple -2,apricot -2,banana -2,cherry -2,mango -2,peach -2,pineapple -2,raspberry -2,strawberry -2,apple -4,apricot -4,banana -4,cherry -4,mango -4,peach -4,pineapple -4,raspberry -4,strawberry -4,apple -6,apricot -6,banana -6,cherry -6,mango -6,peach -6,pineapple -6,raspberry -6,strawberry -6
non-hallem1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non-hallem2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non-hallem3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non-hallem4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
da3,-2,-2,-7,4,12,3,-3,-2,-6,-1,-3,-3,2,3,-2,2,-4,5,-3,-4,-1,-2,-3,-2,-4,-3,-3,-4,-5,-4,-3,-4,-5,-6,4,-4,-6,-3,3,-6,8,11,-5,-6,-5,13,45,18,-6,-7,3,13,25,28,15,-2,-5,-1,-6,-6,-4,-5,1,-6,-1,-8,-9,1,-3,6,5,41,73,51,1,41,33,25,29,19,41,55,40,36,-7,-4,2,2,12,29,20,2,9,21,4,2,15,1,34,-5,-5,9,13,-4,-3,-4,-1,9,11,26,2,20,15,-1,51,19,45,15,25,4,-5,2,-5,-2,0,-2,0,-5,15,-1,0,1,3,-3,-2,4,-4,5,6,-1,-4,-4,-6,-7,-7,-13,0,2,-6,-9,68,30,77,25,39,27,27,57,67,22,-5,23,2,0,0,5,-1,2,1,4,8,-1,0,4,-5,-2,-1,1,1,0,2,2,1,3,-3,0
da4l,-1,-17,-10,-12,8,-5,-18,-16,8,0,-5,-7,-5,5,-11,-5,-15,-14,-5,-12,-1,-25,1,4,-19,-6,6,10,9,-6,-11,-5,-25,-8,-10,1,-16,-7,-6,-13,18,4,-31,-11,-13,-4,41,-17,-7,-16,-8,12,42,7,11,28,52,20,-3,-26,-12,36,-6,37,-19,77,-5,-14,-2,-7,-13,-1,77,133,-13,96,54,30,58,100,32,76,44,98,-18,-11,-12,8,12,20,12,-3,25,17,-17,10,22,-8,35,1,-14,3,6,-14,-13,-12,-8,-22,7,-8,8,12,22,20,133,100,41,11,42,-10,-9,-4,-2,-5,-4,-3,1,-7,14,-3,6,10,11,13,8,4,6,7,12,12,7,6,9,3,2,5,1,0,2,-4,76,47,112,68,51,52,59,44,51,15,4,23,2,0,1,6,-3,0,6,8,18,4,8,4,3,6,-5,4,13,12,12,3,5,12,8,1
da4m,3,6,1,9,15,7,-1,0,-2,5,1,11,7,8,3,-2,-2,-7,-2,4,3,3,2,8,0,-6,-2,3,-1,3,-1,2,2,-2,2,2,-1,8,17,3,30,21,18,43,22,19,17,11,14,1,8,30,39,46,3,2,-4,5,1,1,11,5,10,-3,-4,-11,-1,4,10,4,33,45,35,40,1,38,30,36,34,27,35,34,45,29,2,6,5,-3,31,51,35,29,31,65,22,25,12,4,53,21,3,39,22,1,1,1,5,11,39,16,-3,35,12,5,40,27,17,3,39,2,-4,5,-4,-5,1,5,-1,-1,35,-3,-1,-4,0,-1,-4,0,4,3,2,0,4,5,-2,1,-1,9,6,2,11,2,40,10,55,5,15,16,13,19,35,9,-4,31,-1,6,-2,-2,6,18,3,7,19,4,4,1,2,14,17,-1,-2,-3,-4,-5,0,-5,3,-3
dc1,1,-9,-5,-7,-2,2,-22,-23,33,3,5,10,30,30,-19,-26,-19,-30,7,21,-1,-22,-4,-9,-27,51,21,40,123,92,-7,21,21,20,9,85,2,22,125,18,91,19,-52,-38,-20,-29,58,-22,-12,-25,-16,-1,131,69,35,14,-9,1,-12,-6,7,-15,-30,5,-21,-16,-10,-16,-16,-12,10,49,84,146,92,74,78,58,64,149,79,85,74,84,-21,-19,-13,7,-1,31,130,50,48,81,37,-6,73,6,30,-13,-17,36,42,-25,0,-8,-17,9,24,24,7,130,73,1,146,149,58,35,131,9,-6,-4,-6,-2,-6,-1,2,-9,-3,6,4,3,3,1,0,-2,-5,-2,-2,2,14,7,5,5,2,4,3,0,1,5,73,56,126,47,104,47,38,63,47,26,-7,22,-4,16,1,-2,1,9,-5,-5,-2,-7,-5,0,-3,-4,0,-7,-5,-6,-3,-7,-7,0,-7,1
non-hallem9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non-hallem10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
