source,target,weight,source_cell_class,source_cell_type,source_hemibrain_type,source_side,target_cell_class,target_cell_type,target_hemibrain_type,target_side
720575940613579943,720575940602815200,19.0,ALPN,,DC4_adPN,left,Kenyon_Cell,KCab,KCab-s,left
720575940618308825,720575940602815200,1.0,ALPN,,DP1m_adPN,left,Kenyon_Cell,KCab,KCab-s,left
720575940620445062,720575940602815200,13.0,ALPN,,VP5+Z_adPN,left,Kenyon_Cell,KCab,KCab-s,left
720575940628524292,720575940602815200,1.0,ALPN,,VM7d_adPN,left,Kenyon_Cell,KCab,KCab-s,left
720575940637056887,720575940602815200,2.0,ALPN,,DC1_adPN,left,Kenyon_Cell,KCab,KCab-s,left
720575940640804853,720575940602815200,11.0,ALPN,,VA1d_adPN,left,Kenyon_Cell,KCab,KCab-s,left
720575940613579943,720575940603317216,24.0,ALPN,,DC4_adPN,left,Kenyon_Cell,,KCg-m,left
720575940628524292,720575940603317216,1.0,ALPN,,VM7d_adPN,left,Kenyon_Cell,,KCg-m,left
720575940619902598,720575940603317216,7.0,ALPN,VC3_adPN,VC3l_adPN,left,Kenyon_Cell,,KCg-m,left
720575940623528925,720575940603317216,20.0,ALPN,,DM4_adPN,left,Kenyon_Cell,,KCg-m,left
720575940630024566,720575940603317216,11.0,ALPN,,DM2_lPN,left,Kenyon_Cell,,KCg-m,left
720575940638633535,720575940603317216,1.0,ALPN,,DM2_lPN,left,Kenyon_Cell,,KCg-m,left
720575940613579943,720575940604509374,18.0,ALPN,,DC4_adPN,left,Kenyon_Cell,KCab,KCab-s,left
720575940604431584,720575940604509374,8.0,ALPN,,VA3_adPN,left,Kenyon_Cell,KCab,KCab-s,left
720575940636873791,720575940604509374,4.0,ALPN,,VA6_adPN,left,Kenyon_Cell,KCab,KCab-s,left
720575940608199748,720575940604509374,11.0,ALPN,VC5_lvPN,VC3m_lvPN,left,Kenyon_Cell,KCab,KCab-s,left
720575940616079035,720575940604509374,3.0,ALPN,,DL1_adPN,left,Kenyon_Cell,KCab,KCab-s,left
720575940619337536,720575940604509374,4.0,ALPN,,VM7v_adPN,left,Kenyon_Cell,KCab,KCab-s,left
720575940620199962,720575940604509374,1.0,ALPN,,VA1v_adPN,left,Kenyon_Cell,KCab,KCab-s,left
720575940631930828,720575940604509374,4.0,ALPN,,DA4m_adPN,left,Kenyon_Cell,KCab,KCab-s,left
720575940613579943,720575940604833196,10.0,ALPN,,DC4_adPN,left,Kenyon_Cell,KCab,KCab-c,left
720575940618308825,720575940604833196,1.0,ALPN,,DP1m_adPN,left,Kenyon_Cell,KCab,KCab-c,left
720575940623528925,720575940604833196,12.0,ALPN,,DM4_adPN,left,Kenyon_Cell,KCab,KCab-c,left
720575940630546540,720575940604833196,11.0,ALPN,,V_ilPN,left,Kenyon_Cell,KCab,KCab-c,left
720575940608199748,720575940604833196,14.0,ALPN,VC5_lvPN,VC3m_lvPN,left,Kenyon_Cell,KCab,KCab-c,left
720575940617207185,720575940604833196,18.0,ALPN,,DL5_adPN,left,Kenyon_Cell,KCab,KCab-c,left
720575940613579943,720575940606725131,21.0,ALPN,,DC4_adPN,left,Kenyon_Cell,KCab,KCab-s,left
720575940619902598,720575940606725131,13.0,ALPN,VC3_adPN,VC3l_adPN,left,Kenyon_Cell,KCab,KCab-s,left
720575940610505170,720575940606725131,14.0,ALPN,,VM5v_adPN,left,Kenyon_Cell,KCab,KCab-s,left
720575940622785062,720575940606725131,10.0,ALPN,,DM6_adPN,left,Kenyon_Cell,KCab,KCab-s,left
720575940637009636,720575940606725131,7.0,ALPN,,VA5_lPN,left,Kenyon_Cell,KCab,KCab-s,left
720575940613579943,720575940606796722,18.0,ALPN,,DC4_adPN,left,Kenyon_Cell,,KCg-m,left
720575940622368792,720575940606796722,31.0,ALPN,,DL1_adPN,left,Kenyon_Cell,,KCg-m,left
720575940622785062,720575940606796722,13.0,ALPN,,DM6_adPN,left,Kenyon_Cell,,KCg-m,left
720575940622364184,720575940606796722,2.0,ALPN,,DA2_lPN,left,Kenyon_Cell,,KCg-m,left
