source,target,weight,target_cell_class,target_cell_type,target_hemibrain_type,target_side,source_cell_class,source_cell_type,source_hemibrain_type,source_side
720575940603464672,720575940604860332,5.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940604935340,2.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940605083838,8.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940606341250,12.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940606399068,15.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940606549961,10.0,Kenyon_Cell,KCab,KCab-c,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940606941397,8.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940607792139,8.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940607971908,15.0,Kenyon_Cell,KCab,KCab-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940608524483,17.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940608527150,10.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940608772821,25.0,Kenyon_Cell,KCab,KCab-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940609133102,21.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940609184210,5.0,Kenyon_Cell,KCab,KCab-s,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940610406776,16.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940610906521,27.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940611111829,1.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940611532949,19.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940611696042,14.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940611748594,23.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940612435198,10.0,Kenyon_Cell,KCab,KCab-c,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940612450730,6.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940612490723,13.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940612664482,14.0,Kenyon_Cell,KCab,KCab-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940612668018,7.0,Kenyon_Cell,KCab,KCab-s,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940612740466,6.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940613593503,10.0,Kenyon_Cell,KCab,KCab-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940613774334,12.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940613776543,10.0,Kenyon_Cell,KCapbp-ap1,KCa'b'-ap1,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940613929670,9.0,Kenyon_Cell,KCapbp-ap1,KCa'b'-ap1,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940614036019,13.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940614495093,13.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940614524127,12.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940614714518,8.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940614744991,8.0,Kenyon_Cell,KCab,KCab-c,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940614803286,8.0,Kenyon_Cell,KCab,KCab-s,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940614822742,9.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940614887830,26.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940615134918,14.0,Kenyon_Cell,KCab,KCab-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940615147788,18.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940615386324,17.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940615447764,2.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940615465433,12.0,Kenyon_Cell,KCab,KCab-c,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940615897245,6.0,Kenyon_Cell,KCab,KCab-c,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940615927197,26.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940616547904,18.0,Kenyon_Cell,KCab,KCab-c,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940616746123,3.0,Kenyon_Cell,KCapbp-m,KCa'b'-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940617079257,12.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940617249108,14.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940617395412,7.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
720575940603464672,720575940617452689,1.0,Kenyon_Cell,,KCg-m,right,ALPN,,VL2a_adPN,right
