bodyId_pre,type_pre,instance_pre,bodyId_post,type_post,instance_post,roi,weight
425790257,APL,APL_R,1172713521,KCg-s1,KCg-s1(super)_R,gL(R),137
425790257,APL,APL_R,5812982011,NA,KCy(half),CA(R),62
425790257,APL,APL_R,570643193,KCg-m,KCg-m_R,gL(R),52
425790257,APL,APL_R,816276925,KCg-m,KCg-m_R,gL(R),51
425790257,APL,APL_R,5813056309,KCg-m,KCg-m_R,gL(R),51
425790257,APL,APL_R,1164113870,KCg-m,KCg-m_R,gL(R),50
425790257,APL,APL_R,508599194,KCg-m,KCg-m_R,gL(R),50
425790257,APL,APL_R,1110937445,KCg-m,KCg-m_R,gL(R),49
425790257,APL,APL_R,600684832,KCg-m,KCg-m_R,gL(R),49
425790257,APL,APL_R,601047853,KCg-m,KCg-m_R,gL(R),48
425790257,APL,APL_R,571044587,NA,KCy(half),CA(R),48
425790257,APL,APL_R,692810011,KCg-m,KCg-m_R,gL(R),48
425790257,APL,APL_R,539949536,KCg-m,KCg-m_R,gL(R),47
425790257,APL,APL_R,5812980992,KCg-m,KCg-m_R,gL(R),47
425790257,APL,APL_R,5813070581,KCg-m,KCg-m_R,gL(R),47
425790257,APL,APL_R,508599211,KCg-m,KCg-m_R,gL(R),47
425790257,APL,APL_R,911755444,KCg-m,KCg-m_R,gL(R),47
425790257,APL,APL_R,1143332046,KCg-m,KCg-m_R,gL(R),47
425790257,APL,APL_R,5813033059,KCg-m,KCg-m_R,gL(R),47
425790257,APL,APL_R,447224575,KCg-m,KCg-m_R,gL(R),46
425790257,APL,APL_R,1173408617,KCg-m,KCg-m_R,gL(R),46
425790257,APL,APL_R,385132611,KCg-m,KCg-m_R,gL(R),46
425790257,APL,APL_R,631400598,KCg-m,KCg-m_R,gL(R),46
425790257,APL,APL_R,477900959,KCg-m,KCg-m_R,gL(R),46
425790257,APL,APL_R,5813033144,KCg-m,KCg-m_R,gL(R),46
425790257,APL,APL_R,5812982610,KCg-m,KCg-m_R,gL(R),46
425790257,APL,APL_R,415511327,KCg-m,KCg-m_R,gL(R),46
425790257,APL,APL_R,5812983147,KCg-m,KCg-m_R,gL(R),46
425790257,APL,APL_R,723508162,KCg-m,KCg-m_R,gL(R),46
425790257,APL,APL_R,911759695,KCg-m,KCg-m_R,gL(R),46
425790257,APL,APL_R,5812982437,KCg-m,KCg-m_R,gL(R),46
425790257,APL,APL_R,508949033,KCg-m,KCg-m_R,gL(R),46
425790257,APL,APL_R,693841887,KCg-m,KCg-m_R,gL(R),45
425790257,APL,APL_R,5812981703,KCg-m,KCg-m_R,gL(R),45
425790257,APL,APL_R,661766416,KCg-m,KCg-m_R,gL(R),45
425790257,APL,APL_R,5813067793,KCg-m,KCg-m_R,gL(R),45
425790257,APL,APL_R,5812982436,KCg-m,KCg-m_R,gL(R),45
425790257,APL,APL_R,5813021865,KCg-m,KCg-m_R,gL(R),45
425790257,APL,APL_R,5812981706,KCg-m,KCg-m_R,gL(R),45
425790257,APL,APL_R,664511977,KCg-d,KCg-d_R,gL(R),45
425790257,APL,APL_R,5812981153,KCg-m,KCg-m_R,gL(R),45
425790257,APL,APL_R,5812983152,KCg-m,KCg-m_R,gL(R),45
425790257,APL,APL_R,477900945,KCg-m,KCg-m_R,gL(R),45
425790257,APL,APL_R,5812981340,KCa'b'-ap1,KCa'b'-ap1_R,b'L(R),45
425790257,APL,APL_R,477909679,KCg-m,KCg-m_R,gL(R),45
425790257,APL,APL_R,1173063302,KCg-m,KCg-m_R,gL(R),45
425790257,APL,APL_R,631064055,KCg-m,KCg-m_R,gL(R),44
425790257,APL,APL_R,5813019779,KCg-m,KCg-m_R,gL(R),44
425790257,APL,APL_R,5813087798,KCg-m,KCg-m_R,gL(R),44
425790257,APL,APL_R,601712754,KCg-m,KCg-m_R,gL(R),44
425790257,APL,APL_R,5813080766,KCg-m,KCg-m_R,gL(R),44
425790257,APL,APL_R,632397750,KCg-m,KCg-m_R,gL(R),44
425790257,APL,APL_R,784895866,KCg-m,KCg-m_R,gL(R),44
425790257,APL,APL_R,5813035700,KCg-d,KCg-d_R,gL(R),44
425790257,APL,APL_R,5812982371,KCg-m,KCg-m_R,gL(R),44
425790257,APL,APL_R,1141009899,KCg-m,KCg-m_R,gL(R),44
425790257,APL,APL_R,724142845,KCg-m,KCg-m_R,gL(R),44
425790257,APL,APL_R,662763626,KCg-m,KCg-m_R,gL(R),44
425790257,APL,APL_R,5812980638,KCg-m,KCg-m_R,gL(R),44
425790257,APL,APL_R,1068958652,KCg-m,KCg-m_R,gL(R),44
425790257,APL,APL_R,539983731,KCg-m,KCg-m_R,gL(R),44
425790257,APL,APL_R,477909698,KCg-m,KCg-m_R,gL(R),44
425790257,APL,APL_R,5812982442,KCg-m,KCg-m_R,gL(R),43
425790257,APL,APL_R,1141678931,KCg-m,KCg-m_R,gL(R),43
425790257,APL,APL_R,5812982832,KCg-m,KCg-m_R,gL(R),43
425790257,APL,APL_R,1265852784,KCg-d,KCg-d_R,gL(R),43
425790257,APL,APL_R,5813067833,KCg-m,KCg-m_R,gL(R),43
425790257,APL,APL_R,1171704378,KCg-m,KCg-m_R,gL(R),43
425790257,APL,APL_R,632397798,KCg-m,KCg-m_R,gL(R),43
