bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
425790257,986793149,CA(R),CA(R),13735,11984,12324,13752,11997,12310,0.971,0.926573
425790257,986793149,CA(R),CA(R),15188,13832,9893,15191,13828,9884,0.862,0.9979
425790257,986793149,CA(R),CA(R),13372,14625,9890,13376,14611,9879,0.984,0.984632
425790257,986793149,CA(R),CA(R),13502,14661,9960,13529,14670,9939,0.996,0.335562
425790257,986793149,CA(R),CA(R),13522,14629,9955,13535,14659,9935,0.939,0.528132
425790257,986793149,CA(R),CA(R),14296,12727,10647,14295,12745,10662,0.982,0.971799
425790257,986793149,CA(R),CA(R),13319,13884,13660,13332,13882,13638,0.972,0.967439
425790257,986793149,CA(R),CA(R),13951,12799,10690,13948,12795,10705,0.994,0.998691
425790257,986793149,CA(R),CA(R),14341,12841,10522,14372,12847,10537,0.964,0.627414
425790257,986793149,CA(R),CA(R),15476,14725,10583,15471,14722,10578,0.997,0.944897
425790257,986793149,CA(R),CA(R),13831,12751,10845,13860,12747,10841,0.987,0.334562
425790257,986793149,CA(R),CA(R),13916,12908,10313,13940,12897,10305,0.956,0.45723718
425790257,986793149,CA(R),CA(R),15566,15080,10437,15531,15082,10447,0.945,0.399419
425790257,986793149,CA(R),CA(R),15367,15002,10309,15372,14983,10299,0.987,0.960492
425790257,985429128,CA(R),CA(R),12856,13052,12792,12868,13031,12763,0.943,0.65538
425790257,985429128,CA(R),CA(R),11094,12719,11440,11072,12716,11455,0.919,0.441886
425790257,985429128,CA(R),CA(R),10773,13546,10503,10809,13548,10493,0.908,0.46465474
425790257,985429128,CA(R),CA(R),12940,15074,11601,12913,15086,11609,0.994,0.727712
425790257,985429128,CA(R),CA(R),11131,14628,11526,11150,14615,11532,0.992,0.738977
425790257,985429128,CA(R),CA(R),12333,14628,11757,12339,14624,11769,0.904,0.91712
425790257,985429128,CA(R),CA(R),10767,13757,10481,10757,13739,10472,0.973,0.953421
425790257,984746802,CA(R),CA(R),12489,11391,12233,12489,11368,12237,0.701,0.894734
425790257,984746802,CA(R),CA(R),12460,14421,12109,12473,14388,12122,0.972,0.671319
425790257,984746802,CA(R),CA(R),12630,11946,12826,12609,11954,12837,0.995,0.83743
425790257,984746802,CA(R),CA(R),12336,11272,12662,12313,11281,12669,0.945,0.937482
425790257,984746802,CA(R),CA(R),12636,11197,10688,12621,11211,10699,0.809,0.888578
425790257,984746802,CA(R),CA(R),13020,13987,11471,12999,13984,11444,0.995,0.620255
425790257,984746802,CA(R),CA(R),12851,12642,11258,12846,12653,11234,0.913,0.996473
425790257,984746802,CA(R),CA(R),12423,11144,11189,12427,11147,11180,0.969,0.984173
425790257,984746802,CA(R),CA(R),13109,11853,11002,13136,11866,11009,0.797,0.559669
425790257,984746802,CA(R),CA(R),12783,14574,11529,12783,14545,11537,0.994,0.818387
425790257,984746802,CA(R),CA(R),12254,14345,11986,12248,14372,12012,0.956,0.644498
425790257,984405805,CA(R),CA(R),13249,12847,10050,13261,12853,10053,0.898,0.784904
425790257,984405805,CA(R),CA(R),14191,14919,12080,14195,14936,12093,0.999,0.909083
425790257,984405805,CA(R),CA(R),13145,13137,10145,13167,13151,10143,0.948,0.955107
425790257,984405805,CA(R),CA(R),13543,13572,10109,13529,13544,10141,0.973,0.45424014
425790257,984405805,CA(R),CA(R),11783,13755,12268,11785,13732,12276,0.993,0.901849
425790257,984405805,CA(R),CA(R),13719,14188,12119,13696,14203,12126,0.977,0.755863
425790257,984405805,CA(R),CA(R),13449,12299,9631,13425,12315,9626,0.916,0.827261
425790257,984405805,CA(R),CA(R),12382,12467,11936,12398,12488,11919,0.963,0.932638
425790257,984405805,CA(R),CA(R),12458,12155,11951,12422,12146,11974,0.965,0.401211
425790257,984405805,CA(R),CA(R),13742,12523,11565,13714,12532,11577,0.957,0.520654
425790257,974843892,CA(R),CA(R),14320,15705,14358,14324,15680,14342,0.99,0.602959
425790257,973816592,CA(R),CA(R),14606,15267,14194,14590,15283,14206,0.997,0.796528
425790257,973816592,CA(R),CA(R),14195,15512,14237,14206,15513,14209,0.992,0.47734612
425790257,973816592,CA(R),CA(R),14727,15488,14191,14719,15489,14209,0.99,0.936289
425790257,973816592,CA(R),CA(R),14268,15390,14108,14288,15378,14085,0.987,0.628909
425790257,973816592,CA(R),CA(R),14463,15478,14366,14487,15485,14360,0.983,0.879482
425790257,973816592,CA(R),CA(R),14255,15361,13815,14258,15366,13849,0.973,0.605998
425790257,973816592,CA(R),CA(R),14200,15302,14069,14196,15325,14061,0.991,0.908571
425790257,973816592,CA(R),CA(R),14143,15437,13952,14156,15424,13972,0.993,0.944782
425790257,973816592,CA(R),CA(R),14575,15553,14030,14568,15593,14041,0.994,0.583177
425790257,973488234,CA(R),CA(R),17246,13629,12496,17219,13637,12521,0.969,0.693148
425790257,973488234,CA(R),CA(R),17942,13014,12450,17943,13007,12468,0.954,0.711296
425790257,973488234,CA(R),CA(R),15182,13489,9440,15185,13486,9457,0.976,0.862191
425790257,973488234,CA(R),CA(R),17312,12472,14081,17326,12475,14072,0.908,0.981542
425790257,973488234,CA(R),CA(R),17952,12984,12807,17948,12986,12792,0.988,0.996527
425790257,973488234,CA(R),CA(R),15369,13127,9720,15332,13139,9680,0.974,0.778952
425790257,973488234,CA(R),CA(R),15269,13461,9483,15235,13442,9482,0.973,0.4722889
425790257,973488234,CA(R),CA(R),17922,14215,13132,17902,14212,13119,0.894,0.785479
425790257,973488234,CA(R),CA(R),17875,13757,13202,17879,13752,13188,0.987,0.810816
425790257,973488234,CA(R),CA(R),15092,13261,9751,15073,13264,9720,0.983,0.48397517
425790257,973488234,CA(R),CA(R),15407,11970,10573,15406,11995,10555,0.902,0.694087
425790257,973488234,CA(R),CA(R),15716,12251,10623,15695,12212,10590,0.998,0.281079
