bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
986793149,425790257,CA(R),CA(R),14044,13128,10888,14058,13133,10891,0.999,0.964291
986793149,425790257,CA(R),CA(R),13547,12324,13093,13538,12339,13084,0.81,0.701965
986793149,425790257,CA(R),CA(R),13030,12870,13718,13027,12861,13725,0.994,0.919123
986793149,425790257,CA(R),CA(R),13808,12897,10127,13801,12894,10136,0.987,0.617211
986793149,425790257,CA(R),CA(R),13761,12926,10068,13745,12925,10057,0.941,0.982491
986793149,425790257,CA(R),CA(R),14020,13178,10001,14022,13160,10012,0.996,0.968216
985429128,425790257,CA(R),CA(R),11308,12784,12828,11319,12782,12821,0.932,0.689964
985429128,425790257,CA(R),CA(R),11275,12766,12818,11296,12763,12812,0.95,0.982294
985429128,425790257,CA(R),CA(R),11293,13673,12745,11297,13662,12754,0.828,0.856978
985429128,425790257,CA(R),CA(R),11206,13746,13634,11202,13761,13624,0.858,0.998887
985429128,425790257,CA(R),CA(R),11181,12271,11442,11192,12274,11426,0.984,0.988337
985429128,425790257,CA(R),CA(R),11045,13303,10550,11041,13297,10558,0.855,0.422267
985429128,425790257,CA(R),CA(R),10893,13422,10516,10885,13418,10522,0.986,0.775587
985429128,425790257,CA(R),CA(R),10743,13928,10175,10725,13933,10173,0.866,0.28528
985429128,425790257,CA(R),CA(R),10937,13390,11479,10937,13397,11500,0.947,0.617211
985429128,425790257,CA(R),CA(R),10890,13189,11152,10904,13206,11149,0.986,0.689866
985429128,425790257,CA(R),CA(R),10881,13218,11128,10893,13224,11128,0.929,0.8948
985429128,425790257,CA(R),CA(R),11334,12746,11461,11329,12762,11463,0.892,0.900326
985429128,425790257,CA(R),CA(R),12226,12827,12811,12213,12833,12822,0.988,0.698844
985429128,425790257,CA(R),CA(R),11306,12520,12484,11309,12505,12470,0.964,0.987438
985429128,425790257,CA(R),CA(R),12408,14592,11740,12407,14578,11723,0.997,0.894802
985429128,425790257,CA(R),CA(R),11877,14065,12319,11893,14064,12331,0.985,0.935402
984746802,425790257,CA(R),CA(R),12675,11371,11034,12656,11376,11053,0.982,0.856554
984746802,425790257,CA(R),CA(R),12571,11253,10680,12575,11236,10673,0.957,0.996435
984746802,425790257,CA(R),CA(R),12435,11753,12958,12420,11740,12961,0.917,0.958057
984746802,425790257,CA(R),CA(R),12576,12434,12696,12561,12454,12693,0.98,0.8294
984746802,425790257,CA(R),CA(R),12838,13059,11347,12847,13049,11355,0.991,0.625749
984746802,425790257,CA(R),CA(R),13379,12879,12134,13356,12871,12164,0.766,0.305804
984746802,425790257,CA(R),CA(R),13205,13681,11390,13218,13687,11396,0.858,0.584682
984746802,425790257,CA(R),CA(R),13163,13860,11471,13156,13852,11486,0.999,0.998998
984746802,425790257,CA(R),CA(R),12431,11369,12275,12451,11382,12261,0.963,0.999162
984746802,425790257,CA(R),CA(R),12857,12673,11244,12859,12662,11255,0.984,0.466387
984746802,425790257,CA(R),CA(R),12394,11292,11836,12397,11307,11821,0.932,0.79005
984405805,425790257,CA(R),CA(R),13248,11594,12003,13258,11588,12015,0.813,0.998264
984405805,425790257,CA(R),CA(R),13335,12299,9808,13324,12295,9800,0.796,0.958364
984405805,425790257,CA(R),CA(R),14494,14403,12187,14494,14415,12196,0.975,0.939784
984405805,425790257,CA(R),CA(R),14482,14475,12182,14499,14476,12193,0.998,0.88396
984405805,425790257,CA(R),CA(R),12350,12509,12074,12365,12502,12085,0.998,0.985486
975518615,425790257,CA(R),CA(R),14272,15428,14571,14288,15442,14571,0.978,0.982572
974843892,425790257,CA(R),CA(R),14661,15484,14223,14652,15468,14213,0.987,0.83228
973816592,425790257,CA(R),CA(R),14513,15738,14294,14508,15755,14316,0.986,0.993748
973816592,425790257,CA(R),CA(R),14496,15394,14238,14519,15417,14237,0.997,0.709982
973816592,425790257,CA(R),CA(R),14294,15420,14219,14304,15416,14237,0.994,0.889734
973816592,425790257,CA(R),CA(R),14474,15599,14307,14457,15587,14323,0.985,0.704255
973488234,425790257,CA(R),CA(R),15263,12009,10405,15266,11993,10404,0.959,0.75566
973488234,425790257,CA(R),CA(R),17118,14013,10752,17093,14011,10745,0.959,0.990384
973488234,425790257,CA(R),CA(R),15076,13269,9518,15083,13274,9502,0.991,0.988232
973488234,425790257,CA(R),CA(R),17529,13904,11279,17544,13892,11280,0.984,0.872069
973488234,425790257,CA(R),CA(R),17529,13913,11316,17547,13895,11316,0.98,0.634999
973488234,425790257,CA(R),CA(R),18026,13133,12603,18004,13143,12595,0.944,0.947276
973488234,425790257,CA(R),CA(R),17730,14021,11772,17742,14016,11788,0.995,0.8066
973488234,425790257,CA(R),CA(R),17986,13129,12617,17972,13144,12613,0.975,0.988462
973488234,425790257,CA(R),CA(R),16921,13890,10671,16904,13900,10666,0.982,0.995795
973488234,425790257,CA(R),CA(R),16659,14894,10049,16657,14890,10059,0.997,0.783009
973488234,425790257,CA(R),CA(R),15636,12076,10555,15620,12063,10560,0.982,0.674191
973488234,425790257,CA(R),CA(R),17018,14761,10555,17007,14774,10563,0.997,0.962104
973488234,425790257,CA(R),CA(R),15670,15538,10124,15668,15531,10134,0.999,0.920844
973488234,425790257,CA(R),CA(R),17961,14172,12178,17949,14164,12184,0.984,0.895743
973488234,425790257,CA(R),CA(R),17160,14515,11131,17170,14526,11137,0.991,0.790758
973488234,425790257,CA(R),CA(R),17546,13075,13955,17543,13063,13964,0.993,0.928677
973151229,425790257,CA(R),CA(R),17130,14379,11816,17110,14377,11812,0.988,0.964494
973151229,425790257,CA(R),CA(R),16356,14259,13142,16346,14260,13128,0.996,0.999852
973151229,425790257,CA(R),CA(R),17503,13156,13890,17491,13176,13892,0.985,0.86193
973151229,425790257,CA(R),CA(R),17218,14276,11425,17205,14263,11400,0.992,0.967709
973151229,425790257,CA(R),CA(R),17213,15016,11015,17228,15032,11024,0.993,0.99029
973151229,425790257,CA(R),CA(R),16802,14152,10941,16808,14130,10937,0.932,0.752314
973151229,425790257,CA(R),CA(R),15879,13260,10076,15891,13248,10092,0.794,0.808647
973151229,425790257,CA(R),CA(R),17050,15026,12042,17066,15041,12042,0.992,0.82165
973151229,425790257,CA(R),CA(R),16742,12658,13056,16734,12643,13059,0.989,0.756693
973151229,425790257,CA(R),CA(R),16595,13899,12768,16589,13904,12775,0.995,0.970876
973151229,425790257,CA(R),CA(R),16631,13931,12762,16637,13927,12773,0.995,0.747201
973151229,425790257,CA(R),CA(R),17472,14886,13370,17485,14890,13379,0.985,0.952156
973151229,425790257,CA(R),CA(R),16852,13877,10651,16860,13876,10665,0.997,0.810516
973151229,425790257,CA(R),CA(R),16435,13766,12263,16434,13770,12254,0.998,0.64831
973151229,425790257,CA(R),CA(R),17374,13389,11413,17354,13390,11412,0.992,0.77229
973146958,425790257,CA(R),CA(R),15760,13792,11153,15776,13776,11150,0.998,0.960997
973146958,425790257,CA(R),CA(R),16821,15233,10872,16803,15249,10853,0.993,0.976885
973146958,425790257,CA(R),CA(R),15132,14912,14015,15122,14907,14021,0.986,0.664077
973146958,425790257,CA(R),CA(R),15832,13874,11124,15820,13872,11133,0.998,0.802435
973146958,425790257,CA(R),CA(R),15127,14917,13975,15114,14921,13963,0.99,0.863926
973146958,425790257,CA(R),CA(R),15982,14908,13615,15985,14905,13595,0.863,0.999895
973146958,425790257,CA(R),CA(R),16504,14944,12475,16492,14939,12466,0.995,0.919456
973146958,425790257,CA(R),CA(R),16421,14737,13085,16407,14761,13075,0.871,0.735665
973146958,425790257,CA(R),CA(R),16912,15255,11621,16929,15240,11615,0.993,0.749822
973146958,425790257,CA(R),CA(R),17458,15951,11613,17449,15937,11620,0.959,0.946678
973146958,425790257,CA(R),CA(R),16469,14890,12453,16477,14883,12462,0.999,0.999214
973146958,425790257,CA(R),CA(R),17090,14995,12087,17112,14993,12087,0.98,0.986844
972128731,425790257,CA(R),CA(R),16501,13670,12171,16490,13676,12187,0.998,0.991455
972128731,425790257,CA(R),CA(R),15767,14124,13050,15743,14124,13048,0.999,0.45451605
972128731,425790257,CA(R),CA(R),16785,14150,12239,16811,14137,12236,0.995,0.735921
972128731,425790257,CA(R),CA(R),17122,13969,11723,17111,13982,11732,0.991,0.707466
972128731,425790257,CA(R),CA(R),17169,15051,10914,17166,15075,10918,0.996,0.96393
972128731,425790257,CA(R),CA(R),15071,13567,14794,15053,13575,14793,0.989,0.876143
972128731,425790257,CA(R),CA(R),15276,11370,12435,15285,11353,12445,0.982,0.978228
972128731,425790257,CA(R),CA(R),17303,14712,11471,17313,14706,11477,0.998,0.850433
972128731,425790257,CA(R),CA(R),15917,13193,13871,15933,13196,13860,0.999,0.993147
972128731,425790257,CA(R),CA(R),16190,13819,12680,16185,13825,12661,0.978,0.991955
971459227,425790257,CA(R),CA(R),17484,11958,13022,17490,11964,13041,0.707,0.850066
971459227,425790257,CA(R),CA(R),16934,12873,13191,16949,12865,13194,0.965,0.975135
971459227,425790257,CA(R),CA(R),17086,13254,14488,17087,13278,14497,0.922,0.758366
971459227,425790257,CA(R),CA(R),17141,11686,11758,17136,11679,11782,0.997,0.900295
971459227,425790257,CA(R),CA(R),17053,12149,14205,17064,12136,14186,0.987,0.990075
971459227,425790257,CA(R),CA(R),17772,12596,12969,17774,12598,12980,0.976,0.994631
971459227,425790257,CA(R),CA(R),15860,11896,13138,15848,11895,13122,0.98,0.985208
971459227,425790257,CA(R),CA(R),16794,12568,12847,16776,12566,12846,0.971,0.931431
971459227,425790257,CA(R),CA(R),17687,12647,12950,17680,12639,12960,0.954,0.864765
971118724,425790257,CA(R),CA(R),16142,13685,12083,16131,13680,12074,0.996,0.954735
971118724,425790257,CA(R),CA(R),17441,11593,12337,17456,11585,12319,0.99,0.738261
971118724,425790257,CA(R),CA(R),16963,12544,12187,16956,12535,12191,0.99,0.68524
971118724,425790257,CA(R),CA(R),17183,12344,12164,17177,12333,12175,0.997,0.974877
971118724,425790257,CA(R),CA(R),16287,11176,12600,16287,11184,12607,0.992,0.962951
971118724,425790257,CA(R),CA(R),16695,12744,12830,16697,12776,12833,0.986,0.803654
971118724,425790257,CA(R),CA(R),17429,11996,14329,17421,12012,14342,0.98,0.865915
971118724,425790257,CA(R),CA(R),16414,13319,12400,16407,13314,12370,0.996,0.797517
971118724,425790257,CA(R),CA(R),16370,13385,12375,16349,13385,12373,0.994,0.996905
971118588,425790257,CA(R),CA(R),15452,13663,10992,15451,13668,11005,0.998,0.811535
971118588,425790257,CA(R),CA(R),16589,13205,11717,16591,13205,11702,0.891,0.946404
971118588,425790257,CA(R),CA(R),16565,13175,11703,16568,13172,11692,0.983,0.578173
971118588,425790257,CA(R),CA(R),17486,12740,11776,17476,12732,11772,0.994,0.983425
971118588,425790257,CA(R),CA(R),17591,13239,12086,17584,13218,12078,0.992,0.839268
971118588,425790257,CA(R),CA(R),16754,11838,13582,16775,11823,13572,0.99,0.977857
971118588,425790257,CA(R),CA(R),17396,12486,11584,17403,12471,11568,0.886,0.819216
971118588,425790257,CA(R),CA(R),17565,13037,11977,17544,13045,11956,0.972,0.998429
971118588,425790257,CA(R),CA(R),16796,11870,13601,16808,11858,13593,0.991,0.928173
971118588,425790257,CA(R),CA(R),17470,13930,12128,17457,13910,12115,0.997,0.976929
971118588,425790257,CA(R),CA(R),16557,13307,11222,16559,13317,11214,0.979,0.796833
971118588,425790257,CA(R),CA(R),17197,13535,11583,17191,13546,11574,0.994,0.932991
971118588,425790257,CA(R),CA(R),15654,13898,11033,15656,13898,11045,0.998,0.983108
971118202,425790257,CA(R),CA(R),15344,12602,10711,15333,12594,10701,0.995,0.962952
971118202,425790257,CA(R),CA(R),15642,11574,13523,15649,11573,13510,0.994,0.993155
971118202,425790257,CA(R),CA(R),15625,11557,13519,15635,11557,13503,0.96,0.970216
971118202,425790257,CA(R),CA(R),17413,12347,12719,17410,12361,12738,0.987,0.998163
971118202,425790257,CA(R),CA(R),17397,12873,11905,17391,12870,11892,0.987,0.98462
971118202,425790257,CA(R),CA(R),15131,11869,11635,15141,11861,11626,0.996,0.891982
971118202,425790257,CA(R),CA(R),17652,12469,12071,17659,12453,12058,0.979,0.993468
971118202,425790257,CA(R),CA(R),14489,12878,11520,14496,12875,11531,0.982,0.860895
971118202,425790257,CA(R),CA(R),15550,12743,10451,15533,12743,10454,0.992,0.937145
971118202,425790257,CA(R),CA(R),16994,11407,11908,17002,11406,11871,0.998,0.434447
971118202,425790257,CA(R),CA(R),15301,11439,11839,15285,11420,11843,0.987,0.47474122
971118202,425790257,CA(R),CA(R),15497,11278,11793,15479,11278,11787,0.965,0.998652
971118202,425790257,CA(R),CA(R),15733,11082,12772,15721,11074,12781,0.954,0.980988
971113967,425790257,CA(R),CA(R),16907,12178,11480,16896,12202,11470,0.997,0.955732
