bodyId_post,KC_type,KC_subtype,n_claws
300968622,KCab,KCab-m,5
301309622,KCab,KCab-c,4
332003629,KCab,KCab-m,3
332344592,KCab,KCab-c,5
332353438,KCab,KCab-s,6
301314150,KCab,KCab-c,7
332685594,KCab,KCab-c,6
332349228,KCab,KCab-c,5
332353336,KCab,KCab-m,7
332685751,KCab,KCab-c,5
332344908,KCab,KCab-m,4
332003899,KCab,KCab-c,1
332353106,KCab,KCab-m,7
332349327,KCab,KCab-c,4
332344670,KCab,KCab-c,6
332353566,KCab,KCab-m,5
332344760,KCab,KCab-c,5
332340127,KCab,KCab-s,7
332003730,KCab,KCab-c,1
301318641,KCab,KCab-c,5
331999213,KCab,KCab-s,6
332344539,KCab,KCab-c,2
331999156,KCab,KCab-c,6
332689776,KCab,KCab-m,4
333031114,KCab,KCab-m,4
333030976,KCab,KCab-m,6
332690153,KCab,KCab-c,6
332685755,KCab,KCab-c,5
333035349,KCab,KCab-s,4
333039671,KCab,KCab-m,4
362693077,KCab,KCab-m,5
362689128,KCab,KCab-s,6
354779890,KCg,KCg-m,10
362693473,KCab,KCab-m,6
354775482,KCg,KCg-m,8
362697657,KCab,KCab-s,8
362701875,KCab,KCab-s,5
363030024,KCab,KCab-m,6
362701764,KCab,KCab-s,6
363029976,KCab,KCab-m,6
363030040,KCab,KCab-s,4
363034174,KCab,KCab-m,5
363034407,KCab,KCab-m,4
363034501,KCab,KCab-c,3
363034211,KCab,KCab-m,7
362701969,KCab,KCab-s,6
363038752,KCab,KCab-c,3
363370913,KCab,KCab-m,2
363370708,KCab,KCab-c,4
363042781,KCab,KCab-m,5
363038831,KCab,KCab-m,6
363375408,KCab,KCab-c,7
363047222,KCab,KCab-s,6
363375247,KCab,KCab-c,4
363375475,KCab,KCab-c,3
363384083,KCab,KCab-m,6
363384090,KCab,KCab-m,4
363384138,KCab,KCab-m,4
363724996,KCab,KCab-c,4
363716303,KCab,KCab-m,5
363716151,KCab,KCab-c,4
363725228,KCab,KCab-m,6
363724985,KCab,KCab-c,4
363716362,KCab,KCab-m,8
363729312,KCab,KCab-m,5
385132611,KCg,KCg-m,9
363729314,KCab,KCab-m,7
363733406,KCab,KCab-s,4
364411143,KCab,KCab-s,8
393387426,KCab,KCab-s,5
393736822,KCab,KCab-m,8
385158577,KCg,KCg-m,11
364070309,KCab,KCab-c,2
364061776,KCab,KCab-m,5
393383025,KCab,KCab-s,6
394060620,KCab,KCab-s,6
364407023,KCab,KCab-m,4
394064790,KCab,KCab-m,6
394060556,KCab,KCab-s,6
394069210,KCab,KCab-m,6
394077610,KCab,KCab-m,2
394073547,KCab,KCab-m,6
394081878,KCab,KCab-s,4
394401778,KCab,KCab-m,6
394397189,KCab,KCab-s,5
332340236,KCab,KCab-m,4
394427392,KCab,KCab-s,5
394755742,KCab,KCab-c,2
394414783,KCab,KCab-m,2
394755782,KCab,KCab-c,5
394414724,KCab,KCab-m,8
394755645,KCab,KCab-c,4
394418743,KCab,KCab-m,5
394759837,KCab,KCab-m,4
394759626,KCab,KCab-c,5
332008082,KCab,KCab-m,6
394764082,KCab,KCab-m,5
415511327,KCg,KCg-m,9
394755632,KCab,KCab-c,2
394755376,KCab,KCab-m,5
395105113,KCab,KCab-m,4
331662717,KCab,KCab-s,6
394768379,KCab,KCab-s,7
415852518,KCg,KCg-m,9
415826533,KC part due to gap,KC part due to gap,7
415494049,KCg,KCg-m,11
416189410,KCg,KCg-m,8
416508862,KCg,KCg-m,10
424754530,KCab,KCab-s,5
415835070,KCg,KCg-m,8
415835178,KCg,KCg-m,9
425112506,KCab,KCab-s,5
415908516,KCg,KCg-m,10
425104216,KCab,KCab-m,5
415848195,KCg,KCg-m,8
415848228,KCg,KCg-m,10
426139965,KCab,KCab-s,6
363387921,KCab,KCab-m,6
425086839,KCab,KCab-p,2
425768768,KCab,KCab-s,7
425104113,KCab,KCab-m,5
416189500,KCg,KCg-m,12
426464004,KCab,KCab-s,5
416837168,KCg,KCg-m,10
426477089,KCab,KCab-s,4
425768822,KCab,KCab-s,6
446533552,KCg,KCg-m,9
425431837,KCab,KCab-s,6
446826981,KCg,KCg-m,8
363371001,KCab,KCab-m,1
425445301,KCab,KCab-c,8
425436170,KCab,KCab-m,7
426818061,KCab,KCab-p,0
447219992,KCg,KCg-m,11
446848967,KCg,KCg-m,11
332007728,KCab,KCab-m,3
363725201,KCab,KCab-m,4
455793743,KCab,KCab-s,5
455793827,KCab,KCab-s,4
455793621,KCab,KCab-s,7
447224575,KCg,KCg-m,8
364070517,KCab,KCab-m,5
301314154,KCab,KCab-c,3
456808311,KCab,KCab-s,5
456134692,KCab,KCab-s,5
456820863,KCab,KCab-m,5
301314208,KCab,KCab-c,3
476545134,KCab,KCab-m,5
456458549,KCab,KCab-s,5
477262101,KCab,KCab-c,5
456462919,KCab,KCab-p,3
477900959,KCg,KCg-m,9
477900945,KCg,KCg-m,10
362701895,KCab,KCab-m,4
331662668,KCab,KCab-m,5
477896729,KC part due to gap,KC part due to gap,6
477909602,KCg,KCg-m,9
477909698,KCg,KCg-m,10
477572961,KCa'b',KCa'b'-ap2,6
478250407,KCg,KCg-m,9
457507485,KCab,KCab-s,6
332008063,KCab,KCab-m,5
477909679,KCg,KCg-m,8
478660968,KCg,KCg-m,9
486815976,KCa'b',KCa'b'-ap2,4
487489064,KCa'b',KCa'b'-ap2,4
487160828,KCa'b',KCa'b'-m,5
486837442,KCa'b',KCa'b'-m,7
478250482,KCg,KCg-m,8
487489028,KCa'b',KCa'b'-ap2,3
488179585,KCab,KCab-s,5
487834179,KCa'b',KCa'b'-ap1,3
488205572,KCab,KCab-s,6
488533722,KCab,KCab-s,5
487834111,KCa'b',KCa'b'-ap1,2
508292573,KCab,KCab-c,5
487847296,KCab,KCab-s,6
508599211,KCg,KCg-m,11
488188560,KCab,KCab-s,6
507592981,KCab,KCab-m,5
507260559,KCab,KCab-m,6
508940291,KCg,KCg-m,9
488184014,KCab,KCab-s,7
508599194,KCg,KCg-m,9
488179878,KCa'b',KCa'b'-ap1,4
508949033,KCg,KCg-m,8
487501700,KCab,KCab-s,6
487834131,KCa'b',KCa'b'-ap1,5
508939879,KCg,KCg-m,5
508935964,KCg,KCg-m,10
509700197,KCg,KCg-m,9
508599271,KCg,KCg-m,10
517847127,KCa'b',KCa'b'-ap2,5
508616471,KCg,KCg-m,9
508940292,KC part due to gap,KC part due to gap,5
508918609,KCa'b',KCa'b'-m,6
509013752,KCg,KCg-m,9
517871837,KCa'b',KCa'b'-m,5
508599181,KCg,KCg-m,10
507243409,KCab,KCab-c,7
508599276,KCg,KCg-m,8
518191547,KCa'b',KCa'b'-ap2,6
509695478,KCg,KCg-m,7
509264220,KCg,KCg-m,12
517850316,KCa'b',KCa'b'-ap2,4
508939914,KCg,KCg-m,8
518528152,KCa'b',KCa'b'-ap2,3
518864844,KCa'b',KCa'b'-ap1,4
517510393,KCa'b',KCa'b'-ap2,6
518187118,KCa'b',KCa'b'-ap2,4
518532490,KCa'b',KCa'b'-m,4
517858947,KCab,KCab-p,2
518869381,KCa'b',KCa'b'-ap1,2
518873469,KCab,KCab-s,6
519210172,KCa'b',KCa'b'-ap1,3
519218919,KCab,KCab-s,6
518864924,KCa'b',KCa'b'-ap1,3
518195738,KCab,KCab-p,4
518882016,KCab,KCab-s,6
519214622,KCa'b',KCa'b'-ap1,3
446883390,KCg,KCg-m,11
518869459,KCa'b',KCa'b'-ap1,5
518212987,KCa'b',KCa'b'-m,5
519206240,KCa'b',KCa'b'-ap1,2
519905418,KCab,KCab-s,6
518873604,KCab,KCab-s,5
519900699,KCab,KCab-s,4
538653955,KCab,KCab-c,6
519214895,KCa'b',KCa'b'-ap1,4
519223027,KCab,KCab-s,5
538282782,KCab,KCab-m,5
539249493,KCab,KCab-m,6
456121649,KCab,KCab-s,6
519564501,KCab,KCab-s,5
519232054,KCab,KCab-s,6
539586554,KC part due to gap,KC part due to gap,1
539949536,KCg,KCg-m,8
537945877,KCab,KCab-c,5
538308362,KCab,KCab-m,6
519573099,KCab,KCab-s,5
538602138,KCg,KCg-m,9
538908474,KCab,KCab-m,3
539949478,KCg,KCg-m,6
538951958,KCg,KCg-m,11
542371432,KCab,KCab-p,2
539975118,KCg,KCg-m,9
540389646,KCg,KCg-m,7
539983731,KCg,KCg-m,10
540730639,KCg,KCg-m,8
548889938,KCa'b',KCa'b'-m,5
540730738,KCg,KCg-m,8
548553494,KCa'b',KCa'b'-m,4
548549395,KCa'b',KCa'b'-m,5
456462835,KCab,KCab-p,4
548885407,KCa'b',KCa'b'-ap2,4
539975122,KC(incomplete?),KC(incomplete?),7
548552875,KCa'b',KCa'b'-m,4
540730657,KCg,KCg-m,8
540389734,KCg,KCg-m,10
548553386,KCa'b',KCa'b'-m,5
548898520,KCa'b',KCa'b'-m,5
548885313,KCa'b',KCa'b'-ap2,5
549226277,KCa'b',KCa'b'-ap2,4
548894251,KCa'b',KCa'b'-m,5
548552915,KCa'b',KCa'b'-m,6
548898403,KCa'b',KCa'b'-m,8
549222167,KCa'b',KCa'b'-ap2,5
549576424,KCab,KCab-m,4
549572017,KCab,KCab-m,5
549576117,KCab,KCab-m,5
549230949,KCa'b',KCa'b'-ap2,5
549916869,KCab,KCab-m,8
550598935,KCab,KCab-s,7
568635279,KCab,KCab-m,6
569278689,KC part due to gap,KC part due to gap,1
550271272,KCab,KCab-s,5
569002579,KCab,KCab-m,5
550599514,KCab,KCab-s,6
569334986,KCab,KCab-c,4
569313277,KCab,KCab-m,4
550245056,KCa'b',KCa'b'-ap1,2
569650323,KCg,KCg-m,8
569615641,KCab,KCab-s,6
569317846,KCab,KCab-m,4
549917317,KCab,KCab-m,5
569939107,KC part due to gap,KC part due to gap,2
569943419,KCab,KCab-m,5
549904387,KCa'b',KCa'b'-ap1,4
570288900,KCab,KCab-m,6
549567614,KCa'b',KCa'b'-ap2,4
549571627,KCab,KCab-p,1
569999973,KCg,KCg-m,11
570314896,KCa'b',KCa'b'-m,5
549904227,KCa'b',KCa'b'-ap1,4
487493197,KCa'b',KCa'b'-ap2,5
549908737,KCa'b',KCa'b'-ap2,6
549899821,KCa'b',KCa'b'-ap1,3
570327880,KCg,KCg-m,11
570643102,KCg,KCg-m,10
570336487,KCg,KCg-m,8
570643135,KCg,KCg-m,9
570647225,KC part due to gap,KC part due to gap,2
570643109,KCg,KCg-m,9
570647366,KC part due to gap,KC part due to gap,7
570742527,KCg,KCg-m,8
570643193,KCg,KCg-m,8
571424323,KCg,KCg-m,10
570742510,KCg,KCg-m,11
571044587,KCy(half),KCy(half),10
571424636,KCg,KCg-m,9
570742599,KCg,KCg-m,7
570997147,KCg,KCg-m,10
570647526,KCg,KCg-m,9
571778433,KCg,KCg-m,9
571424650,KCg,KCg-m,12
571778381,KCg,KCg-m,10
519223428,KCab,KCab-m,5
571424748,KCg,KCg-m,9
579583329,KCa'b',KCa'b'-m,4
579587796,KCa'b',KCa'b'-m,5
579928928,KCa'b',KCa'b'-m,3
580598373,KCa'b',KCa'b'-ap2,5
579592619,KCa'b',KCa'b'-m,5
579924731,KCa'b',KCa'b'-m,3
580610916,KCab,KCab-m,6
580611301,KCab,KCab-m,5
580934661,KCa'b',KCa'b'-ap1,5
580947602,KCa'b',KCa'b'-ap1,5
581633934,KCab,KCab-s,5
581293182,KCab,KCab-m,4
580951922,KCab,KCab-m,5
599674785,KCab,KCab-m,5
600011602,KCab,KCab-m,5
600356751,KCg,KCg-m,10
600689582,KC part due to gap,KC part due to gap,1
600684832,KCg,KCg-m,9
600965298,KC part due to gap,KC part due to gap,2
600667501,KCab,KCab-s,5
600693904,KCg,KCg-m,9
600978553,KC part due to gap,KC part due to gap,2
600702348,KCg,KCg-m,8
600702483,KCg,KCg-m,10
548549000,KCa'b',KCa'b'-m,6
601302278,KC part due to gap,KC part due to gap,4
601047827,KCg,KCg-m,10
601319398,KCab,KCab-m,4
601047826,KCg,KCg-m,11
601047853,KCg,KCg-m,9
601388689,KCg,KCg-d,5
601712754,KCg,KCg-m,10
601725442,KC(incomplete?),KC(incomplete?),4
602118253,KCg,KCg-m,10
602459169,KCg,KCg-m,7
602459213,KCg,KCg-m,8
602808843,KCa'b',KCa'b'-ap2,5
610618198,KCa'b',KCa'b'-m,5
603422422,KCab,KCab-s,7
602809029,KCg,KCg-m,6
610968248,KCa'b',KCa'b'-m,5
611305085,KCa'b',KCa'b'-m,4
611646132,KCab,KCab-s,6
611304789,KCab,KCab-s,6
602459682,KCg,KCg-m,10
611300533,KCa'b',KCa'b'-m,4
630381662,KCab,KCab-m,5
611309194,KCab,KCab-m,6
630373425,KCab,KCab-c,5
630381893,KCg,KCg-m,11
630373497,KCab,KCab-s,8
611646050,KCab,KCab-p,1
611974080,KCa'b',KCa'b'-ap1,3
630722975,KC part due to gap,KC part due to gap,3
612323667,KCa'b',KCa'b'-m,5
630377642,KCab,KCab-m,7
612669205,KCab,KCab-s,3
630722830,KCab,KCab-s,3
630731599,KCg,KCg-t,7
630722941,KCg,KCg-m,8
630748479,KCa'b',KCa'b'-ap1,3
631051057,KCg,KCg-m,10
631051012,KCab,KCab-s,5
631055506,KCg,KCg-m,10
630727056,KCg,KCg-m,8
631400693,KCg,KCg-m,9
631374662,KC part due to gap,KC part due to gap,6
631400190,KCg,KCg-m,6
631059587,KCab,KCab-s,4
631737380,KCg,KCg-m,10
631422224,KCg,KCg-m,7
631400622,KCg,KCg-m,10
631396532,KCg,KCg-m,12
631396256,KCg,KCg-m,8
632017828,KC part due to gap,KC part due to gap,1
631728731,KC part due to gap,KC part due to gap,4
631400598,KCg,KCg-m,10
631396453,KCab,KCab-m,8
631741308,KCg,KCg-d,6
631737164,KCg,KCg-m,8
632048075,KCg,KCg-m,9
632069851,KCg,KCg-m,6
631064055,KCg,KCg-m,9
570336412,KCg,KCg-m,10
631733127,KCg,KCg-m,8
631422121,KCg,KCg-m,8
631741483,KCg,KCg-m,12
632069728,KCg,KCg-m,7
632013356,KCab,KCab-m,5
632069757,KCg,KCg-m,9
632082635,KCg,KCg-m,12
632397510,KCg,KCg-m,7
632397750,KCg,KCg-m,11
632397798,KCg,KCg-m,8
632402333,KCg,KCg-m,7
632397786,KCg,KCg-m,11
633149039,KCg,KCg-m,8
642335553,KCa'b',KCa'b'-m,7
642680853,KCab,KCab-m,4
642680881,KCab,KCab-m,3
642689607,KCab,KCab-m,4
643362770,KCab,KCab-s,7
579592279,KCa'b',KCa'b'-m,5
633498748,KCg,KCg-m,8
632397780,KCg,KCg-m,9
661076014,KCab,KCab-c,3
632734572,KCg,KCg-m,8
633148716,KCg,KCg-m,10
661740651,KCg,KCg-m,9
661408094,KCab,KCab-m,5
633149202,KCg,KCg-m,7
661757811,KCg,KCg-m,10
642680823,KCab,KCab-s,6
612668833,KCab,KCab-s,5
642681035,KCab,KCab-m,4
633148704,KCg,KCg-m,7
633148859,KCg,KCg-m,10
662081640,KCg,KCg-m,8
643703819,KCab,KCab-s,5
642680969,KCab,KCab-p,1
661430179,KCg,KCg-m,9
662085486,KCg,KCg-m,10
641653381,KCa'b',KCa'b'-m,5
662103124,KCab,KCab-c,5
643363111,KCab,KCab-s,5
662409582,KCa'b',KCa'b'-ap2,5
662409505,KCa'b',KCa'b'-m,6
642335523,KCab,KCab-p,3
661080007,KCa'b',KCa'b'-m,4
662107593,KCg,KCg-m,9
662414157,KCab,KCab-c,5
662418320,KCg,KCg-m,8
633144545,KCg,KCg-m,6
662461539,KCg,KCg-m,8
660730340,KCab,KCab-c,4
662767770,KCg,KCg-m,7
661421129,KCg,KCg-m,7
663091787,KCg,KCg-m,7
662085792,KC part due to gap,KC part due to gap,1
662763904,KCg,KCg-m,10
661430106,KCg,KCg-m,10
662081902,KCg,KCg-m,9
663493162,KCg,KCg-m,10
662711769,KC part due to gap,KC part due to gap,6
663834152,KCg,KCg-m,8
662089919,KC part due to gap,KC part due to gap,6
664141134,KCg,KCg-m,9
662728826,KCab,KCab-m,6
632808044,KCg,KCg-m,9
664187932,KCg,KCg-m,7
662754991,KCg,KCg-m,6
664188083,KCg,KCg-m,8
664188108,KCg,KCg-m,6
662452625,KCg,KCg-m,8
661084049,KCg,KCg-m,10
661740600,KC part due to gap,KC part due to gap,2
661395129,KCg,KCg-m,10
662094168,KCg,KCg-m,9
662802782,KCg,KCg-m,12
661408056,KCg,KCg-m,7
663134970,KCg,KCg-m,8
662107551,KCg,KCg-m,9
661766416,KCg,KCg-m,8
662789529,KCab,KCab-s,5
662772373,KCab,KCab-m,5
662806818,KCg,KCg-m,10
674056647,KCab,KCab-m,5
673029543,KCa'b',KCa'b'-m,7
673370525,KCa'b',KCa'b'-m,2
662763626,KCg,KCg-m,7
673366263,KCa'b',KCa'b'-ap2,4
661407917,KCa'b',KCa'b'-m,7
664188056,KCg,KCg-m,9
661399477,KCg,KCg-m,11
674738872,KCa'b',KCa'b'-ap2,6
662772393,KCg,KCg-m,9
692093440,KCg,KCg-m,9
664188211,KCg,KCg-m,9
691760950,KCab,KCab-m,6
692119287,KCg,KCg-m,9
674056882,KCab,KCab-m,7
674398014,KCab,KCab-m,6
692775807,KC part due to gap,KC part due to gap,1
692775814,KC part due to gap,KC part due to gap,4
673715784,KCab,KCab-m,6
692810011,KCg,KCg-m,11
693099031,KCg,KCg-m,6
693099102,KCg,KCg-m,4
692818802,KCg,KCg-m,8
693116214,KC part due to gap,KC part due to gap,3
674393414,KCa'b',KCa'b'-ap2,6
693121000,KC part due to gap,KC part due to gap,2
693034103,KC part due to gap,KC part due to gap,1
692110379,KCab,KCab-s,6
692434135,KCg,KCg-m,9
692430198,KCg,KCg-m,9
692792746,KCab,KCab-c,2
693159855,KCab,KCab-s,6
693099064,KCab,KCab-m,5
693133603,KCg,KCg-m,9
693448777,KCab,KCab-c,3
692818786,KCg,KCg-m,6
693500431,KCg,KCg-m,8
693785780,KC part due to gap,KC part due to gap,2
693500652,KCg,KCg-m,9
693785633,KCab,KCab-m,4
693112035,KC part due to gap,KC part due to gap,1
693116396,KCab,KCab-c,4
693846112,KCg,KCg-m,10
694126800,KC part due to gap,KC part due to gap,5
693453332,KCab,KCab-c,6
694139687,KC part due to gap,KC part due to gap,2
693785371,KCg,KCg-m,8
704742082,KCa'b',KCa'b'-m,5
694524222,KCg,KCg-m,6
693794431,KC part due to gap,KC part due to gap,2
693790141,KC part due to gap,KC part due to gap,7
704750673,KCab,KCab-m,6
693837780,KCg,KCg-m,11
693841929,KCab,KCab-s,6
693841887,KCg,KCg-m,8
693785353,KC part due to gap,KC part due to gap,2
693785740,KC part due to gap,KC part due to gap,5
704750475,KCab,KCab-s,6
705432638,KCab,KCab-s,5
722821616,KCg,KCg-m,10
705091521,KCab,KCab-m,6
704759205,KCa'b',KCa'b'-ap2,3
704746457,KCab,KCab-p,3
664184060,KCg,KCg-m,6
704750842,KCab,KCab-m,4
723158245,KCg,KCg-m,7
704750766,KCab,KCab-m,7
723167312,KCg,KCg-m,8
723469488,KC part due to gap,KC part due to gap,3
705082892,KCa'b',KCa'b'-m,4
723495119,KCg,KCg-m,10
704750665,KCab,KCab-m,8
704750742,KCab,KCab-s,5
723508068,KCa'b',KCa'b'-ap1,4
705432922,KCab,KCab-m,5
705774051,KCab,KCab-s,6
723128414,KC part due to gap,KC part due to gap,1
704409742,KCab,KCab-s,5
705091769,KCab,KCab-c,3
723848801,KCg,KCg-m,8
723849351,KCg,KCg-m,8
724133866,KC part due to gap,KC part due to gap,3
723153828,KCg,KCg-m,9
724134170,KC part due to gap,KC part due to gap,1
724134138,KCab,KCab-m,4
723853340,KCab,KCab-s,5
664188129,KCg,KCg-m,7
724488362,KC part due to gap,KC part due to gap,1
724142845,KCg,KCg-m,8
722450065,KCg,KCg-m,9
724763999,KC part due to gap,KC part due to gap,2
724138359,KC part due to gap,KC part due to gap,4
722471778,KCg,KCg-m,6
724816217,KC part due to gap,KC part due to gap,4
724867606,KCg,KCg-m,8
724522447,KCg,KCg-m,8
724151343,KC part due to gap,KC part due to gap,4
724867917,KCg,KCg-m,6
723508162,KCg,KCg-m,6
735785639,KCab,KCab-c,4
724825187,KC part due to gap,KC part due to gap,4
724876683,KCg,KCg-m,8
724885340,KCg,KCg-m,9
724488194,KC part due to gap,KC part due to gap,3
736122569,KCab,KCab-m,3
725200110,KCg,KCg-m,9
736126668,KCab,KCab-c,6
735785583,KCab,KCab-s,6
736126732,KCab,KCab-m,3
735785459,KCab,KCab-m,3
736126644,KCab,KCab-c,4
736126563,KCab,KCab-c,4
736463614,KCab,KCab-m,5
736126717,KCab,KCab-c,5
736813212,KCab,KCab-s,4
723810015,KC part due to gap,KC part due to gap,2
736808904,KCab,KCab-s,7
736467526,KCab,KCab-m,5
736467640,KCab,KCab-m,4
737491062,KCa'b',KCa'b'-ap1,4
753489735,KCab,KCab-c,5
736808522,KCa'b',KCa'b'-ap2,4
737150041,KCa'b',KCa'b'-ap2,5
737149964,KCa'b',KCa'b'-ap1,4
753489951,KCab,KCab-c,7
737149820,KCa'b',KCa'b'-ap2,6
753506746,KCg,KCg-d,1
753489892,KCab,KCab-c,4
753847960,KCg,KCg-m,9
753852265,KCab,KCab-c,4
753839564,KCg,KCg-m,7
753852432,KCg,KCg-m,9
735790008,KCab,KCab-s,7
754154720,KC part due to gap,KC part due to gap,2
724531411,KCg,KCg-m,10
735785741,KCab,KCab-s,6
725217343,KCg,KCg-m,9
735785541,KCab,KCab-s,7
754150161,KC part due to gap,KC part due to gap,3
753852396,KCab,KCab-c,3
725174424,KCab,KCab-m,4
754163207,KCab,KCab-c,0
736126746,KCab,KCab-m,5
736117977,KCa'b',KCa'b'-m,5
754184667,KCab,KCab-s,8
754197850,KCab,KCab-s,6
754188980,KCg,KCg-m,10
754206396,KCg,KCg-m,4
754202022,KCg,KCg-m,8
754486618,KC part due to gap,KC part due to gap,1
754832123,KC part due to gap,KC part due to gap,5
754491144,KC part due to gap,KC part due to gap,1
754525744,KCa'b',KCa'b'-ap2,3
754538763,KCab,KCab-c,1
754870859,KCg,KCg-m,8
754547386,KCg,KCg-m,7
755173211,KC part due to gap,KC part due to gap,3
754188911,KCg,KCg-m,5
754879354,KCab,KCab-c,3
755234235,KCab,KCab-c,2
755173189,KCab,KCab-c,3
754893183,KCa'b',KCa'b'-ap2,4
755229523,KCg,KCg-m,10
755868550,KCab,KCab-c,2
755177787,KCab,KCab-m,7
755851102,KCg,KCg-m,4
722467632,KCg,KCg-m,9
756196285,KCg,KCg-m,9
756585129,KCab,KCab-m,6
755527664,KC part due to gap,KC part due to gap,2
756196541,KCg,KCg-d,1
766820559,KCab,KCab-m,5
767161677,KCab,KCab-m,1
756567539,KCab,KCab-m,6
767502579,KCab,KCab-c,6
768184604,KCa'b',KCa'b'-ap2,6
768184496,KCa'b',KCa'b'-m,4
768525647,KCa'b',KCa'b'-ap2,6
767502657,KCab,KCab-c,3
767502627,KCab,KCab-c,4
768525593,KCa'b',KCa'b'-ap1,2
767502667,KCab,KCab-c,3
767161652,KCab,KCab-m,4
784844115,KC part due to gap,KC part due to gap,2
724829211,KC part due to gap,KC part due to gap,1
768525608,KCa'b',KCa'b'-ap2,5
784204967,KCg,KCg-m,7
767502639,KCab,KCab-c,2
784848513,KC part due to gap,KC part due to gap,1
767852204,KCa'b',KCa'b'-m,4
768184623,KCa'b',KCa'b'-m,5
784844112,KCab,KCab-c,3
784541854,KCg,KCg-m,9
784541732,KCg,KCg-d,1
785189156,KCab,KCab-m,6
784895866,KCg,KCg-m,8
784882707,KCab,KCab-c,3
785456671,KC part due to gap,KC part due to gap,1
785521487,KC part due to gap,KC part due to gap,1
785521517,KC part due to gap,KC part due to gap,2
785517281,KC part due to gap,KC part due to gap,1
785525842,KC part due to gap,KC part due to gap,2
785525736,KCab,KCab-m,6
785888696,KCab,KCab-c,2
785198372,KCab,KCab-m,6
785232629,KCab,KCab-c,5
785232649,KCg,KCg-m,6
785573850,KCab,KCab-s,4
798192091,KCab,KCab-m,6
786221078,KCab,KCab-m,7
797855394,KCab,KCab-m,6
797514653,KCab,KCab-m,6
798196366,KCab,KCab-m,6
786929029,KCab,KCab-s,5
798192115,KCab,KCab-m,4
785918963,KCg,KCg-t,8
798196454,KCab,KCab-m,5
785914742,KCg,KCg-m,9
798196389,KCab,KCab-m,5
798537392,KCab,KCab-c,5
798537701,KCab,KCab-c,4
798869986,KCab,KCab-s,6
798528850,KCa'b',KCa'b'-m,4
799901370,KCa'b',KCa'b'-ap1,3
799219511,KCa'b',KCa'b'-m,7
798874090,KCab,KCab-s,5
799560834,KCa'b',KCa'b'-m,6
798537638,KCab,KCab-c,5
798537456,KCab,KCab-c,5
798533259,KCab,KCab-c,1
798537538,KCab,KCab-c,3
815909099,KCg,KCg-m,7
798192162,KCab,KCab-c,5
799906141,KCa'b',KCa'b'-ap2,7
815926323,KCab,KCab-c,4
815580911,KCg,KCg-m,7
815921891,KCab,KCab-c,5
815585355,KCab,KCab-c,4
815240159,KCab,KCab-m,5
798196461,KCab,KCab-c,5
815922095,KCab,KCab-s,5
815922112,KCg,KCg-m,7
815926332,KCab,KCab-m,7
815926346,KCab,KCab-c,3
815930761,KCab,KCab-s,4
816254592,KCab,KCab-c,5
816263443,KCab,KCab-c,3
816276925,KCg,KCg-m,9
816613438,KCa'b',KCa'b'-ap1,3
817294806,KCa'b',KCa'b'-ap2,2
817993932,KCab,KCab-s,4
817299301,KCa'b',KCa'b'-m,5
817985849,KCab,KCab-s,3
818637585,KCab,KCab-c,3
816962833,KCa'b',KCa'b'-ap2,4
829231385,KCab,KCab-m,5
829015629,KCab,KCab-m,5
829231457,KCab,KCab-m,6
816276055,KCg,KCg-m,11
829572451,KCab,KCab-c,4
829572544,KCab,KCab-c,1
755544921,KCg,KCg-m,7
846270628,KCab,KCab-c,5
829235909,KCab,KCab-p,1
831273286,KCa'b',KCa'b'-ap1,4
830586919,KCa'b',KCa'b'-ap2,5
829572252,KCab,KCab-c,5
846602958,KCg,KCg-d,4
846611449,KCab,KCab-c,3
846611908,KCab,KCab-c,3
846616006,KCab,KCab-c,4
846616159,KCab,KCab-m,4
846620223,KCab,KCab-s,5
846952407,KCab,KCab-m,6
846620287,KCab,KCab-m,7
847254536,KCab,KCab-m,5
847254581,KCab,KCab-m,3
847293869,KCab,KCab-s,4
847297982,KCab,KCab-m,4
847297956,KCg,KCg-m,7
848287126,KCab,KCab-c,3
848321392,KCab,KCab-c,4
847989021,KCab,KCab-m,5
848316930,KCab,KCab-c,4
848330091,KCab,KCab-s,6
848662421,KCab,KCab-c,4
847302850,KCg,KCg-m,8
848666776,KCab,KCab-m,6
848662441,KCab,KCab-c,4
849370258,KCab,KCab-s,8
849370246,KCab,KCab-s,4
849685478,KCab,KCab-m,4
848692583,KCg,KCg-m,9
