fly_id,odor,glomerulus,delta_f_over_f,to-avg-max_scaled_delta_f_over_f (X_train),hallem_delta_spike_rate (y_train),date,fly_num
1,ms @ -3,DC1,-0.04320743367788813,-0.04979041892559716,1,2023-04-22,2
1,ms @ -3,DC1,-0.023354689316720006,-0.026912956081253058,1,2023-04-22,2
1,a-terp @ -3,DC1,0.4562031679769411,0.5257092336956102,85,2023-04-22,2
1,carene @ -3,DC1,0.33778595385548443,0.38925024510895795,123,2023-04-22,2
1,2h @ -3,DC1,0.3267938075582003,0.37658336067621473,131,2023-04-22,2
1,IaA @ -3,DC1,0.3668711008060274,0.42276673817300225,81,2023-04-22,2
1,pa @ -3,DC1,0.3423568724648805,0.3945175783677048,130,2023-04-22,2
1,2-but @ -3,DC1,0.11052426606998733,0.12736348911842635,-16,2023-04-22,2
1,eb @ -3,DC1,0.18125226037052458,0.20886743800473112,73,2023-04-22,2
1,ep @ -3,DC1,-0.1400307134366039,-0.1613654709612352,-13,2023-04-22,2
1,B-cit @ -3,DC1,-0.08264555844323199,-0.09523724569955927,18,2023-04-22,2
1,Lin @ -3,DC1,0.12253807741659202,0.14120769713827597,125,2023-04-22,2
1,6al @ -3,DC1,-0.21747128866963225,-0.25060471417657465,-29,2023-04-22,2
1,t2h @ -3,DC1,-0.12934134877993442,-0.14904749928368063,58,2023-04-22,2
1,1-8ol @ -3,DC1,0.314219443908167,0.36209319589287176,92,2023-04-22,2
1,1-5ol @ -3,DC1,0.12448647011191383,0.14345294246469056,84,2023-04-22,2
1,1-6ol @ -3,DC1,0.13638533601162492,0.15716469221365353,146,2023-04-22,2
1,benz @ -3,DC1,-0.090017119058847,-0.1037319203410374,-15,2023-04-22,2
1,ms @ -3,DL1,0.5680624977402242,0.6546111937419122,258,2023-04-22,2
1,ms @ -3,DL1,0.6760407748430678,0.7790407928681887,258,2023-04-22,2
1,a-terp @ -3,DL1,0.03822556360618276,0.044049522584649996,-10,2023-04-22,2
1,carene @ -3,DL1,-0.03255092632338075,-0.0375103106132128,-12,2023-04-22,2
1,2h @ -3,DL1,0.06120041966276621,0.07052477488360799,17,2023-04-22,2
1,IaA @ -3,DL1,0.34339299616678237,0.3957115634944548,208,2023-04-22,2
1,pa @ -3,DL1,0.00027919461033297684,0.0003217320592072533,-1,2023-04-22,2
1,2-but @ -3,DL1,-0.06397879900594618,-0.07372646171514854,7,2023-04-22,2
1,eb @ -3,DL1,-0.1498050230059281,-0.17262897186233556,29,2023-04-22,2
1,ep @ -3,DL1,-0.006176961610610174,-0.007118069278828882,38,2023-04-22,2
1,B-cit @ -3,DL1,0.028431723866796942,0.03276351594168346,-10,2023-04-22,2
1,Lin @ -3,DL1,-0.07402712962343365,-0.08530573288124986,-14,2023-04-22,2
