glomerulus,receptors
D,"Or69aA,Or69aB"
DA1,Or67d
DA2,"Or33a,Or56a"
DA3,Or23a
DA4l,Or43a
DA4m,Or2a
DC1,"Or19a,Or19b"
DC2,Or13a
DC3,Or83c
DC4,Ir64a
DL1,"Gr10a,Or10a"
DL2d,Ir75b
DL2v,Ir75c
DL3,"Or65a,Or65b,Or65c"
DL4,"Or49a,Or85f"
DL5,Or7a
DM1,Or42b
DM2,"Or22a,Or22b"
DM3,"Or33b,Or47a"
DM4,Or59b
DM5,"Or33b,Or85a"
DM6,Or67a
DP1l,Ir75a
DP1m,Ir64a
V,"Gr21a,Gr63a"
VA1d,Or88a
VA1v,Or47b
VA2,Or92a
VA3,Or67b
VA4,Or85d
VA5,Or49b
VA6,Or82a
VA7l,Or46a
VA7m,UNK
VC1,"Or33c,Or85e"
VC2,Or71a
VC3,Or35a
VC4,Or67c
VC5,Ir41a
VL1,Ir75d
VL2a,Ir84a
VL2p,Ir31a
VM1,Ir92a
VM2,Or43b
VM3,Or9a
VM4,Ir76a
VM5d,"Or85b?,Or98b?"
VM5v,Or98a
VM7d,Or42a
VM7v,Or59c
VP1d,"Ir40a,Ir93a"
VP1m,"Ir68a,Ir93a"
VP2,"Gr28b.d,Ir93a"
VP4,"Ir40a,Ir93a"
