olfactometer_name	olfactometer_abbrev	cid	MolecularWeight	CanonicalSMILES	IsomericSMILES	InChI	InChIKey	IUPACName	name
1-pentanol	1-5ol	6276	88.15	CCCCCO	CCCCCO	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3	AMQJEAYHLZJPGS-UHFFFAOYSA-N	pentan-1-ol	1-pentanol
1-pentanol	1-5ol	12225306	90.16	CCCCCO	[2H]C([2H])(CCCC)O	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3/i5D2	AMQJEAYHLZJPGS-BFWBPSQCSA-N	1,1-dideuteriopentan-1-ol	d2-pentanol
1-pentanol	1-5ol	12225307	89.14	CCCCCO	CCCC[13CH2]O	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3/i5+1	AMQJEAYHLZJPGS-HOSYLAQJSA-N	(113C)pentan-1-ol	amyl alcohol-1-13c
1-pentanol	1-5ol	12225310	100.22	CCCCCO	[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])O[2H]	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3/i1D3,2D2,3D2,4D2,5D2,6D	AMQJEAYHLZJPGS-PSDCQUMKSA-N	1,1,1,2,2,3,3,4,4,5,5-undecadeuterio-5-deuteriooxypentane	n-pentyl alcohol-d12
1-pentanol	1-5ol	12225311	90.14	CCCCCO	CCCC[14CH2]O	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3/i5+2	AMQJEAYHLZJPGS-RHRFEJLCSA-N	(114C)pentan-1-ol	(114c)pentan-1-ol
1-pentanol	1-5ol	12225312	89.15	CCCCCO	[2H]OCCCCC	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3/i6D	AMQJEAYHLZJPGS-RAMDWTOOSA-N	1-deuteriooxypentane	1-deuteriooxypentane
1-pentanol	1-5ol	15039523	89.15	CCCCCO	[2H]C(CCCC)O	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3/i5D	AMQJEAYHLZJPGS-UICOGKGYSA-N	1-deuteriopentan-1-ol	1-deuteriopentan-1-ol
1-pentanol	1-5ol	16213511	99.22	CCCCCO	[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])O	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3/i1D3,2D2,3D2,4D2,5D2	AMQJEAYHLZJPGS-GILSBCIXSA-N	1,1,2,2,3,3,4,4,5,5,5-undecadeuteriopentan-1-ol	1-pentan-d11-ol
1-pentanol	1-5ol	23271014	90.16	CCCCCO	[2H]C([2H])(CC)CCO	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3/i3D2	AMQJEAYHLZJPGS-SMZGMGDZSA-N	3,3-dideuteriopentan-1-ol	3,3-dideuteriopentan-1-ol
1-pentanol	1-5ol	23271018	90.16	CCCCCO	[2H]C([2H])(C)CCCO	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3/i2D2	AMQJEAYHLZJPGS-CBTSVUPCSA-N	4,4-dideuteriopentan-1-ol	4,4-dideuteriopentan-1-ol
1-pentanol	1-5ol	53650995	90.16	CCCCCO	[3H]OCCCCC	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3/i6T	AMQJEAYHLZJPGS-NGIXYFTOSA-N	1-tritiooxypentane	1-tritiooxypentane
1-pentanol	1-5ol	58290914	89.15	CCCCCO	[2H]CCCCCO	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3/i1D	AMQJEAYHLZJPGS-MICDWDOJSA-N	5-deuteriopentan-1-ol	5-deuteriopentan-1-ol
1-pentanol	1-5ol	59168514	90.16	CCCCCO	[3H]C(CCCC)O	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3/i5T	AMQJEAYHLZJPGS-XHHURNKPSA-N	1-tritiopentan-1-ol	1-tritiopentan-1-ol
1-pentanol	1-5ol	90474390	91.17	CCCCCO	[2H]C([2H])([2H])CCCCO	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3/i1D3	AMQJEAYHLZJPGS-FIBGUPNXSA-N	5,5,5-trideuteriopentan-1-ol	n-pentyl-5,5,5-d3 alcohol
1-pentanol	1-5ol	101991820	89.15	CCCCCO	[H][C@@]([2H])(CCC)CO	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3/i4D/t4-/m1/s1	AMQJEAYHLZJPGS-MOTOZDKKSA-N	(2R)-2-deuteriopentan-1-ol	(2R)-2-deuteriopentan-1-ol
1-pentanol	1-5ol	101991821	89.15	CCCCCO	[H][C@]([2H])(CCC)CO	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3/i4D/t4-/m0/s1	AMQJEAYHLZJPGS-VGERMBTCSA-N	(2S)-2-deuteriopentan-1-ol	(2S)-2-deuteriopentan-1-ol
1-pentanol	1-5ol	122199531	97.20	CCCCCO	[2H]CC([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])O	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3/i1D,2D2,3D2,4D2,5D2	AMQJEAYHLZJPGS-LOFGRQECSA-N	1,1,2,2,3,3,4,4,5-nonadeuteriopentan-1-ol	148587-12-6
1-pentanol	1-5ol	131873998	97.20	CCCCCO	[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])CO	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3/i1D3,2D2,3D2,4D2	AMQJEAYHLZJPGS-YNSOAAEFSA-N	2,2,3,3,4,4,5,5,5-nonadeuteriopentan-1-ol	148587-12-6
1-pentanol	1-5ol	153464045	90.16	CCCCCO	[3H]CCCCCO	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3/i1T	AMQJEAYHLZJPGS-CNRUNOGKSA-N	5-tritiopentan-1-ol	5-tritiopentan-1-ol
