olfactometer_name	olfactometer_abbrev	cid	MolecularWeight	CanonicalSMILES	IsomericSMILES	InChI	InChIKey	IUPACName	name	mol
1-pentanol	1-5ol	6276	88.15	CCCCCO	CCCCCO	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3	AMQJEAYHLZJPGS-UHFFFAOYSA-N	pentan-1-ol	1-pentanol	<rdkit.Chem.rdchem.Mol object at 0x7089236063b0>
1-hexanol	1-6ol	8103	102.17	CCCCCCO	CCCCCCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3	ZSIAUFGUXNUGDI-UHFFFAOYSA-N	hexan-1-ol	1-hexanol	<rdkit.Chem.rdchem.Mol object at 0x708923605b60>
1-octanol	1-8ol	957	130.23	CCCCCCCCO	CCCCCCCCO	InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3	KBPLFHHGFOOTCA-UHFFFAOYSA-N	octan-1-ol	1-octanol	<rdkit.Chem.rdchem.Mol object at 0x708923647ed0>
2-butanone	2-but	6569	72.11	CCC(=O)C	CCC(=O)C	InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3	ZWEHNKRNPOVVGH-UHFFFAOYSA-N	butan-2-one	2-butanone	<rdkit.Chem.rdchem.Mol object at 0x708923647370>
2-heptanone	2h	8051	114.19	CCCCCC(=O)C	CCCCCC(=O)C	InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3	CATSNJVOTSVZJV-UHFFFAOYSA-N	heptan-2-one	2-heptanone	<rdkit.Chem.rdchem.Mol object at 0x708923647ae0>
hexanal	6al	6184	100.16	CCCCCC=O	CCCCCC=O	InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3	JARKCYVAAOWBJS-UHFFFAOYSA-N	hexanal	hexanal	<rdkit.Chem.rdchem.Mol object at 0x708923647d10>
b-citronellol	B-cit	101977	156.26	CC(CCC=C(C)C)CCO	C[C@H](CCC=C(C)C)CCO	InChI=1S/C10H20O/c1-9(2)5-4-6-10(3)7-8-11/h5,10-11H,4,6-8H2,1-3H3/t10-/m1/s1	QMVPMAAFGQKVCJ-SNVBAGLBSA-N	(3R)-3,7-dimethyloct-6-en-1-ol	d-citronellol	<rdkit.Chem.rdchem.Mol object at 0x708923647d80>
isopentyl acetate	IaA	31276	130.18	CC(C)CCOC(=O)C	CC(C)CCOC(=O)C	InChI=1S/C7H14O2/c1-6(2)4-5-9-7(3)8/h6H,4-5H2,1-3H3	MLFHJEHSLIIPHL-UHFFFAOYSA-N	3-methylbutyl acetate	isoamyl acetate	<rdkit.Chem.rdchem.Mol object at 0x708923647df0>
linalool	Lin	6549	154.25	CC(=CCCC(C)(C=C)O)C	CC(=CCCC(C)(C=C)O)C	InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3	CDOSHBSSFJOMGT-UHFFFAOYSA-N	3,7-dimethylocta-1,6-dien-3-ol	linalool	<rdkit.Chem.rdchem.Mol object at 0x708923647f40>
acetic acid	aa	176	60.05	CC(=O)O	CC(=O)O	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)	QTBSBXVTEAMEQO-UHFFFAOYSA-N	acetic acid	acetic acid	<rdkit.Chem.rdchem.Mol object at 0x708923647e60>
benzaldehyde	benz	240	106.12	C1=CC=C(C=C1)C=O	C1=CC=C(C=C1)C=O	InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H	HUMNYLRZRPPJDN-UHFFFAOYSA-N	benzaldehyde	benzaldehyde	<rdkit.Chem.rdchem.Mol object at 0x7089236476f0>
ethyl butyrate	eb	7762	116.16	CCCC(=O)OCC	CCCC(=O)OCC	InChI=1S/C6H12O2/c1-3-5-6(7)8-4-2/h3-5H2,1-2H3	OBNCKNCVKJNDBV-UHFFFAOYSA-N	ethyl butanoate	ethyl butyrate	<rdkit.Chem.rdchem.Mol object at 0x7089235f7bc0>
ethyl propionate	ep	7749	102.13	CCC(=O)OCC	CCC(=O)OCC	InChI=1S/C5H10O2/c1-3-5(6)7-4-2/h3-4H2,1-2H3	FKRCODPIKNYEAC-UHFFFAOYSA-N	ethyl propanoate	ethyl propionate	<rdkit.Chem.rdchem.Mol object at 0x7089235f7450>
methyl salicylate	ms	4133	152.15	COC(=O)C1=CC=CC=C1O	COC(=O)C1=CC=CC=C1O	InChI=1S/C8H8O3/c1-11-8(10)6-4-2-3-5-7(6)9/h2-5,9H,1H3	OSWPMRLSEDHDFF-UHFFFAOYSA-N	methyl 2-hydroxybenzoate	methyl salicylate	<rdkit.Chem.rdchem.Mol object at 0x7089235f74c0>
