	n	r	CI95%	p-val	X	Y	method	covar
pearson	113	0.10948817436499957	[-0.08  0.29]	0.2570788282110006	vcf_dat	orn_remy	pearson	chem_cols
pearson	113	0.1094881743649987	[-0.08  0.29]	0.2570788282110045	vcf_dat	orn_remy_mean_scaled	pearson	chem_cols
pearson	113	0.09887222105165126	[-0.09  0.28]	0.3063719729174934	vcf_dat	orn_remy_scaled_mean	pearson	chem_cols
pearson	113	-0.0077282796174222125	[-0.2   0.18]	0.9364308597451669	vcf_dat	kc_remy	pearson	chem_cols
pearson	113	-0.007728279617422411	[-0.2   0.18]	0.9364308597451654	vcf_dat	kc_remy_mean_scaled	pearson	chem_cols
pearson	113	-0.00768388013097803	[-0.2   0.18]	0.9367953124571604	vcf_dat	kc_remy_scaled_mean	pearson	chem_cols
pearson	113	0.016206399950004658	[-0.17  0.2 ]	0.8671654158235998	vcf_dat	kc_remy_combo	pearson	chem_cols
pearson	113	0.016206399950004603	[-0.17  0.2 ]	0.8671654158236002	vcf_dat	kc_remy_combo_mean_scaled	pearson	chem_cols
pearson	113	-0.00768388013097803	[-0.2   0.18]	0.9367953124571604	vcf_dat	kc_remy_combo_scaled_mean	pearson	chem_cols
pearson	113	0.09887222105165142	[-0.09  0.28]	0.3063719729174926	vcf_dat	orn_dat	pearson	chem_cols
pearson	113	0.15929179734427293	[-0.03  0.34]	0.09803328551435114	vcf_dat	orn_emb	pearson	chem_cols
pearson	113	-0.007683880130977691	[-0.2   0.18]	0.9367953124571631	vcf_dat	kc_dat	pearson	chem_cols
pearson	113	-0.000973381553251557	[-0.19  0.19]	0.991985191149991	vcf_dat	kc_emb	pearson	chem_cols
pearson	113	-0.037025731992717456	[-0.22  0.15]	0.7022874257118243	vcf_dat	kc_combo	pearson	chem_cols
pearson	113	0.12506706533125894	[-0.06  0.31]	0.195051619234735	vcf_dat	uniform_dat	pearson	chem_cols
pearson	113	0.13046634312559072	[-0.06  0.31]	0.17631379512011128	vcf_dat	uniform_emb	pearson	chem_cols
