fly_id,odorname,air_dilution,min_eag_mv,log10_conc_vv
1,1-octen-3-ol,0.1,-6.794646282320439,-3.0
1,1-octen-3-ol,0.2,-7.479049134834933,-3.0
1,2-heptanone,0.1,-2.743078996965202,-5.0
1,2-heptanone,0.2,-2.8159255496313924,-5.0
1,control mix,0.1,-10.63640038759077,0.0
1,control mix,0.2,-11.988223124190514,0.0
1,ethanol,0.1,-2.31808217773891,-2.0
1,ethyl acetate,0.1,-5.079702496648154,-4.2
1,ethyl butyrate,0.1,-8.326766104663141,-3.5
1,furfural,0.1,-3.2600228962807676,-4.0
1,furfural,0.2,-3.745189087426366,-4.0
1,isoamyl acetate,0.1,-3.0053721415794903,-3.7
1,isoamyl alcohol,0.1,-1.1200490054691374,-3.6
1,kiwi approx.,0.1,-10.904917436896573,0.0
1,methyl salicylate,0.1,-4.5504586298351795,-3.0
1,methyl salicylate,0.2,-4.588210372646317,-3.0
1,valeric acid,0.1,-1.2381629903866576,-3.0
1,valeric acid,0.2,-1.5069770827095093,-3.0
2,1-octen-3-ol,0.1,-7.776603137381296,-3.0
2,1-octen-3-ol,0.2,-8.934517342888327,-3.0
2,2-heptanone,0.1,-2.8753884172108357,-5.0
2,2-heptanone,0.2,-1.9072490154393265,-5.0
2,control mix,0.1,-12.358366475699222,0.0
2,control mix,0.2,-13.148155893399567,0.0
2,ethanol,0.1,-3.0437144612183378,-2.0
2,ethyl acetate,0.1,-9.73635061038104,-4.2
2,ethyl butyrate,0.1,-14.277422701243895,-3.5
2,furfural,0.1,-3.651209947511506,-4.0
2,furfural,0.2,-4.074341751500194,-4.0
2,isoamyl acetate,0.1,-4.2493886866284845,-3.7
2,isoamyl alcohol,0.1,-0.888616640342469,-3.6
2,kiwi approx.,0.1,-18.079600465168166,0.0
2,methyl salicylate,0.1,-4.336247969039552,-3.0
2,methyl salicylate,0.2,-4.653454113284142,-3.0
2,valeric acid,0.1,-1.3081609015949827,-3.0
2,valeric acid,0.2,-1.579785700083036,-3.0
3,1-octen-3-ol,0.1,-8.083491473598253,-3.0
3,1-octen-3-ol,0.2,-9.057527897003514,-3.0
3,2-heptanone,0.1,-2.2078966156421695,-5.0
3,2-heptanone,0.2,-2.3664357175491193,-5.0
3,control mix,0.1,-12.541063608345127,0.0
3,control mix,0.2,-12.849788808865066,0.0
3,ethanol,0.1,-3.89437296055093,-2.0
3,ethyl acetate,0.1,-8.303417327959435,-4.2
3,ethyl butyrate,0.1,-12.330602005898411,-3.5
3,furfural,0.1,-4.1615133614735305,-4.0
3,furfural,0.2,-4.3534855602646365,-4.0
3,isoamyl acetate,0.1,-4.509439171586352,-3.7
3,isoamyl alcohol,0.1,-1.4449485406094829,-3.6
3,kiwi approx.,0.1,-15.953314207231301,0.0
3,methyl salicylate,0.1,-4.004956119623158,-3.0
3,methyl salicylate,0.2,-4.111402019383967,-3.0
3,valeric acid,0.1,-1.6975499215407295,-3.0
3,valeric acid,0.2,-1.5788918597800425,-3.0
4,1-octen-3-ol,0.1,-3.932498202256044,-3.0
4,1-octen-3-ol,0.2,-6.2901603259069105,-3.0
4,2-heptanone,0.1,-1.8473134513644975,-5.0
4,2-heptanone,0.2,-2.129981755331339,-5.0
4,control mix,0.1,-9.881661444281754,0.0
4,control mix,0.2,-11.337812653248664,0.0
4,ethanol,0.1,-1.308863214774736,-2.0
4,ethyl acetate,0.1,-9.022262750602,-4.2
4,ethyl butyrate,0.1,-11.62356242258508,-3.5
4,furfural,0.1,-2.565900096122465,-4.0
4,furfural,0.2,-2.889396251740264,-4.0
4,isoamyl acetate,0.1,-1.9762561111155614,-3.7
4,isoamyl alcohol,0.1,-0.5106951132529133,-3.6
4,kiwi approx.,0.1,-14.118598182087963,0.0
4,methyl salicylate,0.1,-3.7308454673954494,-3.0
4,methyl salicylate,0.2,-3.9442338344405745,-3.0
4,valeric acid,0.1,-0.9309130253283026,-3.0
4,valeric acid,0.2,-1.214871979979838,-3.0
5,1-octen-3-ol,0.1,-2.3328984184890174,-3.0
5,1-octen-3-ol,0.2,-3.754751530407274,-3.0
5,2-heptanone,0.1,-0.8174406670088344,-5.0
5,2-heptanone,0.2,-0.8392901648395165,-5.0
5,control mix,0.1,-8.583359792011107,0.0
5,control mix,0.2,-9.694167425435868,0.0
5,ethanol,0.1,-1.0828707848646928,-2.0
5,ethyl acetate,0.1,-7.30005602903627,-4.2
5,ethyl butyrate,0.1,-6.67623086953121,-3.5
5,furfural,0.1,-1.8373625658164567,-4.0
5,furfural,0.2,-2.0261856524909123,-4.0
5,isoamyl acetate,0.1,-0.968045915245345,-3.7
5,isoamyl alcohol,0.1,-0.5616608382118001,-3.6
5,kiwi approx.,0.1,-11.59524846286329,0.0
5,methyl salicylate,0.1,-2.6820123269082203,-3.0
5,methyl salicylate,0.2,-2.8439819918546063,-3.0
5,valeric acid,0.1,-0.49732741653775503,-3.0
5,valeric acid,0.2,-0.5652174925913155,-3.0
6,1-octen-3-ol,0.1,-3.2211005400251183,-3.0
6,1-octen-3-ol,0.2,-4.856441500378813,-3.0
6,2-heptanone,0.1,-1.390020049130645,-5.0
6,2-heptanone,0.2,-1.7943207848390592,-5.0
6,control mix,0.1,-8.243373432780045,0.0
6,control mix,0.2,-10.758405072931867,0.0
6,ethanol,0.1,-0.5988269663417793,-2.0
6,ethyl acetate,0.1,-7.943283387854319,-4.2
6,ethyl butyrate,0.1,-9.473970471030134,-3.5
6,furfural,0.1,-1.8645956068702316,-4.0
6,furfural,0.2,-2.5572389560789044,-4.0
6,isoamyl acetate,0.1,-1.370891931019652,-3.7
6,isoamyl alcohol,0.1,-0.2703575948357702,-3.6
6,kiwi approx.,0.1,-12.46429778809582,0.0
6,methyl salicylate,0.1,-2.338454174290908,-3.0
6,methyl salicylate,0.2,-3.5151706607770863,-3.0
6,valeric acid,0.1,-0.6473965756457821,-3.0
6,valeric acid,0.2,-1.1245760305996835,-3.0
7,1-octen-3-ol,0.1,-6.988436778312594,-3.0
7,1-octen-3-ol,0.2,-10.808819032844001,-3.0
7,2-heptanone,0.1,-2.004164462649229,-5.0
7,2-heptanone,0.2,-3.0571386476368367,-5.0
7,control mix,0.1,-11.04346026556972,0.0
7,control mix,0.2,-15.136288933254905,0.0
7,ethanol,0.1,-0.92204763217417,-2.0
7,ethyl acetate,0.1,-6.6367840675770715,-4.2
7,ethyl butyrate,0.1,-9.544424079114947,-3.5
7,furfural,0.1,-2.6483288807353933,-4.0
7,furfural,0.2,-4.528749950873412,-4.0
7,isoamyl acetate,0.1,-4.330639808776854,-3.7
7,isoamyl alcohol,0.1,-0.6701612253897408,-3.6
7,kiwi approx.,0.1,-13.394782437814223,0.0
7,methyl salicylate,0.1,-2.934109456054627,-3.0
7,methyl salicylate,0.2,-4.130052738632403,-3.0
7,valeric acid,0.1,-1.0192415318058548,-3.0
7,valeric acid,0.2,-1.538680897913345,-3.0
8,1-octen-3-ol,0.1,-5.969748565050133,-3.0
8,1-octen-3-ol,0.2,-8.203715386241656,-3.0
8,2-heptanone,0.1,-2.4865286730335163,-5.0
8,2-heptanone,0.2,-2.818172698109405,-5.0
8,control mix,0.1,-12.299889561998901,0.0
8,control mix,0.2,-13.53190507196342,0.0
8,ethanol,0.1,-0.7223131828097491,-2.0
8,ethyl acetate,0.1,-4.083347665899512,-4.2
8,ethyl butyrate,0.1,-5.920876134729813,-3.5
8,furfural,0.1,-3.510532187947218,-4.0
